Gesetz_Verordnung;gii_title;gii_slug;gii_xml_zip_url
Aktiengesetz;;;
Börsengesetz;;;
Börsenzulassungs-Verordnung;;;
Einkommensteuergesetz;;;
Fünftes Vermögensbildungsgesetz;Fünftes Gesetz zur Förderung der Vermögensbildung der Arbeitnehmer;vermbg_2;
Gesetz über elektronische Wertpapiere;;;
Handelsgesetzbuch;;;
Investmentsteuergesetz;;;
Kapitalanlagegesetzbuch;;;
Körperschaftsteuergesetz;;;
Kreditwesengesetz;Gesetz über das Kreditwesen;kredwg;
Spruchverfahrensgesetz;Gesetz über das gesellschaftsrechtliche Spruchverfahren;spruchg;
Umsatzsteuergesetz;;;
Versicherungsaufsichtsgesetz;Gesetz über die Beaufsichtigung der Versicherungsunternehmen;vag_2016;
Wertpapierhandelsgesetz;Gesetz über den Wertpapierhandel;wphg;
Wertpapierinstitutsgesetz;Gesetz zur Beaufsichtigung von Wertpapierinstituten;wpig;
Wertpapierprospektgesetz;Gesetz über die Erstellung, Billigung und Veröffentlichung des Prospekts, der beim öffentlichen Angebot von Wertpapieren oder bei der Zulassung von Wertpapieren zum Handel an einem organisierten Markt zu veröffentlichen ist;wppg;
