norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
32000L0054;Art. 3 Absatz 2 Satz 1;Der Arbeitgeber muss bei Tätigkeiten mit möglicher Exposition die Exposition der Arbeitnehmer ermitteln.;Für jede Tätigkeit, bei der eine Exposition gegenüber biologischen Arbeitsstoffen auftreten kann, müssen die Art, das Ausmaß und die Dauer der Exposition der Arbeitnehmer ermittelt werden, damit alle Risiken für die Sicherheit oder die Gesundheit der Arbeitnehmer abgeschätzt und entsprechende Maßnahmen festgelegt werden können.;Handlungspflicht;muss;müssen die Art, das Ausmaß und die Dauer der Exposition der Arbeitnehmer ermittelt werden;Wirtschaft;der Arbeitgeber;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32000L0054#art_3
32000L0054;Art. 3 Absatz 2 Satz 3;Die Risikoabschätzung muss regelmäßig und bei Änderungen erneut durchgeführt werden.;Diese Abschätzung muss in regelmäßigen Abständen und auf jeden Fall bei jeder Änderung der Bedingungen, die sich auf die Exposition der Arbeitnehmer gegenüber biologischen Arbeitsstoffen auswirken können, erneut vorgenommen werden.;Handlungspflicht;muss;muss … erneut vorgenommen werden;Wirtschaft;Diese Abschätzung;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32000L0054#art_3
32000L0054;Art. 3 Absatz 2 Satz 4;Der Arbeitgeber muss den zuständigen Behörden auf Anforderung die Kriterien der Abschätzung mitteilen.;Der Arbeitgeber muss den zuständigen Behörden auf Anforderung die dieser Abschätzung zugrunde liegenden Kriterien mitteilen.;Informationspflicht;muss;muss … mitteilen;Wirtschaft;Der Arbeitgeber;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32000L0054#art_3
32000L0054;Art. 4 Absatz 1 Satz 2;Die Arbeitgeber sollen Anhang VI Nummer 1 einhalten.;Anhang VI Nummer 1 sollte jedoch eingehalten werden.;Handlungspflicht;soll;sollte jedoch eingehalten werden;Wirtschaft;die Arbeitgeber;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32000L0054#art_4
32000L0054;Art. 5;Der Arbeitgeber muss einen gefährlichen biologischen Arbeitsstoff nach Möglichkeit durch einen weniger gefährlichen ersetzen.;Der Arbeitgeber vermeidet die Verwendung eines gefährlichen biologischen Arbeitsstoffes, indem er ihn, soweit die Art der Tätigkeit dies zulässt, durch einen biologischen Arbeitsstoff ersetzt, der nach dem gegenwärtigen Erkenntnisstand bei seiner Verwendung bzw. Anwendung nicht oder gegebenenfalls weniger gefährlich für die Gesundheit der Arbeitnehmer ist.;Handlungspflicht;muss;vermeidet die Verwendung … indem er ihn … durch einen biologischen Arbeitsstoff ersetzt;Wirtschaft;der Arbeitgeber;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32000L0054#art_5
32000L0054;Art. 6 Absatz 1;Der Arbeitgeber muss die Exposition der Arbeitnehmer vermeiden, wenn die Risikoabschätzung ein Sicherheits- oder Gesundheitsrisiko ergibt.;Offenbaren die Ergebnisse der in Artikel 3 vorgesehenen Abschätzung ein Risiko für die Sicherheit oder die Gesundheit der Arbeitnehmer, so muss die Exposition der Arbeitnehmer vermieden werden.;Handlungspflicht;muss;muss die Exposition der Arbeitnehmer vermieden werden;Wirtschaft;Arbeitgeber;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32000L0054#art_6
32000L0054;Art. 6 Absatz 2;Der Arbeitgeber muss bei technisch nicht machbarer Vermeidung die Expositionsgefahr so weit wie erforderlich verringern und die vorgesehenen Schutzmaßnahmen treffen.;"Ist dies in Anbetracht der Tätigkeit und der in Artikel 3 vorgesehenen Risikoabschätzung technisch nicht durchführbar, so ist die Gefahr einer Exposition so weit zu verringern, wie dies zum angemessenen Schutz von Gesundheit und Sicherheit der betroffenen Arbeitnehmer erforderlich ist; zu diesem Zweck sind unter Berücksichtigung der Ergebnisse der in Artikel 3 vorgesehenen Risikoabschätzung insbesondere folgende Maßnahmen zu treffen: a) Begrenzung der Anzahl der tatsächlich oder möglicherweise exponierten Arbeitnehmer auf das niedrigstmögliche Niveau; b) Gestaltung der Arbeitsverfahren und der technischen Maßnahmen mit dem Ziel, am Arbeitsplatz die Freisetzung von biologischen Arbeitsstoffen zu vermeiden oder möglichst gering zu halten; c) kollektive und/oder - wenn eine andere Lösung zur Vermeidung einer Exposition nicht möglich ist - persönliche Schutzmaßnahmen; d) Hygienemaßnahmen, die mit dem Ziel der Verhütung oder Verringerung der Gefahr einer unbeabsichtigten Übertragung oder Freisetzung eines biologischen Arbeitsstoffes vom Arbeitsplatz aus vereinbar sind; e) Verwendung eines Symbols für Biogefährdung (siehe Anhang II) und geeigneter anderer Warnzeichen; f) Vorkehrungen für Unfälle mit biologischen Arbeitsstoffen; g) sofern dies notwendig und technisch möglich ist, Tests auf das Vorhandensein am Arbeitsplatz verwendeter biologischer Arbeitsstoffe außerhalb der primären physikalischen Einschließung; h) Gewährleistung der Sicherheit beim Sammeln sowie bei der Lagerung und der Beseitigung des Abfalls durch die Arbeitnehmer, unter anderem durch sachgerechte Behandlung, wo dies angezeigt ist, und durch anschließende Verwendung sicherer und deutlich erkennbarer Behälter; i) Vorkehrungen für den sicheren Umgang mit und den sicheren Transport von biologischen Arbeitsstoffen am Arbeitsplatz.";Handlungspflicht;muss;"ist die Gefahr einer Exposition so weit zu verringern ...; zu diesem Zweck sind ... folgende Maßnahmen zu treffen";Wirtschaft;Arbeitgeber;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32000L0054#art_6
32000L0054;Art. 7 Absatz 1;Die Arbeitgeber müssen der zuständigen Behörde auf Anforderung bestimmte Informationen zur Verfügung stellen.;Wenn die Ergebnisse der in Artikel 3 vorgesehenen Abschätzung ein Risiko für die Sicherheit oder Gesundheit der Arbeitnehmer erkennen lassen, müssen die Arbeitgeber der zuständigen Behörde auf Anforderung sachdienliche Informationen über folgendes zur Verfügung stellen: a) die Ergebnisse der Risikoabschätzung, b) die Tätigkeiten, bei denen Arbeitnehmer tatsächlich oder möglicherweise biologischen Arbeitsstoffen ausgesetzt worden sind, c) die Zahl der exponierten Arbeitnehmer, d) den Namen und die Befähigung der für Sicherheit und Gesundheitsschutz am Arbeitsplatz verantwortlichen Person, e) die getroffenen Schutz- und Vorbeugungsmaßnahmen, einschließlich der Arbeitsverfahren und -methoden. f) einen Notfallplan zum Schutz der Arbeitnehmer vor einer Exposition gegenüber einem biologischen Arbeitsstoff der Gruppe 3 oder 4, die sich aus einem Versagen der physikalischen Einschließung ergehen könnte.;Informationspflicht;muss;müssen ... auf Anforderung ... zur Verfügung stellen;Wirtschaft;die Arbeitgeber;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32000L0054#art_7
32000L0054;Art. 7 Absatz 2;Der Arbeitgeber muss die zuständige Behörde über bestimmte Unfälle oder Zwischenfälle informieren.;Der Arbeitgeber hat die zuständige Behörde unverzüglich über jeden Unfall oder Zwischenfall zu unterrichten, der möglicherweise zur Freisetzung eines biologischen Arbeitsstoffes geführt hat und beim Menschen schwere Infektionen und/oder Krankheiten verursachen kann.;Informationspflicht;muss;hat die zuständige Behörde unverzüglich ... zu unterrichten;Wirtschaft;Der Arbeitgeber;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32000L0054#art_7
32000L0054;Art. 7 Absatz 3;Das Unternehmen muss bei Einstellung seiner Tätigkeit Verzeichnis und Gesundheitsakte der zuständigen Behörde zur Verfügung stellen.;Das in Artikel 11 erwähnte Verzeichnis und die in Artikel 14 genannte Gesundheitsakte sind im Einklang mit den Rechtsvorschriften der Mitgliedstaaten und/oder der dort üblichen Praxis der zuständigen Behörde zur Verfügung zu stellen, wenn das Unternehmen seine Tätigkeit einstellt.;Informationspflicht;muss;sind ... zur Verfügung zu stellen;Wirtschaft;das Unternehmen;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32000L0054#art_7
