norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
32025R0327;Art. 4 Absatz 1;Die Mitgliedstaaten müssen Zugangsdienste für elektronische Gesundheitsdaten einrichten.;Die Mitgliedstaaten stellen sicher, dass auf nationaler, regionaler oder lokaler Ebene ein Zugangsdienst für elektronische Gesundheitsdaten oder mehrere solcher Zugangsdienste eingerichtet werden, wodurch natürlichen Personen der Zugang zu ihren personenbezogenen elektronischen Gesundheitsdaten und die Ausübung ihrer in Artikel 3 und in den Artikeln 5 bis 10 genannten Rechte ermöglicht wird.;Handlungspflicht;muss;stellen sicher, dass … eingerichtet werden;Öffentliche Verwaltung;Die Mitgliedstaaten;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32025R0327#art_4
32025R0327;Art. 4 Absatz 2 Satz 1;Die Mitgliedstaaten müssen mindestens einen digitalen Vertreterdienst einrichten.;"Die Mitgliedstaaten stellen sicher, dass als Funktionalität von Zugangsdiensten für elektronische Gesundheitsdaten mindestens ein digitaler Vertreterdienst eingerichtet wird, der Folgendes ermöglicht: a) natürlichen Personen, andere natürliche Personen ihrer Wahl dazu zu berechtigen, in ihrem Namen für einen begrenzten oder unbegrenzten Zeitraum und erforderlichenfalls nur für einen bestimmten Zweck Zugang zu ihren personenbezogenen elektronischen Gesundheitsdaten oder zu Teilen davon zu erhalten, und diese Berechtigungen verwalten zu können; und b) rechtlichen Vertretern von natürlichen Personen, Zugang zu personenbezogenen elektronischen Gesundheitsdaten dieser natürlichen Personen zu erhalten, deren Angelegenheiten sie im Einklang mit dem nationalen Recht verwalten.";Handlungspflicht;muss;stellen sicher, dass … mindestens ein digitaler Vertreterdienst eingerichtet wird;Öffentliche Verwaltung;Die Mitgliedstaaten;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32025R0327#art_4
32025R0327;Art. 4 Absatz 2 Satz 2;Die Mitgliedstaaten müssen Vorschriften für bestimmte Berechtigungen und Handlungen festlegen.;Die Mitgliedstaaten legen Vorschriften für in Unterabsatz 1 Buchstabe a genannte Berechtigungen und Handlungen von Vormunden und anderen rechtlichen Vertretern fest.;Handlungspflicht;muss;legen Vorschriften … fest;Öffentliche Verwaltung;Die Mitgliedstaaten;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32025R0327#art_4
32025R0327;Art. 4 Absatz 3 Satz 1;Digitale Vertreterdienste müssen Berechtigungen bereitstellen.;Die in Absatz 2 genannten digitalen Vertreterdienste müssen eine solche Berechtigung in transparenter und leicht verständlicher Weise, kostenlos und in elektronischer Form oder in Papierform bereitstellen.;Handlungspflicht;muss;müssen … bereitstellen;Öffentliche Verwaltung;Die in Absatz 2 genannten digitalen Vertreterdienste;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32025R0327#art_4
32025R0327;Art. 4 Absatz 3 Satz 2;Natürliche Personen und ihre Vertreter müssen über ihre Berechtigungen informiert werden.;Natürliche Personen und ihre Vertreter sind über ihre Berechtigungen zu informieren, einschließlich darüber, wie sie diese Rechte ausüben können, sowie über das Berechtigungsverfahren.;Informationspflicht;muss;sind über ihre Berechtigungen zu informieren;Wirtschaft, Öffentliche Verwaltung;Natürliche Personen und ihre Vertreter;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32025R0327#art_4
32025R0327;Art. 4 Absatz 3 Satz 3;Digitale Vertreterdienste müssen einen einfachen Beschwerdemechanismus bereitstellen.;Die digitalen Vertreterdienste müssen einen einfachen Beschwerdemechanismus für natürliche Personen bereitstellen.;Handlungspflicht;muss;müssen einen einfachen Beschwerdemechanismus … bereitstellen;Öffentliche Verwaltung;Die digitalen Vertreterdienste;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32025R0327#art_4
32025R0327;Art. 4 Absatz 4 Satz 1;Die digitalen Vertreterdienste müssen zwischen den Mitgliedstaaten interoperabel sein.;Die in Absatz 2 des vorliegenden Artikels genannten digitalen Vertreterdienste müssen zwischen den Mitgliedstaaten interoperabel sein.;Handlungspflicht;muss;müssen … interoperabel sein;Öffentliche Verwaltung;Die in Absatz 2 des vorliegenden Artikels genannten digitalen Vertreterdienste;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32025R0327#art_4
32025R0327;Art. 4 Absatz 4 Satz 2;Die Kommission muss technische Spezifikationen für die Interoperabilität festlegen.;Die Kommission legt im Wege von Durchführungsrechtsakten die technischen Spezifikationen für die Interoperabilität der digitalen Vertreterdienste der Mitgliedstaaten fest.;Handlungspflicht;muss;legt … fest;Öffentliche Verwaltung;Die Kommission;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32025R0327#art_4
32025R0327;Art. 4 Absatz 5;Die Zugangsdienste und digitalen Vertreterdienste müssen leicht zugänglich sein.;Die Zugangsdienste für elektronische Gesundheitsdaten und die digitalen Vertreterdienste müssen für Menschen mit Behinderungen, schutzbedürftige Gruppen und Personen mit geringer digitaler Kompetenz leicht zugänglich sein.;Handlungspflicht;muss;müssen … leicht zugänglich sein;Öffentliche Verwaltung;Die Zugangsdienste für elektronische Gesundheitsdaten und die digitalen Vertreterdienste;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32025R0327#art_4
32025R0327;Art. 6 Satz 2;Der Verantwortliche muss gegebenenfalls die Angaben im Berichtigungsersuchen mit einem einschlägigen Angehörigen der Gesundheitsberufe überprüfen.;Gegebenenfalls überprüft der Verantwortliche die Richtigkeit der in dem Ersuchen gemachten Angaben mit einem einschlägigen Angehörigen der Gesundheitsberufe.;Handlungspflicht;muss;überprüft der Verantwortliche;Wirtschaft, Öffentliche Verwaltung;der Verantwortliche;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32025R0327#art_6
32025R0327;Art. 7 Absatz 2 Satz 2;Der empfangende Gesundheitsdienstleister muss die übermittelten Daten entgegennehmen und lesen können.;Der empfangende Gesundheitsdienstleister muss diese Daten entgegennehmen und sie lesen können.;Handlungspflicht;muss;muss diese Daten entgegennehmen und sie lesen können;Wirtschaft;der empfangende Gesundheitsdienstleister;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32025R0327#art_7
