norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
32016R0679;Art. 5 Absatz 1 Buchstabe a;Verantwortliche müssen personenbezogene Daten rechtmäßig, fair und transparent verarbeiten.;"Personenbezogene Daten müssen a) auf rechtmäßige Weise, nach Treu und Glauben und in einer für die betroffene Person nachvollziehbaren Weise verarbeitet werden („Rechtmäßigkeit, Verarbeitung nach Treu und Glauben, Transparenz“);";Handlungspflicht;muss;müssen … verarbeitet werden;Wirtschaft, Öffentliche Verwaltung;Verantwortliche;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32016R0679#art_5
32016R0679;Art. 5 Absatz 1 Buchstabe b;Verantwortliche müssen personenbezogene Daten zweckgebunden erheben und unvereinbare Weiterverarbeitungen unterlassen.;"Personenbezogene Daten müssen b) für festgelegte, eindeutige und legitime Zwecke erhoben werden und dürfen nicht in einer mit diesen Zwecken nicht zu vereinbarenden Weise weiterverarbeitet werden; eine Weiterverarbeitung für im öffentlichen Interesse liegende Archivzwecke, für wissenschaftliche oder historische Forschungszwecke oder für statistische Zwecke gilt gemäß Artikel 89 Absatz 1 nicht als unvereinbar mit den ursprünglichen Zwecken („Zweckbindung“);";Handlungspflicht;muss;müssen … erhoben werden und dürfen nicht … weiterverarbeitet werden;Wirtschaft, Öffentliche Verwaltung;Verantwortliche;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32016R0679#art_5
32016R0679;Art. 5 Absatz 1 Buchstabe c;Verantwortliche müssen personenbezogene Daten auf das notwendige Maß beschränken.;"Personenbezogene Daten müssen c) dem Zweck angemessen und erheblich sowie auf das für die Zwecke der Verarbeitung notwendige Maß beschränkt sein („Datenminimierung“);";Handlungspflicht;muss;müssen … beschränkt sein;Wirtschaft, Öffentliche Verwaltung;Verantwortliche;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32016R0679#art_5
32016R0679;Art. 5 Absatz 1 Buchstabe d;Verantwortliche müssen richtige und aktualisierte personenbezogene Daten sicherstellen und Unrichtigkeiten beseitigen.;"Personenbezogene Daten müssen d) sachlich richtig und erforderlichenfalls auf dem neuesten Stand sein; es sind alle angemessenen Maßnahmen zu treffen, damit personenbezogene Daten, die im Hinblick auf die Zwecke ihrer Verarbeitung unrichtig sind, unverzüglich gelöscht oder berichtigt werden („Richtigkeit“);";Handlungspflicht;muss;"müssen … sein; es sind alle angemessenen Maßnahmen zu treffen";Wirtschaft, Öffentliche Verwaltung;Verantwortliche;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32016R0679#art_5
32016R0679;Art. 5 Absatz 1 Buchstabe e;Verantwortliche müssen personenbezogene Daten nur so lange identifizierbar speichern, wie es erforderlich ist.;"Personenbezogene Daten müssen e) in einer Form gespeichert werden, die die Identifizierung der betroffenen Personen nur so lange ermöglicht, wie es für die Zwecke, für die sie verarbeitet werden, erforderlich ist; personenbezogene Daten dürfen länger gespeichert werden, soweit die personenbezogenen Daten vorbehaltlich der Durchführung geeigneter technischer und organisatorischer Maßnahmen, die von dieser Verordnung zum Schutz der Rechte und Freiheiten der betroffenen Person gefordert werden, ausschließlich für im öffentlichen Interesse liegende Archivzwecke oder für wissenschaftliche und historische Forschungszwecke oder für statistische Zwecke gemäß Artikel 89 Absatz 1 verarbeitet werden („Speicherbegrenzung“);";Handlungspflicht;muss;müssen … gespeichert werden;Wirtschaft, Öffentliche Verwaltung;Verantwortliche;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32016R0679#art_5
32016R0679;Art. 5 Absatz 1 Buchstabe f;Verantwortliche müssen personenbezogene Daten sicher und geschützt verarbeiten.;"Personenbezogene Daten müssen f) in einer Weise verarbeitet werden, die eine angemessene Sicherheit der personenbezogenen Daten gewährleistet, einschließlich Schutz vor unbefugter oder unrechtmäßiger Verarbeitung und vor unbeabsichtigtem Verlust, unbeabsichtigter Zerstörung oder unbeabsichtigter Schädigung durch geeignete technische und organisatorische Maßnahmen („Integrität und Vertraulichkeit“);";Handlungspflicht;muss;müssen … verarbeitet werden;Wirtschaft, Öffentliche Verwaltung;Verantwortliche;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32016R0679#art_5
32016R0679;Art. 5 Absatz 2;Der Verantwortliche muss die Einhaltung der Grundsätze aus Absatz 1 sicherstellen und nachweisen können.;Der Verantwortliche ist für die Einhaltung des Absatzes 1 verantwortlich und muss dessen Einhaltung nachweisen können („Rechenschaftspflicht“).;Handlungspflicht;muss;ist … verantwortlich und muss … nachweisen können;Wirtschaft, Öffentliche Verwaltung;Der Verantwortliche;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32016R0679#art_5
32016R0679;Art. 6 Absatz 4;Der Verantwortliche muss bei einer Zweckänderung die genannten Umstände berücksichtigen.;Beruht die Verarbeitung zu einem anderen Zweck als zu demjenigen, zu dem die personenbezogenen Daten erhoben wurden, nicht auf der Einwilligung der betroffenen Person oder auf einer Rechtsvorschrift der Union oder der Mitgliedstaaten, die in einer demokratischen Gesellschaft eine notwendige und verhältnismäßige Maßnahme zum Schutz der in Artikel 23 Absatz 1 genannten Ziele darstellt, so berücksichtigt der Verantwortliche — um festzustellen, ob die Verarbeitung zu einem anderen Zweck mit demjenigen, zu dem die personenbezogenen Daten ursprünglich erhoben wurden, vereinbar ist — unter anderem a) jede Verbindung zwischen den Zwecken, für die die personenbezogenen Daten erhoben wurden, und den Zwecken der beabsichtigten Weiterverarbeitung, b) den Zusammenhang, in dem die personenbezogenen Daten erhoben wurden, insbesondere hinsichtlich des Verhältnisses zwischen den betroffenen Personen und dem Verantwortlichen, c) die Art der personenbezogenen Daten, insbesondere ob besondere Kategorien personenbezogener Daten gemäß Artikel 9 verarbeitet werden oder ob personenbezogene Daten über strafrechtliche Verurteilungen und Straftaten gemäß Artikel 10 verarbeitet werden, d) die möglichen Folgen der beabsichtigten Weiterverarbeitung für die betroffenen Personen, e) das Vorhandensein geeigneter Garantien, wozu Verschlüsselung oder Pseudonymisierung gehören kann.;Handlungspflicht;muss;berücksichtigt der Verantwortliche;Wirtschaft;der Verantwortliche;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32016R0679#art_6
32016R0679;Art. 7 Absatz 1;Der Verantwortliche muss die Einwilligung nachweisen können.;Beruht die Verarbeitung auf einer Einwilligung, muss der Verantwortliche nachweisen können, dass die betroffene Person in die Verarbeitung ihrer personenbezogenen Daten eingewilligt hat.;Handlungspflicht;muss;muss der Verantwortliche nachweisen können;Wirtschaft;der Verantwortliche;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32016R0679#art_7
32016R0679;Art. 7 Absatz 2;Das Ersuchen um Einwilligung muss klar von anderen Sachverhalten getrennt sein.;Erfolgt die Einwilligung der betroffenen Person durch eine schriftliche Erklärung, die noch andere Sachverhalte betrifft, so muss das Ersuchen um Einwilligung in verständlicher und leicht zugänglicher Form in einer klaren und einfachen Sprache so erfolgen, dass es von den anderen Sachverhalten klar zu unterscheiden ist.;Informationspflicht;muss;muss das Ersuchen um Einwilligung ... so erfolgen, dass es von den anderen Sachverhalten klar zu unterscheiden ist;Wirtschaft;das Ersuchen um Einwilligung;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32016R0679#art_7
