norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
BioStoffV;§ 3 Absatz 3 Satz 2;Der Arbeitgeber muss die Einstufungen beachten.;Der Arbeitgeber hat diese Einstufungen zu beachten.;Handlungspflicht;muss;hat diese Einstufungen zu beachten;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/biostoffv_2013/__3.html
BioStoffV;§ 3 Absatz 4 Satz 1;Der Arbeitgeber muss den Biostoff in eine Risikogruppe einstufen, wenn keine Einstufung nach Absatz 2 oder 3 vorliegt.;Liegt für einen Biostoff weder eine Einstufung nach Absatz 2 noch eine nach Absatz 3 vor, hat der Arbeitgeber, der eine gezielte Tätigkeit mit diesem Biostoff beabsichtigt, diesen in eine der Risikogruppen nach Absatz 1 einzustufen.;Handlungspflicht;muss;hat der Arbeitgeber ... einzustufen;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/biostoffv_2013/__3.html
BioStoffV;§ 3 Absatz 4 Satz 2;Der Arbeitgeber muss bei der Einstufung die vorgegebenen Einstufungsregeln beachten.;"Dabei hat der Arbeitgeber Folgendes zu beachten: 1. kommen für die Einstufung mehrere Risikogruppen in Betracht, ist der Biostoff in die höchste infrage kommende Risikogruppe einzustufen, 2. Viren, die bereits beim Menschen isoliert wurden, sind mindestens in die Risikogruppe 2 einzustufen, es sei denn, es ist unwahrscheinlich, dass diese Viren beim Menschen eine Krankheit verursachen, 3. Stämme, die abgeschwächt sind oder bekannte Virulenzgene verloren haben, können vorbehaltlich einer angemessenen Ermittlung und Bewertung in eine niedrigere Risikogruppe eingestuft werden als der Elternstamm (parentaler Stamm); ist der Elternstamm in die Risikogruppe 3 oder 4 eingestuft, kann eine Herabstufung nur auf der Grundlage einer wissenschaftlichen Bewertung erfolgen, die insbesondere der Ausschuss nach § 19 vornehmen kann.";Handlungspflicht;muss;hat der Arbeitgeber Folgendes zu beachten;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/biostoffv_2013/__3.html
BioStoffV;§ 4 Absatz 1 Satz 1;Der Arbeitgeber muss die Gefährdung der Beschäftigten vor Aufnahme der Tätigkeit beurteilen.;Im Rahmen der Gefährdungsbeurteilung nach § 5 des Arbeitsschutzgesetzes hat der Arbeitgeber die Gefährdung der Beschäftigten durch die Tätigkeiten mit Biostoffen vor Aufnahme der Tätigkeit zu beurteilen.;Handlungspflicht;muss;hat der Arbeitgeber ... zu beurteilen;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/biostoffv_2013/__4.html
BioStoffV;§ 4 Absatz 1 Satz 2;Die Gefährdungsbeurteilung muss fachkundig durchgeführt werden.;Die Gefährdungsbeurteilung ist fachkundig durchzuführen.;Handlungspflicht;muss;ist fachkundig durchzuführen;Wirtschaft;die Gefährdungsbeurteilung;https://www.gesetze-im-internet.de/biostoffv_2013/__4.html
BioStoffV;§ 4 Absatz 1 Satz 3;Der Arbeitgeber muss sich fachkundig beraten lassen, wenn ihm die entsprechenden Kenntnisse fehlen.;Verfügt der Arbeitgeber nicht selbst über die entsprechenden Kenntnisse, so hat er sich fachkundig beraten zu lassen.;Handlungspflicht;muss;hat er sich fachkundig beraten zu lassen;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/biostoffv_2013/__4.html
BioStoffV;§ 4 Absatz 2 Satz 1;Der Arbeitgeber muss die Gefährdungsbeurteilung unverzüglich aktualisieren, wenn bestimmte Änderungen oder Erkenntnisse dies erfordern.;Der Arbeitgeber hat die Gefährdungsbeurteilung unverzüglich zu aktualisieren, wenn 1. maßgebliche Veränderungen der Arbeitsbedingungen oder neue Informationen, zum Beispiel Unfallberichte oder Erkenntnisse aus arbeitsmedizinischen Vorsorgeuntersuchungen, dies erfordern oder 2. die Prüfung von Funktion und Wirksamkeit der Schutzmaßnahmen ergeben hat, dass die festgelegten Schutzmaßnahmen nicht wirksam sind.;Handlungspflicht;muss;hat die Gefährdungsbeurteilung unverzüglich zu aktualisieren;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/biostoffv_2013/__4.html
BioStoffV;§ 4 Absatz 2 Satz 2;Der Arbeitgeber muss die Gefährdungsbeurteilung regelmäßig überprüfen und bei Bedarf aktualisieren.;Ansonsten hat der Arbeitgeber die Gefährdungsbeurteilung mindestens jedes zweite Jahr zu überprüfen und bei Bedarf zu aktualisieren.;Handlungspflicht;muss;hat der Arbeitgeber ... zu überprüfen und bei Bedarf zu aktualisieren;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/biostoffv_2013/__4.html
BioStoffV;§ 4 Absatz 2 Satz 3;Der Arbeitgeber muss in diesem Fall das Ergebnis der Überprüfung in der Dokumentation vermerken.;Ergibt die Überprüfung, dass eine Aktualisierung der Gefährdungsbeurteilung nicht erforderlich ist, so hat der Arbeitgeber dies unter Angabe des Datums der Überprüfung in der Dokumentation nach § 7 zu vermerken.;Informationspflicht;muss;hat der Arbeitgeber ... zu vermerken;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/biostoffv_2013/__4.html
BioStoffV;§ 4 Absatz 3 Satz 1;Der Arbeitgeber muss für die Gefährdungsbeurteilung die dort genannten Informationen ermitteln.;Für die Gefährdungsbeurteilung hat der Arbeitgeber insbesondere Folgendes zu ermitteln: 1. Identität, Risikogruppeneinstufung und Übertragungswege der Biostoffe, deren mögliche sensibilisierende und toxische Wirkungen und Aufnahmepfade, soweit diese Informationen ermittelt werden können, 2. Art der Tätigkeit unter Berücksichtigung der Betriebsabläufe, Arbeitsverfahren und verwendeten Arbeitsmittel einschließlich der Betriebsanlagen, 3. Art, Dauer und Häufigkeit der Exposition der Beschäftigten, soweit diese Informationen für den Arbeitgeber zugänglich sind, 4. Möglichkeit des Einsatzes von Biostoffen, Arbeitsverfahren oder Arbeitsmitteln, die zu keiner oder einer geringeren Gefährdung der Beschäftigten führen würden (Substitutionsprüfung), 5. tätigkeitsbezogene Erkenntnisse a) über Belastungs- und Expositionssituationen, einschließlich psychischer Belastungen, b) über bekannte Erkrankungen und die zu ergreifenden Gegenmaßnahmen, c) aus der arbeitsmedizinischen Vorsorge.;Informationspflicht;muss;hat der Arbeitgeber insbesondere Folgendes zu ermitteln;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/biostoffv_2013/__4.html
