norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
BörsG;§ 3 Absatz 2 Satz 2;Die Börsenorgane müssen die Börsenaufsichtsbehörde bei ihren Aufgaben unterstützen.;Die Börsenorgane sind verpflichtet, die Börsenaufsichtsbehörde bei der Erfüllung ihrer Aufgaben zu unterstützen.;Duldungs-/Mitwirkungspflicht;muss;sind verpflichtet, ... zu unterstützen;Wirtschaft;Die Börsenorgane;https://www.gesetze-im-internet.de/b_rsg_2007/__3.html
BörsG;§ 3 Absatz 4 Satz 5;Die Auskunftspflichtigen müssen den Bediensteten der Börsenaufsichtsbehörde während der üblichen Arbeitszeit das Betreten ihrer Grundstücke und Geschäftsräume gestatten.;Die Auskunftspflichtigen haben den Bediensteten der Börsenaufsichtsbehörde während der üblichen Arbeitszeit das Betreten ihrer Grundstücke und Geschäftsräume zu gestatten, soweit dies zur Wahrnehmung der Aufgaben der Börsenaufsichtsbehörde erforderlich ist.;Duldungs-/Mitwirkungspflicht;muss;haben ... das Betreten ... zu gestatten;Wirtschaft;Die Auskunftspflichtigen;https://www.gesetze-im-internet.de/b_rsg_2007/__3.html
BörsG;§ 3 Absatz 4 Satz 6;Das Betreten außerhalb der üblichen Arbeitszeit oder in Wohnungen muss unter den genannten Voraussetzungen geduldet werden.;Das Betreten außerhalb dieser Zeit oder, wenn die Geschäftsräume sich in einer Wohnung befinden, ist ohne Einverständnis nur zur Verhütung von dringenden Gefahren für die öffentliche Sicherheit und Ordnung zulässig und insoweit zu dulden.;Duldungs-/Mitwirkungspflicht;muss;ist ... zu dulden;Wirtschaft;das Betreten;https://www.gesetze-im-internet.de/b_rsg_2007/__3.html
BörsG;§ 3 Absatz 5 Satz 4;Die Börsenaufsichtsbehörde muss eine Maßnahme nach Satz 1 Nummer 1 unverzüglich auf ihrer Internetseite veröffentlichen.;Eine Maßnahme nach Satz 1 Nr. 1 hat die Börsenaufsichtsbehörde unverzüglich auf ihrer Internetseite zu veröffentlichen.;Handlungspflicht;muss;hat ... unverzüglich ... zu veröffentlichen;Öffentliche Verwaltung;die Börsenaufsichtsbehörde;https://www.gesetze-im-internet.de/b_rsg_2007/__3.html
BörsG;§ 3a Absatz 1 Satz 1;Die Börsenaufsichtsbehörde muss die Einhaltung der Vorgaben der Verordnung (EU) 2015/2365 überwachen.;Die Börsenaufsichtsbehörde überwacht die Einhaltung der Verbote und Gebote der Verordnung (EU) 2015/2365 durch die Börse und den Börsenträger …;Handlungspflicht;muss;überwacht die Einhaltung;Öffentliche Verwaltung;Die Börsenaufsichtsbehörde;https://www.gesetze-im-internet.de/b_rsg_2007/__3a.html
BörsG;§ 3a Absatz 1 Satz 2;Die Börsenaufsichtsbehörde muss die Einhaltung der Vorgaben der Verordnung (EU) 2022/2554 überwachen.;Die Börsenaufsichtsbehörde überwacht die Einhaltung der Verbote und Gebote der Verordnung (EU) 2022/2554 durch die Börse und den Börsenträger …;Handlungspflicht;muss;überwacht die Einhaltung;Öffentliche Verwaltung;Die Börsenaufsichtsbehörde;https://www.gesetze-im-internet.de/b_rsg_2007/__3a.html
BörsG;§ 3a Absatz 1 Satz 4;Die Börsenaufsichtsbehörde und die Deutsche Bundesbank müssen bei der Durchführung der Aufgaben nach der Verordnung (EU) 2022/2554 zusammenarbeiten.;Die Börsenaufsichtsbehörde und die Deutsche Bundesbank arbeiten bei der Durchführung der Aufgaben nach den Artikeln 26 und 27 der Verordnung (EU) 2022/2554 zusammen.;Duldungs-/Mitwirkungspflicht;muss;arbeiten … zusammen;Öffentliche Verwaltung;Die Börsenaufsichtsbehörde und die Deutsche Bundesbank;https://www.gesetze-im-internet.de/b_rsg_2007/__3a.html
BörsG;§ 3a Absatz 1 Satz 5;Die Deutsche Bundesbank muss die operativen Aufgaben nach der Verordnung (EU) 2022/2554 wahrnehmen.;Die Deutsche Bundesbank nimmt die operativen Aufgaben nach den Artikeln 26 und 27 der Verordnung (EU) 2022/2554 wahr.;Handlungspflicht;muss;nimmt ... wahr;Öffentliche Verwaltung;Die Deutsche Bundesbank;https://www.gesetze-im-internet.de/b_rsg_2007/__3a.html
BörsG;§ 3b Absatz 1;Die Börsenaufsichtsbehörde muss geeignete Vorkehrungen zur Ermöglichung von Meldungen treffen.;Die Börsenaufsichtsbehörde trifft geeignete Vorkehrungen, um die Meldung von möglichen oder tatsächlichen Verstößen gegen dieses Gesetz oder gegen die Verordnung (EU) Nr. 600/2014 oder gegen Artikel 4 oder 15 der Verordnung (EU) 2015/2365 oder gegen die zur Durchführung dieses Gesetzes oder der Verordnung (EU) Nr. 600/2014 oder von Artikel 4 oder 15 der Verordnung (EU) 2015/2365 erlassenen Verordnungen, Rechtsakte oder Anordnungen oder gegen sonstige Vorschriften, deren Einhaltung sie zu überwachen hat, zu ermöglichen.;Handlungspflicht;muss;trifft geeignete Vorkehrungen, um ... zu ermöglichen;Öffentliche Verwaltung;die Börsenaufsichtsbehörde;https://www.gesetze-im-internet.de/b_rsg_2007/__3b.html
BörsG;§ 3b Absatz 3 Satz 1;Die Börsenaufsichtsbehörde darf die Identität einer meldenden Person nicht ohne ausdrückliche Einwilligung offenbaren.;Die Börsenaufsichtsbehörde macht die Identität einer Person, die eine Meldung erstattet hat, nicht bekannt, ohne zuvor die ausdrückliche Einwilligung dieser Person eingeholt zu haben.;Unterlassungspflicht;muss;macht ... nicht bekannt;Öffentliche Verwaltung;die Börsenaufsichtsbehörde;https://www.gesetze-im-internet.de/b_rsg_2007/__3b.html
