norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
KAGB;§ 3 Absatz 1 Satz 1;Andere als Verwaltungsgesellschaften im Sinne dieses Gesetzes dürfen diese Bezeichnungen nicht führen.;Die Bezeichnungen „Kapitalverwaltungsgesellschaft“, „Investmentvermögen“, „Investmentfonds“ oder „Investmentgesellschaft“ oder eine Bezeichnung, in der diese Begriffe enthalten sind, darf in der Firma, als Zusatz zur Firma, zur Bezeichnung des Geschäftszwecks oder zu Werbezwecken nur von Verwaltungsgesellschaften im Sinne dieses Gesetzes geführt werden.;Unterlassungspflicht;muss;darf … nur von Verwaltungsgesellschaften im Sinne dieses Gesetzes geführt werden;Wirtschaft;andere als Verwaltungsgesellschaften im Sinne dieses Gesetzes;https://www.gesetze-im-internet.de/kagb/__3.html
KAGB;§ 3 Absatz 1 Satz 2;Andere als die genannten Vertriebsgesellschaften dürfen diese Bezeichnungen nicht führen.;Die Bezeichnungen „Investmentfonds“ und „Investmentvermögen“ dürfen auch von Vertriebsgesellschaften geführt werden, die Anteile an Investmentvermögen vertreiben, die nach Maßgabe dieses Gesetzes vertrieben werden dürfen.;Unterlassungspflicht;muss;dürfen auch von Vertriebsgesellschaften geführt werden;Wirtschaft;andere als Vertriebsgesellschaften, die Anteile an Investmentvermögen vertreiben, die nach Maßgabe dieses Gesetzes vertrieben werden dürfen;https://www.gesetze-im-internet.de/kagb/__3.html
KAGB;§ 3 Absatz 1 Satz 3;Andere als extern verwaltete Investmentgesellschaften dürfen diese Bezeichnungen nicht führen.;Die Bezeichnungen „Investmentfonds“, „Investmentvermögen“ und „Investmentgesellschaft“ dürfen auch von extern verwalteten Investmentgesellschaften geführt werden.;Unterlassungspflicht;muss;dürfen auch von extern verwalteten Investmentgesellschaften geführt werden;Wirtschaft;andere als extern verwaltete Investmentgesellschaften;https://www.gesetze-im-internet.de/kagb/__3.html
KAGB;§ 3 Absatz 2;Andere als Investmentaktiengesellschaften dürfen diese Bezeichnung nicht führen.;Die Bezeichnung „Investmentaktiengesellschaft“ darf nur von Investmentaktiengesellschaften im Sinne der §§ 108 bis 123 oder der §§ 140 bis 148 geführt werden.;Unterlassungspflicht;muss;darf nur von Investmentaktiengesellschaften … geführt werden;Wirtschaft;andere als Investmentaktiengesellschaften im Sinne der §§ 108 bis 123 oder der §§ 140 bis 148;https://www.gesetze-im-internet.de/kagb/__3.html
KAGB;§ 3 Absatz 3;Andere als Investmentkommanditgesellschaften dürfen diese Bezeichnung nicht führen.;Die Bezeichnung „Investmentkommanditgesellschaft“ darf nur von Investmentkommanditgesellschaften im Sinne der §§ 124 bis 138 oder der §§ 149 bis 161 geführt werden.;Unterlassungspflicht;muss;darf nur von Investmentkommanditgesellschaften … geführt werden;Wirtschaft;andere als Investmentkommanditgesellschaften im Sinne der §§ 124 bis 138 oder der §§ 149 bis 161;https://www.gesetze-im-internet.de/kagb/__3.html
KAGB;§ 4 Absatz 1;Die Bezeichnung darf nicht irreführend sein.;Die Bezeichnung des Sondervermögens, der Investmentaktiengesellschaft oder der Investmentkommanditgesellschaft darf nicht irreführen.;Unterlassungspflicht;muss;darf nicht irreführen;Wirtschaft;Die Bezeichnung des Sondervermögens, der Investmentaktiengesellschaft oder der Investmentkommanditgesellschaft;https://www.gesetze-im-internet.de/kagb/__4.html
KAGB;§ 5 Absatz 1 Satz 1;Die Bundesanstalt muss die Aufsicht nach diesem Gesetz ausüben.;Die Bundesanstalt übt die Aufsicht nach den Vorschriften dieses Gesetzes aus.;Handlungspflicht;muss;übt … aus;Öffentliche Verwaltung;Die Bundesanstalt;https://www.gesetze-im-internet.de/kagb/__5.html
KAGB;§ 5 Absatz 3 Satz 1;Die Bundesanstalt muss in Zweifelsfällen entscheiden, ob dieses Gesetz gilt oder ein Investmentvermögen vorliegt.;Die Bundesanstalt entscheidet in Zweifelsfällen, dass ein inländisches Unternehmen den Vorschriften dieses Gesetzes unterliegt oder dass ein Investmentvermögen im Sinne des § 1 Absatz 1 vorliegt.;Handlungspflicht;muss;entscheidet in Zweifelsfällen;Öffentliche Verwaltung;Die Bundesanstalt;https://www.gesetze-im-internet.de/kagb/__5.html
KAGB;§ 5 Absatz 4 Satz 1;Die Bundesanstalt muss die Einhaltung bestimmter Vorschriften durch bestimmte ausländische oder EU-Verwaltungsgesellschaften überwachen.;Die Bundesanstalt überwacht die Einhaltung der Bestimmungen des § 26 Absatz 2 bis 8, des § 27, des § 51 Absatz 8, des § 54 Absatz 4 Satz 1 in Verbindung mit § 28 Absatz 1 Satz 4 und des § 66 Absatz 4 Satz 1 in Verbindung mit § 28 Absatz 1 Satz 4 durch ausländische AIF-Verwaltungsgesellschaften, deren Referenzmitgliedstaat nicht die Bundesrepublik Deutschland ist, oder EU-Verwaltungsgesellschaften, wenn die ausländische AIF-Verwaltungsgesellschaft oder die EU-Verwaltungsgesellschaft Investmentvermögen im Inland über eine Zweigniederlassung verwaltet oder vertreibt.;Handlungspflicht;muss;überwacht die Einhaltung;Öffentliche Verwaltung;Die Bundesanstalt;https://www.gesetze-im-internet.de/kagb/__5.html
KAGB;§ 5 Absatz 5 Satz 1;Die Bundesanstalt muss die Einhaltung der genannten Vorschriften durch Verwaltungsgesellschaften und andere beaufsichtigte Unternehmen überwachen.;Die Bundesanstalt überwacht ferner 1. die Einhaltung der §§ 293 bis 311, 314 bis 321, 323 und 330a sowie der sonstigen beim Vertrieb zu beachtenden Vorschriften des deutschen Rechts, 2. vor dem Zeitpunkt, der in dem auf Grundlage des Artikels 66 Absatz 3 in Verbindung mit Artikel 67 Absatz 6 der Richtlinie 2011/61/EU erlassenen delegierten Rechtsakt genannt ist, die Einhaltung der §§ 329 und 330 und 3. nach dem Zeitpunkt nach Nummer 2 die Einhaltung der §§ 322 und 324 bis 328 durch die Verwaltungsgesellschaften und durch andere von der Bundesanstalt beaufsichtigte Unternehmen.;Handlungspflicht;muss;überwacht ferner;Öffentliche Verwaltung;Die Bundesanstalt;https://www.gesetze-im-internet.de/kagb/__5.html
