norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
SGB 5;§ 1 Satz 3;Die Versicherten sollen durch gesundheitsbewusstes Verhalten zur Vermeidung oder Überwindung von Krankheit und Behinderung beitragen.;"Die Versicherten sind für ihre Gesundheit mitverantwortlich; sie sollen durch eine gesundheitsbewußte Lebensführung, durch frühzeitige Beteiligung an gesundheitlichen Vorsorgemaßnahmen sowie durch aktive Mitwirkung an Krankenbehandlung und Rehabilitation dazu beitragen, den Eintritt von Krankheit und Behinderung zu vermeiden oder ihre Folgen zu überwinden.";Handlungspflicht;soll;sie sollen ... dazu beitragen;Bürgerinnen und Bürger;die Versicherten;https://www.gesetze-im-internet.de/sgb_5/__1.html
SGB 5;§ 1 Satz 4;Die Krankenkassen müssen die Versicherten unterstützen und auf gesunde Lebensverhältnisse hinwirken.;Die Krankenkassen haben den Versicherten dabei durch Aufklärung, Beratung und Leistungen zu helfen und unter Berücksichtigung von geschlechts-, alters- und behinderungsspezifischen Besonderheiten auf gesunde Lebensverhältnisse hinzuwirken.;Handlungspflicht;muss;haben ... zu helfen und ... hinzuwirken;Wirtschaft;die Krankenkassen;https://www.gesetze-im-internet.de/sgb_5/__1.html
SGB 5;§ 2 Absatz 1 Satz 1;Die Krankenkassen müssen den Versicherten die Leistungen des Dritten Kapitels zur Verfügung stellen.;Die Krankenkassen stellen den Versicherten die im Dritten Kapitel genannten Leistungen unter Beachtung des Wirtschaftlichkeitsgebots (§ 12) zur Verfügung, soweit diese Leistungen nicht der Eigenverantwortung der Versicherten zugerechnet werden.;Handlungspflicht;muss;stellen ... zur Verfügung;Öffentliche Verwaltung;Die Krankenkassen;https://www.gesetze-im-internet.de/sgb_5/__2.html
SGB 5;§ 2 Absatz 1 Satz 3;Die Qualität und Wirksamkeit der Leistungen müssen dem medizinischen Stand entsprechen und den Fortschritt berücksichtigen.;Qualität und Wirksamkeit der Leistungen haben dem allgemein anerkannten Stand der medizinischen Erkenntnisse zu entsprechen und den medizinischen Fortschritt zu berücksichtigen.;Handlungspflicht;muss;haben ... zu entsprechen und ... zu berücksichtigen;Öffentliche Verwaltung;die Qualität und Wirksamkeit der Leistungen;https://www.gesetze-im-internet.de/sgb_5/__2.html
SGB 5;§ 2 Absatz 1a Satz 3;Die Krankenkasse muss vor Behandlungsbeginn eine Kostenübernahmeerklärung erteilen, wenn sie beantragt wird.;Die Krankenkasse erteilt für Leistungen nach Satz 1 vor Beginn der Behandlung eine Kostenübernahmeerklärung, wenn Versicherte oder behandelnde Leistungserbringer dies beantragen.;Handlungspflicht;muss;erteilt ... eine Kostenübernahmeerklärung;Öffentliche Verwaltung;Die Krankenkasse;https://www.gesetze-im-internet.de/sgb_5/__2.html
SGB 5;§ 2 Absatz 2 Satz 1;Die Krankenkassen müssen auf Antrag Leistungen durch ein Persönliches Budget erbringen.;"Die Leistungen werden auf Antrag durch ein Persönliches Budget erbracht; § 29 des Neunten Buches gilt entsprechend.";Handlungspflicht;muss;werden auf Antrag ... erbracht;Öffentliche Verwaltung;Die Krankenkassen;https://www.gesetze-im-internet.de/sgb_5/__2.html
SGB 5;§ 2 Absatz 2 Satz 3;Die Krankenkassen müssen Verträge mit den Leistungserbringern schließen.;Über die Erbringung der Sach- und Dienstleistungen schließen die Krankenkassen nach den Vorschriften des Vierten Kapitels Verträge mit den Leistungserbringern.;Handlungspflicht;muss;schließen ... Verträge;Öffentliche Verwaltung;Die Krankenkassen;https://www.gesetze-im-internet.de/sgb_5/__2.html
SGB 5;§ 2 Absatz 3 Satz 1;Bei der Auswahl der Leistungserbringer muss ihre Vielfalt beachtet werden.;Bei der Auswahl der Leistungserbringer ist ihre Vielfalt zu beachten.;Handlungspflicht;muss;ist ... zu beachten;Öffentliche Verwaltung;die bei der Auswahl der Leistungserbringer handelnden Stellen;https://www.gesetze-im-internet.de/sgb_5/__2.html
SGB 5;§ 2 Absatz 3 Satz 2;Bei der Leistungserbringung müssen die religiösen Bedürfnisse der Versicherten berücksichtigt werden.;Den religiösen Bedürfnissen der Versicherten ist Rechnung zu tragen.;Handlungspflicht;muss;ist Rechnung zu tragen;Öffentliche Verwaltung;die bei der Auswahl der Leistungserbringer handelnden Stellen;https://www.gesetze-im-internet.de/sgb_5/__2.html
SGB 5;§ 2 Absatz 4;Krankenkassen, Leistungserbringer und Versicherte müssen darauf achten, dass Leistungen wirksam, wirtschaftlich und nur im notwendigen Umfang erbracht bzw. in Anspruch genommen werden.;Krankenkassen, Leistungserbringer und Versicherte haben darauf zu achten, daß die Leistungen wirksam und wirtschaftlich erbracht und nur im notwendigen Umfang in Anspruch genommen werden.;Handlungspflicht;muss;haben darauf zu achten;Öffentliche Verwaltung, Wirtschaft, Bürgerinnen und Bürger;Krankenkassen, Leistungserbringer und Versicherte;https://www.gesetze-im-internet.de/sgb_5/__2.html
SGB 5;§ 2b Satz 1;Die Krankenkassen müssen bei ihren Leistungen geschlechts- und altersspezifische Besonderheiten berücksichtigen.;Bei den Leistungen der Krankenkassen ist geschlechts- und altersspezifischen Besonderheiten Rechnung zu tragen.;Handlungspflicht;muss;ist … Rechnung zu tragen;Öffentliche Verwaltung;die Krankenkassen;https://www.gesetze-im-internet.de/sgb_5/__2b.html
SGB 5;§ 3 Satz 2;Mitglieder und Arbeitgeber müssen Beiträge entrichten.;Dazu entrichten die Mitglieder und die Arbeitgeber Beiträge, die sich in der Regel nach den beitragspflichtigen Einnahmen der Mitglieder richten.;Handlungspflicht;muss;entrichten … Beiträge;Bürgerinnen und Bürger, Wirtschaft, Öffentliche Verwaltung;die Mitglieder und die Arbeitgeber;https://www.gesetze-im-internet.de/sgb_5/__3.html
SGB 5;§ 4 Absatz 3;Krankenkassen und ihre Verbände müssen eng zusammenarbeiten.;Im Interesse der Leistungsfähigkeit und Wirtschaftlichkeit der gesetzlichen Krankenversicherung arbeiten die Krankenkassen und ihre Verbände sowohl innerhalb einer Kassenart als auch kassenartenübergreifend miteinander und mit allen anderen Einrichtungen des Gesundheitswesens eng zusammen.;Handlungspflicht;muss;arbeiten ... eng zusammen;Wirtschaft;die Krankenkassen und ihre Verbände;https://www.gesetze-im-internet.de/sgb_5/__4.html
SGB 5;§ 4 Absatz 4;Krankenkassen müssen ihre Aufgaben und Verwaltungsangelegenheiten sparsam und wirtschaftlich erledigen.;Die Krankenkassen haben bei der Durchführung ihrer Aufgaben und in ihren Verwaltungsangelegenheiten sparsam und wirtschaftlich zu verfahren und dabei ihre Ausgaben so auszurichten, dass Beitragserhöhungen ausgeschlossen werden, es sei denn, die notwendige medizinische Versorgung ist auch nach Ausschöpfung von Wirtschaftlichkeitsreserven nicht zu gewährleisten.;Handlungspflicht;muss;haben ... zu verfahren;Wirtschaft;die Krankenkassen;https://www.gesetze-im-internet.de/sgb_5/__4.html
SGB 5;§ 4 Absatz 6 Satz 1;Eine Krankenkasse darf ihre sächlichen Verwaltungsausgaben 2026 nicht stärker als um 8 Prozent erhöhen.;Im Jahr 2026 dürfen sich die sächlichen Verwaltungsausgaben einer Krankenkasse nicht um mehr als 8 Prozent gegenüber dem Jahr 2024 erhöhen.;Unterlassungspflicht;muss;dürfen sich ... nicht um mehr als 8 Prozent ... erhöhen;Wirtschaft;eine Krankenkasse;https://www.gesetze-im-internet.de/sgb_5/__4.html
SGB 5;§ 4a Absatz 1 Satz 2;Der Wettbewerb der Krankenkassen darf keine Maßnahmen der Risikoselektion fördern.;Dieser Wettbewerb muss unter Berücksichtigung der Finanzierung der Krankenkassen durch Beiträge und des sozialen Auftrags der Krankenkassen angemessen sein. Maßnahmen, die der Risikoselektion dienen oder diese unmittelbar oder mittelbar fördern, sind unzulässig.;Unterlassungspflicht;muss;sind unzulässig;Wirtschaft;Dieser Wettbewerb;https://www.gesetze-im-internet.de/sgb_5/__4a.html
SGB 5;§ 4a Absatz 2;Krankenkassen dürfen keine unlauteren geschäftlichen Handlungen vornehmen.;Unlautere geschäftliche Handlungen der Krankenkassen sind unzulässig.;Unterlassungspflicht;muss;sind unzulässig;Wirtschaft;Krankenkassen;https://www.gesetze-im-internet.de/sgb_5/__4a.html
SGB 5;§ 4a Absatz 3 Satz 2;Krankenkassen müssen ihre Werbung sachbezogen ausrichten.;Bei Werbemaßnahmen der Krankenkassen muss die sachbezogene Information im Vordergrund stehen.;Handlungspflicht;muss;muss … im Vordergrund stehen;Wirtschaft;Krankenkassen;https://www.gesetze-im-internet.de/sgb_5/__4a.html
SGB 5;§ 4a Absatz 3 Satz 3;Die Werbung muss in einer mit der Rechtsstellung der Krankenkassen vereinbaren Form erfolgen.;Die Werbung hat in einer Form zu erfolgen, die mit der Eigenschaft der Krankenkassen als Körperschaften des öffentlichen Rechts unter Berücksichtigung ihrer Aufgaben vereinbar ist.;Handlungspflicht;muss;hat in einer Form zu erfolgen;Wirtschaft;Die Werbung;https://www.gesetze-im-internet.de/sgb_5/__4a.html
SGB 5;§ 4a Absatz 5;Krankenkassen müssen bei Beauftragungen die Einhaltung der einschlägigen Vorschriften durch die Beauftragten sicherstellen.;Beauftragen Krankenkassen Arbeitsgemeinschaften, Beteiligungsgesellschaften oder Dritte zu Zwecken des Wettbewerbs und insbesondere der Werbung, haben sie sicherzustellen, dass die Beauftragten die für entsprechende Maßnahmen der Krankenkassen geltenden Vorschriften einschließlich der Vorgaben der Absätze 1 bis 3 sowie der Rechtsverordnung nach Absatz 4 einhalten.;Duldungs-/Mitwirkungspflicht;muss;haben sie sicherzustellen, dass;Wirtschaft;Krankenkassen;https://www.gesetze-im-internet.de/sgb_5/__4a.html
SGB 5;§ 4a Absatz 6;Es ist sicherzustellen, dass werbebezogene Verwaltungsausgaben einheitlich gebucht werden.;In den Verwaltungsvorschriften nach § 78 Satz 1 des Vierten Buches und § 77 Absatz 1a des Vierten Buches ist sicherzustellen, dass Verwaltungsausgaben, die der Werbung neuer Mitglieder dienen, nach für alle Krankenkassen gleichen Grundsätzen gebucht werden.;Handlungspflicht;muss;ist sicherzustellen, dass;Öffentliche Verwaltung;In den Verwaltungsvorschriften nach § 78 Satz 1 des Vierten Buches und § 77 Absatz 1a des Vierten Buches;https://www.gesetze-im-internet.de/sgb_5/__4a.html
SGB 5;§ 4a Absatz 7 Satz 2;Die berechtigte Krankenkasse soll vor Klageerhebung abmahnen und eine außergerichtliche Beilegung ermöglichen.;Die zur Geltendmachung des Anspruchs berechtigte Krankenkasse soll die Schuldnerin vor der Einleitung eines gerichtlichen Verfahrens abmahnen und ihr Gelegenheit geben, den Streit durch Abgabe einer mit einer angemessenen Vertragsstrafe bewehrten Unterlassungsverpflichtung beizulegen.;Handlungspflicht;soll;soll … abmahnen und … Gelegenheit geben;Wirtschaft;Die zur Geltendmachung des Anspruchs berechtigte Krankenkasse;https://www.gesetze-im-internet.de/sgb_5/__4a.html
SGB 5;§ 4b Satz 1;Das Landesrecht darf von den genannten Regelungen des Verwaltungsverfahrens nicht abweichen.;Abweichungen von den Regelungen des Verwaltungsverfahrens gemäß den §§ 266, 267 und 269 durch Landesrecht sind ausgeschlossen.;Unterlassungspflicht;muss;sind ausgeschlossen;Öffentliche Verwaltung;Landesrecht;https://www.gesetze-im-internet.de/sgb_5/__4b.html
