norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
VAG;§ 1 Absatz 4 Satz 2;Die Vertreterversammlung und die Einrichtungen müssen für bestimmte Beschlüsse eine Genehmigung einholen.;"Beschlüsse der Vertreterversammlung über diese Einrichtungen sowie über deren Satzungen und Geschäftspläne bedürfen der Genehmigung der Aufsichtsbehörde; § 8 Absatz 1, § 9 Absatz 1 bis 4 und § 11 gelten hierfür entsprechend.";Informationspflicht;muss;bedürfen der Genehmigung der Aufsichtsbehörde;Wirtschaft;die Vertreterversammlung sowie diese Einrichtungen;https://www.gesetze-im-internet.de/vag_2016/__1.html
VAG;§ 2 Absatz 1 Satz 1;Die genannten öffentlich-rechtlichen Einrichtungen müssen einen separaten Abrechnungsverband einrichten.;Soweit öffentlich-rechtliche Einrichtungen einschließlich der rechtlich unselbständigen kommunalen und kirchlichen Zusatzversorgungskassen und der Versorgungsanstalt des Bundes und der Länder im Wege der freiwilligen Versicherung Leistungen der Altersvorsorge anbieten, ist für die diesen Geschäften entsprechenden Verbindlichkeiten und Vermögenswerte ein separater Abrechnungsverband einzurichten.;Handlungspflicht;muss;ist … einzurichten;Öffentliche Verwaltung;öffentlich-rechtliche Einrichtungen einschließlich der rechtlich unselbständigen kommunalen und kirchlichen Zusatzversorgungskassen und der Versorgungsanstalt des Bundes und der Länder;https://www.gesetze-im-internet.de/vag_2016/__2.html
VAG;§ 2 Absatz 1 Satz 2;Die Einrichtungen müssen Verbindlichkeiten und Vermögenswerte getrennt von den anderen Geschäften verwalten und organisieren.;Die Verbindlichkeiten und Vermögenswerte werden ohne die Möglichkeit einer Übertragung getrennt von den anderen Geschäften der Einrichtung verwaltet und organisiert.;Handlungspflicht;muss;werden … getrennt … verwaltet und organisiert;Öffentliche Verwaltung;die Einrichtungen;https://www.gesetze-im-internet.de/vag_2016/__2.html
VAG;§ 5 Absatz 1 Satz 3;Die Aufsichtsbehörde muss die Freistellung widerrufen, wenn die Voraussetzungen entfallen sind.;Die Freistellung ist zu widerrufen, wenn der Aufsichtsbehörde bekannt wird, dass die Voraussetzungen der Freistellung entfallen sind.;Handlungspflicht;muss;ist zu widerrufen;Öffentliche Verwaltung;die Aufsichtsbehörde;https://www.gesetze-im-internet.de/vag_2016/__5.html
VAG;§ 6 Absatz 1 Satz 1;Versicherungsunternehmen und ihre Verbände dürfen die genannten Bezeichnungen nur unter den gesetzlichen Voraussetzungen verwenden.;Die Bezeichnungen „Versicherung“, „Versicherer“, „Assekuranz“, „Rückversicherung“, „Rückversicherer“ und entsprechende fremdsprachliche Bezeichnungen oder eine Bezeichnung, in der eines dieser Worte enthalten ist, dürfen in der Firma, als Zusatz zur Firma, zur Bezeichnung des Geschäftszwecks oder zu Werbezwecken nur von Versicherungsunternehmen im Sinne des § 1 Absatz 1 und 3 sowie von deren Verbänden geführt werden, soweit durch Gesetz nichts anderes bestimmt ist.;Unterlassungspflicht;muss;dürfen … nur von … geführt werden;Wirtschaft;Versicherungsunternehmen im Sinne des § 1 Absatz 1 und 3 sowie deren Verbände;https://www.gesetze-im-internet.de/vag_2016/__6.html
VAG;§ 6 Absatz 1 Satz 2;Versicherungsvermittler dürfen die genannten Bezeichnungen nur mit klarstellendem Zusatz führen.;Versicherungsvermittler dürfen die in Satz 1 genannten Bezeichnungen nur führen, wenn diese mit einem Zusatz versehen sind, der die Vermittlereigenschaft klarstellt.;Unterlassungspflicht;muss;dürfen … nur führen, wenn;Wirtschaft;Versicherungsvermittler;https://www.gesetze-im-internet.de/vag_2016/__6.html
VAG;§ 6 Absatz 2 Satz 2;Die Bundesanstalt muss ihre Entscheidung dem Registergericht mitteilen.;Sie hat ihre Entscheidung dem Registergericht mitzuteilen.;Informationspflicht;muss;hat … mitzuteilen;Öffentliche Verwaltung;die Bundesanstalt für Finanzdienstleistungsaufsicht (Bundesanstalt);https://www.gesetze-im-internet.de/vag_2016/__6.html
VAG;§ 6 Absatz 4 Satz 1;Das Registergericht muss unzulässige Firmenangaben oder Bezeichnungen von Amts wegen löschen.;"Führt ein Unternehmen eine Firma oder einen Zusatz zur Firma, deren Gebrauch nach Absatz 1 unzulässig ist oder verwendet ein Unternehmen eine solche Bezeichnung, so hat das Registergericht die Firma, den Zusatz zur Firma oder den Unternehmensgegenstand von Amts wegen zu löschen; § 395 des Gesetzes über das Verfahren in Familiensachen und in den Angelegenheiten der freiwilligen Gerichtsbarkeit ist entsprechend anzuwenden.";Handlungspflicht;muss;hat … von Amts wegen zu löschen;Öffentliche Verwaltung;das Registergericht;https://www.gesetze-im-internet.de/vag_2016/__6.html
VAG;§ 6 Absatz 4 Satz 2;Das Unternehmen muss den Gebrauch der unzulässigen Firma, des Zusatzes или des Unternehmensgegenstandes unterlassen.;"Das Unternehmen ist zur Unterlassung des Gebrauchs der Firma, des Zusatzes zur Firma oder des Unternehmensgegenstandes durch Festsetzung von Ordnungsgeld anzuhalten; § 392 des Gesetzes über das Verfahren in Familiensachen und in den Angelegenheiten der freiwilligen Gerichtsbarkeit ist entsprechend anzuwenden.";Unterlassungspflicht;muss;ist zur Unterlassung des Gebrauchs … anzuhalten;Wirtschaft;das Unternehmen;https://www.gesetze-im-internet.de/vag_2016/__6.html
VAG;§ 8 Absatz 5 Satz 1;Die Aufsichtsbehörde muss die Erteilung und den Widerruf der Erlaubnis bekannt machen und melden.;Die Aufsichtsbehörde macht die Erteilung und den Widerruf der Erlaubnis im elektronischen Informationsmedium nach § 318 Absatz 3 bekannt und meldet sie der Europäischen Aufsichtsbehörde für das Versicherungswesen und die betriebliche Altersversorgung.;Informationspflicht;muss;macht … bekannt und meldet sie;Öffentliche Verwaltung;die Aufsichtsbehörde;https://www.gesetze-im-internet.de/vag_2016/__8.html
