norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
WpHG;§ 3 Absatz 1 Nummer 8 Buchstabe d;Das Unternehmen muss der Bundesanstalt auf Anforderung die Umstände mitteilen, auf deren Grundlage es seine Tätigkeit als Nebentätigkeit einstuft.;d) das Unternehmen der Bundesanstalt auf Anforderung die Umstände mitteilt, auf Grund derer es zu der Auffassung gelangt, dass seine Tätigkeit eine Nebentätigkeit zu seiner Haupttätigkeit darstellt,;Informationspflicht;muss;auf Anforderung die Umstände mitteilt;Wirtschaft;das Unternehmen;https://www.gesetze-im-internet.de/wphg/__3.html
WpHG;§ 3 Absatz 1 Nummer 8 Buchstabe e;Das Unternehmen muss der Bundesanstalt auf Anforderung unverzüglich mitteilen, auf welche Tatsachen und Berechnungsverfahren es die Ausnahme stützt.;e) das Unternehmen auf Anforderung der Bundesanstalt unverzüglich mitteilt, auf Grund welcher Tatsachen und Berechnungsverfahren gemäß der Delegierten Verordnung (EU) 2017/592 es die Ausnahme in Anspruch nimmt,;Informationspflicht;muss;auf Anforderung der Bundesanstalt unverzüglich mitteilt;Wirtschaft;das Unternehmen;https://www.gesetze-im-internet.de/wphg/__3.html
WpHG;§ 5 Absatz 1 Satz 1;Der Emittent muss den Herkunftsstaat Deutschland unverzüglich veröffentlichen.;Ein Emittent, dessen Herkunftsstaat nach § 2 Absatz 13 Nummer 1 Buchstabe a die Bundesrepublik Deutschland ist oder der nach § 4 Absatz 1 oder Absatz 2 die Bundesrepublik Deutschland als Herkunftsstaat wählt, hat dies unverzüglich zu veröffentlichen.;Informationspflicht;muss;hat dies unverzüglich zu veröffentlichen;Wirtschaft;Ein Emittent, dessen Herkunftsstaat nach § 2 Absatz 13 Nummer 1 Buchstabe a die Bundesrepublik Deutschland ist oder der nach § 4 Absatz 1 oder Absatz 2 die Bundesrepublik Deutschland als Herkunftsstaat wählt;https://www.gesetze-im-internet.de/wphg/__5.html
WpHG;§ 5 Absatz 1 Satz 2 Nummer 1;Der Emittent muss die Herkunftsstaat-Information unverzüglich an die das Unternehmensregister führende Stelle übermitteln.;Außerdem muss er die Information, dass die Bundesrepublik Deutschland sein Herkunftsstaat ist, 1. unverzüglich der das Unternehmensregister führenden Stelle zur Einstellung in das Unternehmensregister übermitteln;Informationspflicht;muss;muss er die Information … unverzüglich … übermitteln;Wirtschaft;er;https://www.gesetze-im-internet.de/wphg/__5.html
WpHG;§ 5 Absatz 1 Satz 2 Nummer 2;Der Emittent muss die Herkunftsstaat-Information unverzüglich den zuständigen Behörden mitteilen.;Außerdem muss er die Information, dass die Bundesrepublik Deutschland sein Herkunftsstaat ist, … 2. unverzüglich den folgenden Behörden mitteilen: a) der Bundesanstalt für Finanzdienstleistungsaufsicht (Bundesanstalt), b) wenn er seinen Sitz in einem anderen Mitgliedstaat der Europäischen Union oder einem anderen Vertragsstaat des Abkommens über den Europäischen Wirtschaftsraum hat, auch der dort zuständigen Behörde im Sinne des Artikels 24 der Richtlinie 2004/109/EG des Europäischen Parlaments und des Rates vom 15. Dezember 2004 zur Harmonisierung der Transparenzanforderungen in Bezug auf Informationen über Emittenten, deren Wertpapiere zum Handel auf einem geregelten Markt zugelassen sind, und zur Änderung der Richtlinie 2001/34/EG (ABl. L 390 vom 31.12.2004, S. 38), die durch die Richtlinie 2013/50/EU (ABl. L 294 vom 6.11.2013, S. 13) geändert worden ist, und, c) wenn seine Finanzinstrumente zum Handel an einem organisierten Markt in einem anderen Mitgliedstaat der Europäischen Union oder einem anderen Vertragsstaat des Abkommens über den Europäischen Wirtschaftsraum zugelassen sind, auch der dort zuständigen Behörde im Sinne des Artikels 24 der Richtlinie 2004/109/EG.;Informationspflicht;muss;muss er die Information … unverzüglich den folgenden Behörden mitteilen;Wirtschaft;er;https://www.gesetze-im-internet.de/wphg/__5.html
WpHG;§ 6 Absatz 1 Satz 1;Die Bundesanstalt muss die Aufsicht nach diesem Gesetz ausüben.;Die Bundesanstalt übt die Aufsicht nach den Vorschriften dieses Gesetzes aus.;Handlungspflicht;muss;übt die Aufsicht ... aus;Öffentliche Verwaltung;Die Bundesanstalt;https://www.gesetze-im-internet.de/wphg/__6.html
WpHG;§ 6 Absatz 1 Satz 2;Die Bundesanstalt muss Missständen entgegenwirken.;Sie hat im Rahmen der ihr zugewiesenen Aufgaben Missständen entgegenzuwirken, welche die ordnungsgemäße Durchführung des Handels mit Finanzinstrumenten oder von Wertpapierdienstleistungen, Wertpapiernebendienstleistungen oder Datenbereitstellungsdienstleistungen beeinträchtigen oder erhebliche Nachteile für den Finanzmarkt bewirken können.;Handlungspflicht;muss;hat ... entgegenzuwirken;Öffentliche Verwaltung;Sie;https://www.gesetze-im-internet.de/wphg/__6.html
WpHG;§ 6 Absatz 2 Satz 1;Die Bundesanstalt muss die Einhaltung der einschlägigen Verbote und Gebote überwachen.;Sie überwacht im Rahmen der ihr jeweils zugewiesenen Zuständigkeit die Einhaltung der Verbote und Gebote dieses Gesetzes, der auf Grund dieses Gesetzes erlassenen Rechtsverordnungen, der in § 1 Absatz 1 Nummer 8 aufgeführten europäischen Rechtsakte einschließlich der auf Grund dieser Rechtsakte erlassenen delegierten Rechtsakte und Durchführungsrechtsakte der Europäischen Kommission.;Handlungspflicht;muss;überwacht;Öffentliche Verwaltung;Sie;https://www.gesetze-im-internet.de/wphg/__6.html
WpHG;§ 7 Absatz 1;Ein Telekommunikationsbetreiber muss auf Verlangen der Bundesanstalt bestimmte Verkehrsdaten herausgeben.;Die Bundesanstalt kann von einem Telekommunikationsbetreiber die Herausgabe von in dessen Besitz befindlichen bereits existierenden Verkehrsdaten im Sinne der §§ 9 und 12 des Telekommunikation-Digitale-Dienste-Datenschutz-Gesetzes verlangen, wenn bestimmte Tatsachen den Verdacht begründen, dass jemand gegen Artikel 14 oder 15 der Verordnung (EU) Nr. 596/2014 gegen Vorschriften der Verordnung (EU) Nr. 600/2014, auf ihrer Grundlage erlassene delegierte Rechtsakte und Durchführungsrechtsakte der Europäischen Kommission oder gegen Vorschriften der Abschnitte 9 bis 11 dieses Gesetzes sowie die zur Durchführung dieser Vorschriften erlassenen Rechtsverordnungen verstoßen hat, soweit dies zur Erforschung des Sachverhalts erforderlich ist.;Duldungs-/Mitwirkungspflicht;muss;die Herausgabe … verlangen;Wirtschaft;ein Telekommunikationsbetreiber;https://www.gesetze-im-internet.de/wphg/__7.html
WpHG;§ 7 Absatz 2;Die genannten Unternehmen müssen auf Verlangen der Bundesanstalt bestimmte vorhandene Unterlagen oder Daten herausgeben.;Die Bundesanstalt kann von Wertpapierdienstleistungsunternehmen, Datenbereitstellungsdiensten, Kreditinstituten im Sinne des Artikels 4 Absatz 1 Nummer 1 der Verordnung (EU) Nr. 575/2013, beaufsichtigten Unternehmen im Sinne des Artikels 3 Absatz 1 Nummer 17 der Verordnung (EU) 2016/1011 und Finanzinstituten im Sinne des Artikels 4 Absatz 1 Nummer 26 der Verordnung (EU) Nr. 575/2013 die Herausgabe von bereits existierenden 1. Aufzeichnungen von Telefongesprächen, 2. elektronischen Mitteilungen oder 3. Verkehrsdaten im Sinne der §§ 9 und 12 des Telekommunikation-Digitale-Dienste-Datenschutz-Gesetzes, die sich im Besitz dieser Unternehmen befinden, verlangen, soweit dies auf Grund von Anhaltspunkten für die Überwachung der Einhaltung eines Verbots oder Gebots nach den Artikeln 14 und 15 der Verordnung (EU) Nr. 596/2014, nach der Verordnung (EU) Nr. 600/2014 sowie den auf ihrer Grundlage erlassenen delegierten Rechtsakten und Durchführungsrechtsakten der Europäischen Kommission, nach der Verordnung (EU) 2016/1011 oder nach Vorschriften der Abschnitte 9 bis 11 dieses Gesetzes sowie den zur Durchführung dieser Vorschriften erlassenen Rechtsverordnungen erforderlich ist.;Duldungs-/Mitwirkungspflicht;muss;die Herausgabe … verlangen;Wirtschaft;Wertpapierdienstleistungsunternehmen, Datenbereitstellungsdiensten, Kreditinstituten im Sinne des Artikels 4 Absatz 1 Nummer 1 der Verordnung (EU) Nr. 575/2013, beaufsichtigten Unternehmen im Sinne des Artikels 3 Absatz 1 Nummer 17 der Verordnung (EU) 2016/1011 und Finanzinstituten im Sinne des Artikels 4 Absatz 1 Nummer 26 der Verordnung (EU) Nr. 575/2013;https://www.gesetze-im-internet.de/wphg/__7.html
