norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
WpIG;§ 3 Absatz 1 Nummer 13 Buchstabe d;Das Unternehmen muss der Bundesanstalt auf Anforderung die Umstände mitteilen, die seine Nebentätigkeit rechtfertigen.;das Unternehmen der Bundesanstalt auf Anforderung die Umstände mitteilt, auf Grund derer es zu der Auffassung gelangt, dass seine Tätigkeit eine Nebentätigkeit zu seiner Haupttätigkeit darstellt;Informationspflicht;muss;auf Anforderung die Umstände mitteilt;Wirtschaft;das Unternehmen;https://www.gesetze-im-internet.de/wpig/__3.html
WpIG;§ 5 Absatz 1 Satz 1;Die Bundesanstalt muss die Aufsicht über die genannten Institute und Gesellschaften ausüben.;Die Bundesanstalt übt die Aufsicht über Wertpapierinstitute, Investmentholdinggesellschaften und gemischte Finanzholdinggesellschaften nach den Vorschriften dieses Gesetzes, den dazu erlassenen Rechtsverordnungen, der Verordnung (EU) 2019/2033 und der auf der Grundlage der Verordnung (EU) 2019/2033 und der Richtlinie (EU) 2019/2034 erlassenen Rechtsakte sowie der Verordnung (EU) 2022/2554 ... in der jeweils geltenden Fassung und der auf der Grundlage der Verordnung (EU) 2022/2554 erlassenen Rechtsakte aus.;Handlungspflicht;muss;übt die Aufsicht ... aus;Öffentliche Verwaltung;Die Bundesanstalt;https://www.gesetze-im-internet.de/wpig/__5.html
WpIG;§ 5 Absatz 1 Satz 3;Die Bundesanstalt muss Missständen im Wertpapierwesen entgegenwirken.;Die Bundesanstalt hat Missständen im Wertpapierwesen entgegenzuwirken, welche die Sicherheit der anvertrauten Vermögenswerte gefährden, die ordnungsmäßige Durchführung der erbrachten Wertpapierdienstleistungen, Wertpapiernebendienstleistungen oder Nebengeschäfte beeinträchtigen oder erhebliche Nachteile für die Gesamtwirtschaft herbeiführen könnten.;Handlungspflicht;muss;hat ... entgegenzuwirken;Öffentliche Verwaltung;Die Bundesanstalt;https://www.gesetze-im-internet.de/wpig/__5.html
WpIG;§ 5 Absatz 1 Satz 4;Die Bundesanstalt und die Deutsche Bundesbank müssen bei der Durchführung der Aufgaben zusammenarbeiten.;Die Bundesanstalt und die Deutsche Bundesbank arbeiten bei der Durchführung der Aufgaben nach den Artikeln 26 und 27 der Verordnung (EU) 2022/2554 zusammen.;Duldungs-/Mitwirkungspflicht;muss;arbeiten ... zusammen;Öffentliche Verwaltung;Die Bundesanstalt und die Deutsche Bundesbank;https://www.gesetze-im-internet.de/wpig/__5.html
WpIG;§ 5 Absatz 4 Satz 1;Die genannten Institute, Unternehmen und Personen müssen auf Verlangen Auskünfte erteilen und Unterlagen vorlegen sowie Kopien anfertigen und aushändigen.;"Ein Wertpapierinstitut, ein Mutterunternehmen oder ein Auslagerungsunternehmen, dessen Geschäftsleiter oder Mitglieder des Verwaltungs- oder Aufsichtsorgans und dessen Beschäftigte haben der Bundesanstalt, den Personen und Einrichtungen, derer sich die Bundesanstalt bei der Durchführung ihrer Aufgaben bedient, sowie der Deutschen Bundesbank auf Verlangen Auskünfte über alle Geschäftsangelegenheiten zu erteilen, Unterlagen vorzulegen und erforderlichenfalls Kopien anzufertigen und auszuhändigen; Mitglieder eines Organs und Beschäftigte haben auf Verlangen auch nach ihrem Ausscheiden aus dem Organ, dem Wertpapierinstitut oder dem Unternehmen Auskunft zu erteilen und Unterlagen vorzulegen.";Informationspflicht;muss;haben ... auf Verlangen Auskünfte ... zu erteilen, Unterlagen vorzulegen und ... Kopien anzufertigen und auszuhändigen;Wirtschaft;ein Wertpapierinstitut, ein Mutterunternehmen oder ein Auslagerungsunternehmen, dessen Geschäftsleiter oder Mitglieder des Verwaltungs- oder Aufsichtsorgans und dessen Beschäftigte;https://www.gesetze-im-internet.de/wpig/__5.html
WpIG;§ 5 Absatz 4 Satz 5;Die Betroffenen müssen die Maßnahmen nach den Sätzen 2 bis 4 dulden.;Die Betroffenen haben Maßnahmen nach den Sätzen 2 bis 4 zu dulden.;Duldungs-/Mitwirkungspflicht;muss;haben ... zu dulden;Wirtschaft;Die Betroffenen;https://www.gesetze-im-internet.de/wpig/__5.html
WpIG;§ 5 Absatz 5 Satz 1;Die genannten Personen und Unternehmen müssen auf Verlangen Auskunft erteilen und Unterlagen vorlegen.;Die Verpflichtung nach Absatz 4 gegenüber der Bundesanstalt und der Deutschen Bundesbank zur Auskunft und zur Vorlage von Unterlagen gilt auch für 1. Personen und Unternehmen, die eine Beteiligungsabsicht nach § 24 anzeigen oder die im Rahmen eines Erlaubnisantrags nach Artikel 3 der Delegierten Verordnung 2017/1943 ... als Inhaber bedeutender Beteiligungen angegeben werden, 2. die Inhaber einer bedeutenden Beteiligung an dem Wertpapierinstitut und den von ihnen kontrollierten Unternehmen, 3. Personen und Unternehmen, bei denen Tatsachen die Annahme rechtfertigen, dass es sich um Personen oder Unternehmen im Sinne der Nummer 2 handelt, und 4. Personen und Unternehmen, die mit einer Person oder einem Unternehmen im Sinne der Nummern 1 bis 3 nach § 15 des Aktiengesetzes verbunden sind.;Informationspflicht;muss;Die Verpflichtung ... zur Auskunft und zur Vorlage von Unterlagen gilt auch für;Wirtschaft;die Verpflichtung nach Absatz 4 gegenüber der Bundesanstalt und der Deutschen Bundesbank zur Auskunft und zur Vorlage von Unterlagen;https://www.gesetze-im-internet.de/wpig/__5.html
WpIG;§ 5 Absatz 5 Satz 2;Auch Beschäftigte und Organmitglieder dieser Personen oder Unternehmen müssen Auskunft erteilen und Unterlagen vorlegen.;Die Auskunfts- und Vorlegungspflichten nach Satz 1 bestehen auch für Beschäftigte oder Mitglieder eines Organs einer solchen Person oder eines solchen Unternehmens.;Informationspflicht;muss;bestehen auch für;Wirtschaft;Die Auskunfts- und Vorlegungspflichten nach Satz 1;https://www.gesetze-im-internet.de/wpig/__5.html
WpIG;§ 5 Absatz 5 Satz 3;Mitglieder eines Organs und Beschäftigte müssen auch nach dem Ausscheiden auf Verlangen Auskunft erteilen und Unterlagen vorlegen.;Mitglieder eines Organs und Beschäftigte haben auf Verlangen auch nach ihrem Ausscheiden aus dem Organ oder dem Unternehmen Auskunft zu erteilen und Unterlagen vorzulegen.;Informationspflicht;muss;haben auf Verlangen ... Auskunft zu erteilen und Unterlagen vorzulegen;Wirtschaft;Mitglieder eines Organs und Beschäftigte;https://www.gesetze-im-internet.de/wpig/__5.html
WpIG;§ 5 Absatz 5 Satz 4;Der Vorlagepflichtige muss die einzureichenden Unterlagen auf seine Kosten prüfen lassen.;Auf Verlangen der Bundesanstalt hat der Vorlagepflichtige die einzureichenden Unterlagen gemäß § 76 Absatz 1 auf seine Kosten durch einen von der Bundesanstalt zu bestimmenden Wirtschaftsprüfer prüfen zu lassen.;Handlungspflicht;muss;hat ... prüfen zu lassen;Wirtschaft;der Vorlagepflichtige;https://www.gesetze-im-internet.de/wpig/__5.html
