norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
ZPO;§ 11 Satz 1;Das später befasste Gericht muss die rechtskräftige Zuständigkeitsentscheidung beachten.;Ist die Unzuständigkeit eines Gerichts auf Grund der Vorschriften über die sachliche Zuständigkeit der Gerichte rechtskräftig ausgesprochen, so ist diese Entscheidung für das Gericht bindend, bei dem die Sache später anhängig wird.;Handlungspflicht;muss;ist … bindend;Öffentliche Verwaltung;das Gericht, bei dem die Sache später anhängig wird;https://www.gesetze-im-internet.de/zpo/__11.html
ZPO;§ 19 Satz 1;Das Bundesministerium der Justiz und für Verbraucherschutz muss für Bundesbehörden den maßgeblichen Gerichtsbezirk durch allgemeine Anordnung bestimmen.;Ist der Ort, an dem eine Behörde ihren Sitz hat, in mehrere Gerichtsbezirke geteilt, so wird der Bezirk, der im Sinne der §§ 17, 18 als Sitz der Behörde gilt, für die Bundesbehörden von dem Bundesministerium der Justiz und für Verbraucherschutz … durch allgemeine Anordnung bestimmt.;Handlungspflicht;muss;wird … von dem Bundesministerium der Justiz und für Verbraucherschutz … durch allgemeine Anordnung bestimmt;Öffentliche Verwaltung;das Bundesministerium der Justiz und für Verbraucherschutz;https://www.gesetze-im-internet.de/zpo/__19.html
ZPO;§ 19 Satz 1;Die Landesjustizverwaltung muss im Übrigen den maßgeblichen Gerichtsbezirk durch allgemeine Anordnung bestimmen.;Ist der Ort, an dem eine Behörde ihren Sitz hat, in mehrere Gerichtsbezirke geteilt, so wird der Bezirk, der im Sinne der §§ 17, 18 als Sitz der Behörde gilt, … im Übrigen von der Landesjustizverwaltung durch allgemeine Anordnung bestimmt.;Handlungspflicht;muss;wird … von der Landesjustizverwaltung … durch allgemeine Anordnung bestimmt;Öffentliche Verwaltung;die Landesjustizverwaltung;https://www.gesetze-im-internet.de/zpo/__19.html
ZPO;§ 36 Absatz 3;Das Oberlandesgericht muss die Sache dem Bundesgerichtshof vorlegen, wenn es in einer Rechtsfrage abweichen will.;Will das Oberlandesgericht bei der Bestimmung des zuständigen Gerichts in einer Rechtsfrage von der Entscheidung eines anderen Oberlandesgerichts oder des Bundesgerichtshofs abweichen, so hat es die Sache unter Begründung seiner Rechtsauffassung dem Bundesgerichtshof vorzulegen.;Handlungspflicht;muss;hat es die Sache ... dem Bundesgerichtshof vorzulegen;Öffentliche Verwaltung;das Oberlandesgericht;https://www.gesetze-im-internet.de/zpo/__36.html
ZPO;§ 38 Absatz 2 Satz 2;Die Parteien müssen ihre Gerichtsstandsvereinbarung schriftlich abschließen oder schriftlich bestätigen.;Die Vereinbarung muss schriftlich abgeschlossen oder, falls sie mündlich getroffen wird, schriftlich bestätigt werden.;Handlungspflicht;muss;muss schriftlich abgeschlossen oder … schriftlich bestätigt werden;Wirtschaft, Öffentliche Verwaltung;die Parteien;https://www.gesetze-im-internet.de/zpo/__38.html
ZPO;§ 41 Satz 1;Ein Richter darf in bestimmten Sachen nicht am Richteramt mitwirken.;"Ein Richter ist von der Ausübung des Richteramtes kraft Gesetzes ausgeschlossen: 1. in Sachen, in denen er selbst Partei ist oder bei denen er zu einer Partei in dem Verhältnis eines Mitberechtigten, Mitverpflichteten oder Regresspflichtigen steht; 2. in Sachen seines Ehegatten, auch wenn die Ehe nicht mehr besteht; 2a. in Sachen seines Lebenspartners, auch wenn die Lebenspartnerschaft nicht mehr besteht; 3. in Sachen einer Person, mit der er in gerader Linie verwandt oder verschwägert, in der Seitenlinie bis zum dritten Grad verwandt oder bis zum zweiten Grad verschwägert ist oder war; 4. in Sachen, in denen er als Prozessbevollmächtigter oder Beistand einer Partei bestellt oder als gesetzlicher Vertreter einer Partei aufzutreten berechtigt ist oder gewesen ist; 5. in Sachen, in denen er als Zeuge oder Sachverständiger vernommen ist; 6. in Sachen, in denen er in einem früheren Rechtszug oder im schiedsrichterlichen Verfahren bei dem Erlass der angefochtenen Entscheidung mitgewirkt hat, sofern es sich nicht um die Tätigkeit eines beauftragten oder ersuchten Richters handelt; 7. in Sachen wegen überlanger Gerichtsverfahren, wenn er in dem beanstandeten Verfahren in einem Rechtszug mitgewirkt hat, auf dessen Dauer der Entschädigungsanspruch gestützt wird; 8. in Sachen, in denen er an einem Mediationsverfahren oder einem anderen Verfahren der außergerichtlichen Konfliktbeilegung mitgewirkt hat.";Unterlassungspflicht;muss;ist von der Ausübung des Richteramtes kraft Gesetzes ausgeschlossen;Öffentliche Verwaltung;Ein Richter;https://www.gesetze-im-internet.de/zpo/__41.html
ZPO;§ 44 Absatz 1 Satz 1;Die Partei muss das Ablehnungsgesuch bei dem zuständigen Gericht anbringen.;"Das Ablehnungsgesuch ist bei dem Gericht, dem der Richter angehört, anzubringen;";Handlungspflicht;muss;ist … anzubringen;Bürgerinnen und Bürger;das Ablehnungsgesuch erhebende Partei;https://www.gesetze-im-internet.de/zpo/__44.html
ZPO;§ 44 Absatz 2 Satz 1;Die Partei muss den Ablehnungsgrund glaubhaft machen.;"Der Ablehnungsgrund ist glaubhaft zu machen;";Handlungspflicht;muss;ist glaubhaft zu machen;Bürgerinnen und Bürger;die Partei;https://www.gesetze-im-internet.de/zpo/__44.html
ZPO;§ 44 Absatz 2 Satz 1;Die Partei darf nicht zur Versicherung an Eides statt zugelassen werden.;zur Versicherung an Eides statt darf die Partei nicht zugelassen werden.;Unterlassungspflicht;muss;darf die Partei nicht zugelassen werden;Bürgerinnen und Bürger;die Partei;https://www.gesetze-im-internet.de/zpo/__44.html
ZPO;§ 44 Absatz 3;Der abgelehnte Richter muss sich dienstlich zum Ablehnungsgrund äußern.;Der abgelehnte Richter hat sich über den Ablehnungsgrund dienstlich zu äußern.;Handlungspflicht;muss;hat sich … dienstlich zu äußern;Öffentliche Verwaltung;der abgelehnte Richter;https://www.gesetze-im-internet.de/zpo/__44.html
ZPO;§ 44 Absatz 4 Satz 1;Die Partei muss glaubhaft machen, dass der Ablehnungsgrund erst später entstanden oder ihr bekannt geworden ist.;so ist glaubhaft zu machen, dass der Ablehnungsgrund erst später entstanden oder der Partei bekannt geworden sei.;Informationspflicht;muss;ist glaubhaft zu machen;Bürgerinnen und Bürger;die Partei;https://www.gesetze-im-internet.de/zpo/__44.html
ZPO;§ 44 Absatz 4 Satz 2;Die Partei muss das Ablehnungsgesuch unverzüglich anbringen.;Das Ablehnungsgesuch ist unverzüglich anzubringen.;Handlungspflicht;muss;ist unverzüglich anzubringen;Bürgerinnen und Bürger;das Ablehnungsgesuch erhebende Partei;https://www.gesetze-im-internet.de/zpo/__44.html
ZPO;§ 45 Absatz 1;Das zuständige Gericht muss über das Ablehnungsgesuch ohne Mitwirkung des Abgelehnten entscheiden.;Über das Ablehnungsgesuch entscheidet das Gericht, dem der Abgelehnte angehört, ohne dessen Mitwirkung.;Handlungspflicht;muss;entscheidet … ohne dessen Mitwirkung;Öffentliche Verwaltung;das Gericht, dem der Abgelehnte angehört;https://www.gesetze-im-internet.de/zpo/__45.html
ZPO;§ 45 Absatz 2 Satz 1;Ein anderer Richter des Amtsgerichts muss über das Ablehnungsgesuch entscheiden.;Wird ein Richter beim Amtsgericht abgelehnt, so entscheidet ein anderer Richter des Amtsgerichts über das Gesuch.;Handlungspflicht;muss;entscheidet … über das Gesuch;Öffentliche Verwaltung;ein anderer Richter des Amtsgerichts;https://www.gesetze-im-internet.de/zpo/__45.html
ZPO;§ 45 Absatz 3;Das im Rechtszug zunächst höhere Gericht muss entscheiden, wenn das zur Entscheidung berufene Gericht beschlussunfähig wird.;Wird das zur Entscheidung berufene Gericht durch Ausscheiden des abgelehnten Mitglieds beschlussunfähig, so entscheidet das im Rechtszug zunächst höhere Gericht.;Handlungspflicht;muss;entscheidet;Öffentliche Verwaltung;das im Rechtszug zunächst höhere Gericht;https://www.gesetze-im-internet.de/zpo/__45.html
ZPO;§ 47 Absatz 1;Der abgelehnte Richter darf vor der Entscheidung über das Ablehnungsgesuch nur unaufschiebbare Handlungen vornehmen.;Ein abgelehnter Richter hat vor Erledigung des Ablehnungsgesuchs nur solche Handlungen vorzunehmen, die keinen Aufschub gestatten.;Unterlassungspflicht;muss;hat vor Erledigung des Ablehnungsgesuchs nur solche Handlungen vorzunehmen, die keinen Aufschub gestatten;Öffentliche Verwaltung;ein abgelehnter Richter;https://www.gesetze-im-internet.de/zpo/__47.html
ZPO;§ 47 Absatz 2 Satz 2;Der spätere Teil der Verhandlung muss wiederholt werden, wenn die Ablehnung begründet ist.;Wird die Ablehnung für begründet erklärt, so ist der nach Anbringung des Ablehnungsgesuchs liegende Teil der Verhandlung zu wiederholen.;Handlungspflicht;muss;ist … zu wiederholen;Öffentliche Verwaltung;der nach Anbringung des Ablehnungsgesuchs liegende Teil der Verhandlung;https://www.gesetze-im-internet.de/zpo/__47.html
