norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
BDSG;§ 4 Absatz 2;Der Verantwortliche muss die Videoüberwachung und seine Kontaktdaten sichtbar kenntlich machen.;Der Umstand der Beobachtung und der Name und die Kontaktdaten des Verantwortlichen sind durch geeignete Maßnahmen zum frühestmöglichen Zeitpunkt erkennbar zu machen.;Informationspflicht;muss;sind durch geeignete Maßnahmen zum frühestmöglichen Zeitpunkt erkennbar zu machen;Wirtschaft, Öffentliche Verwaltung;der Verantwortliche;https://www.gesetze-im-internet.de/bdsg_2018/__4.html
BDSG;§ 4 Absatz 4;Die Verantwortlichen müssen die betroffene Person informieren, wenn Videodaten einer bestimmten Person zugeordnet werden.;Werden durch Videoüberwachung erhobene Daten einer bestimmten Person zugeordnet, so besteht die Pflicht zur Information der betroffenen Person über die Verarbeitung gemäß den Artikeln 13 und 14 der Verordnung (EU) 2016/679.;Informationspflicht;muss;besteht die Pflicht zur Information der betroffenen Person;Wirtschaft, Öffentliche Verwaltung;die Verantwortlichen;https://www.gesetze-im-internet.de/bdsg_2018/__4.html
BDSG;§ 4 Absatz 5;Die Daten müssen unverzüglich gelöscht werden, wenn die Löschvoraussetzungen vorliegen.;Die Daten sind unverzüglich zu löschen, wenn sie zur Erreichung des Zwecks nicht mehr erforderlich sind oder schutzwürdige Interessen der betroffenen Personen einer weiteren Speicherung entgegenstehen.;Handlungspflicht;muss;sind unverzüglich zu löschen;Wirtschaft, Öffentliche Verwaltung;die Daten;https://www.gesetze-im-internet.de/bdsg_2018/__4.html
BDSG;§ 5 Absatz 1 Satz 1;Öffentliche Stellen müssen eine Datenschutzbeauftragte oder einen Datenschutzbeauftragten benennen.;Öffentliche Stellen benennen eine Datenschutzbeauftragte oder einen Datenschutzbeauftragten.;Handlungspflicht;muss;benennen;Öffentliche Verwaltung;Öffentliche Stellen;https://www.gesetze-im-internet.de/bdsg_2018/__5.html
BDSG;§ 5 Absatz 5 Satz 1;Die öffentliche Stelle muss die Kontaktdaten der oder des Datenschutzbeauftragten veröffentlichen.;Die öffentliche Stelle veröffentlicht die Kontaktdaten der oder des Datenschutzbeauftragten …;Informationspflicht;muss;veröffentlicht;Öffentliche Verwaltung;die öffentliche Stelle;https://www.gesetze-im-internet.de/bdsg_2018/__5.html
BDSG;§ 5 Absatz 5 Satz 1;Die öffentliche Stelle muss die Kontaktdaten der oder des Datenschutzbeauftragten dem Bundesbeauftragten für den Datenschutz und die Informationsfreiheit mitteilen.;Die öffentliche Stelle … teilt diese Daten der oder dem Bundesbeauftragten für den Datenschutz und die Informationsfreiheit mit.;Informationspflicht;muss;teilt … mit;Öffentliche Verwaltung;die öffentliche Stelle;https://www.gesetze-im-internet.de/bdsg_2018/__5.html
BDSG;§ 6 Absatz 1 Satz 1;Die öffentliche Stelle muss die Datenschutzbeauftragte oder den Datenschutzbeauftragten rechtzeitig und ordnungsgemäß einbinden.;Die öffentliche Stelle stellt sicher, dass die oder der Datenschutzbeauftragte ordnungsgemäß und frühzeitig in alle mit dem Schutz personenbezogener Daten zusammenhängenden Fragen eingebunden wird.;Handlungspflicht;muss;stellt sicher, dass;Öffentliche Verwaltung;die öffentliche Stelle;https://www.gesetze-im-internet.de/bdsg_2018/__6.html
BDSG;§ 6 Absatz 2 Satz 1;Die öffentliche Stelle muss die Datenschutzbeauftragte oder den Datenschutzbeauftragten bei der Aufgabenwahrnehmung unterstützen.;Die öffentliche Stelle unterstützt die Datenschutzbeauftragte oder den Datenschutzbeauftragten bei der Erfüllung ihrer oder seiner Aufgaben gemäß § 7, indem sie die für die Erfüllung dieser Aufgaben erforderlichen Ressourcen und den Zugang zu personenbezogenen Daten und Verarbeitungsvorgängen sowie die zur Erhaltung ihres oder seines Fachwissens erforderlichen Ressourcen zur Verfügung stellt.;Handlungspflicht;muss;unterstützt … indem sie … zur Verfügung stellt;Öffentliche Verwaltung;die öffentliche Stelle;https://www.gesetze-im-internet.de/bdsg_2018/__6.html
BDSG;§ 6 Absatz 3 Satz 1;Die öffentliche Stelle muss sicherstellen, dass die Datenschutzbeauftragte oder der Datenschutzbeauftragte keine Weisungen für die Aufgaben erhält.;Die öffentliche Stelle stellt sicher, dass die oder der Datenschutzbeauftragte bei der Erfüllung ihrer oder seiner Aufgaben keine Anweisungen bezüglich der Ausübung dieser Aufgaben erhält.;Handlungspflicht;muss;stellt sicher, dass;Öffentliche Verwaltung;die öffentliche Stelle;https://www.gesetze-im-internet.de/bdsg_2018/__6.html
BDSG;§ 6 Absatz 3 Satz 2;Die Datenschutzbeauftragte oder der Datenschutzbeauftragte muss unmittelbar an die höchste Leitungsebene berichten.;Die oder der Datenschutzbeauftragte berichtet unmittelbar der höchsten Leitungsebene der öffentlichen Stelle.;Handlungspflicht;muss;berichtet unmittelbar;Bürgerinnen und Bürger;die oder der Datenschutzbeauftragte;https://www.gesetze-im-internet.de/bdsg_2018/__6.html
