norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
InvStG;§ 5a Satz 1;Der Anleger muss bei der Übertragung den Teilwert ansetzen.;Werden ein oder mehrere Wirtschaftsgüter aus dem Betriebsvermögen eines Anlegers in das Vermögen eines Investmentfonds übertragen, so ist bei der Übertragung der Teilwert anzusetzen.;Handlungspflicht;muss;ist bei der Übertragung der Teilwert anzusetzen;Bürgerinnen und Bürger, Wirtschaft;ein oder mehrere Wirtschaftsgüter aus dem Betriebsvermögen eines Anlegers;https://www.gesetze-im-internet.de/invstg_2018/__5a.html
InvStG;§ 7 Absatz 3 Satz 2;Der Entrichtungspflichtige muss den Ausstellungszeitpunkt und die Identifikationsmerkmale der Statusbescheinigung aufzeichnen.;Der Entrichtungspflichtige hat den Tag der Ausstellung der Statusbescheinigung und die darin verwendeten Identifikationsmerkmale aufzuzeichnen.;Informationspflicht;muss;hat … aufzuzeichnen;Wirtschaft;der Entrichtungspflichtige;https://www.gesetze-im-internet.de/invstg_2018/__7.html
InvStG;§ 7 Absatz 4 Satz 5;Der Investmentfonds muss die Statusbescheinigung unverzüglich zurückgeben, wenn die Voraussetzungen weggefallen sind.;Fordert die zuständige Finanzbehörde die Statusbescheinigung zurück oder erkennt der Investmentfonds, dass die Voraussetzungen für ihre Erteilung weggefallen sind, so ist die Statusbescheinigung unverzüglich zurückzugeben.;Unterlassungspflicht;muss;ist … unverzüglich zurückzugeben;Wirtschaft;der Investmentfonds;https://www.gesetze-im-internet.de/invstg_2018/__7.html
InvStG;§ 7 Absatz 5 Satz 1;Der Entrichtungspflichtige muss dem Investmentfonds in den genannten Fällen die übersteigende Kapitalertragsteuer erstatten.;Wenn ein unbeschränkt körperschaftsteuerpflichtiger Investmentfonds innerhalb von 18 Monaten nach Zufluss eines Kapitalertrags eine Statusbescheinigung vorlegt, so hat der Entrichtungspflichtige dem Investmentfonds die Kapitalertragsteuer zu erstatten, die den nach Absatz 1 vorzunehmenden Steuerabzug übersteigt.;Handlungspflicht;muss;hat … zu erstatten;Wirtschaft;der Entrichtungspflichtige;https://www.gesetze-im-internet.de/invstg_2018/__7.html
InvStG;§ 7 Absatz 5 Satz 3;Die zuvor erteilte Steuerbescheinigung muss unverzüglich im Original zurückgegeben werden.;Eine zuvor erteilte Steuerbescheinigung ist unverzüglich im Original zurückzugeben.;Unterlassungspflicht;muss;ist unverzüglich im Original zurückzugeben;Wirtschaft;Eine zuvor erteilte Steuerbescheinigung;https://www.gesetze-im-internet.de/invstg_2018/__7.html
InvStG;§ 9 Absatz 2 Satz 1;Der ausländische Anleger muss die Vergleichbarkeit nachweisen.;Die Befreiungsbescheinigung ist nur auszustellen, wenn der ausländische Anleger die Vergleichbarkeit nachweist.;Informationspflicht;muss;wenn der ausländische Anleger die Vergleichbarkeit nachweist;Wirtschaft;der ausländische Anleger;https://www.gesetze-im-internet.de/invstg_2018/__9.html
InvStG;§ 9 Absatz 3;Der Anbieter eines Altersvorsorge- oder Basisrentenvertrags muss dem Investmentfonds die Erwerbs- und Veräußerungszeitpunkte sowie den Umfang der Anteile mitteilen.;Die Steuerbefreiung nach § 8 Absatz 1 Nummer 2 setzt voraus, dass der Anbieter eines Altersvorsorge- oder Basisrentenvertrags dem Investmentfonds innerhalb eines Monats nach dessen Geschäftsjahresende mitteilt, zu welchen Zeitpunkten und in welchem Umfang Anteile erworben oder veräußert wurden.;Informationspflicht;muss;dem Investmentfonds … mitteilt;Wirtschaft;der Anbieter eines Altersvorsorge- oder Basisrentenvertrags;https://www.gesetze-im-internet.de/invstg_2018/__9.html
InvStG;§ 10 Absatz 4 Satz 1;Die Anleger müssen ihre Steuerbefreiung gegenüber dem Investmentfonds nachweisen.;Die Anleger haben ihre Steuerbefreiung gegenüber dem Investmentfonds nachzuweisen.;Informationspflicht;muss;haben ihre Steuerbefreiung gegenüber dem Investmentfonds nachzuweisen;Bürgerinnen und Bürger, Wirtschaft;die Anleger;https://www.gesetze-im-internet.de/invstg_2018/__10.html
InvStG;§ 10 Absatz 4 Satz 2 Nummer 1;Ein Anleger nach § 8 Absatz 1 Nummer 1 oder Absatz 2 muss dem Investmentfonds eine gültige Bescheinigung übermitteln.;Zum Nachweis der Steuerbefreiung hat 1. ein Anleger nach § 8 Absatz 1 Nummer 1 oder Absatz 2 eine gültige Bescheinigung nach § 9 Absatz 1 an den Investmentfonds zu übermitteln;Informationspflicht;muss;hat ... eine gültige Bescheinigung ... an den Investmentfonds zu übermitteln;Bürgerinnen und Bürger, Wirtschaft;ein Anleger nach § 8 Absatz 1 Nummer 1 oder Absatz 2;https://www.gesetze-im-internet.de/invstg_2018/__10.html
InvStG;§ 10 Absatz 4 Satz 2 Nummer 2;Der Anbieter eines Altersvorsorge- oder Basisrentenvertrags muss dem Investmentfonds mitteilen, dass er die Investmentanteile nur im Rahmen solcher Verträge erwirbt.;Zum Nachweis der Steuerbefreiung hat 2. der Anbieter eines Altersvorsorge- oder Basisrentenvertrags gegenüber dem Investmentfonds mitzuteilen, dass er die Investmentanteile ausschließlich im Rahmen von Altersvorsorge- und Basisrentenverträgen erwirbt.;Informationspflicht;muss;gegenüber dem Investmentfonds mitzuteilen;Wirtschaft;der Anbieter eines Altersvorsorge- oder Basisrentenvertrags;https://www.gesetze-im-internet.de/invstg_2018/__10.html
