norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
KWG;§ 1a Absatz 4 Satz 3;Die Meldungen sind elektronisch bei der Deutschen Bundesbank einzureichen.;Die Meldungen sind der Deutschen Bundesbank elektronisch einzureichen.;Informationspflicht;muss;sind der Deutschen Bundesbank elektronisch einzureichen;Wirtschaft;Die Meldungen;https://www.gesetze-im-internet.de/kredwg/__1a.html
KWG;§ 2 Absatz 1 Nummer 9 Buchstabe d;Das Unternehmen muss der Bundesanstalt auf Anforderung die Umstände mitteilen, die seine Tätigkeit als Nebentätigkeit erscheinen lassen.;"d) das Unternehmen der Bundesanstalt auf Anforderung die Umstände mitteilt, auf Grund derer es zu der Auffassung gelangt, dass seine Tätigkeit eine Nebentätigkeit zu seiner Haupttätigkeit darstellt;";Informationspflicht;muss;auf Anforderung die Umstände mitteilt;Wirtschaft;das Unternehmen;https://www.gesetze-im-internet.de/kredwg/__2.html
KWG;§ 2a Absatz 1 Satz 2;Institute müssen ihrem Antrag geeignete Nachweise beifügen.;Dem Antrag sind geeignete Unterlagen beizufügen, die nachweisen, dass die Voraussetzungen für eine Freistellung nach Artikel 7 der Verordnung (EU) Nr. 575/2013 vorliegen.;Informationspflicht;muss;Dem Antrag sind geeignete Unterlagen beizufügen;Wirtschaft;Institute;https://www.gesetze-im-internet.de/kredwg/__2a.html
KWG;§ 2a Absatz 2 Satz 2;Anträge müssen mit geeigneten Unterlagen eingereicht werden.;Dem Antrag sind geeignete Unterlagen beizufügen, die nachweisen, dass die Voraussetzungen nach Satz 1 vorliegen.;Informationspflicht;muss;Dem Antrag sind geeignete Unterlagen beizufügen;Wirtschaft;Dem Antrag;https://www.gesetze-im-internet.de/kredwg/__2a.html
KWG;§ 2a Absatz 3 Satz 2;Institute müssen ihrem Antrag geeignete Nachweise beifügen.;Dem Antrag sind geeignete Unterlagen beizufügen, die nachweisen, dass die Voraussetzungen für eine Freistellung nach Artikel 8 der Verordnung (EU) Nr. 575/2013 vorliegen.;Informationspflicht;muss;Dem Antrag sind geeignete Unterlagen beizufügen;Wirtschaft;Institute;https://www.gesetze-im-internet.de/kredwg/__2a.html
KWG;§ 2a Absatz 4 Satz 2;Anträge müssen mit geeigneten Unterlagen eingereicht werden.;Dem Antrag sind geeignete Unterlagen beizufügen, die nachweisen, dass die Voraussetzungen nach Satz 1 vorliegen.;Informationspflicht;muss;Dem Antrag sind geeignete Unterlagen beizufügen;Wirtschaft;Dem Antrag;https://www.gesetze-im-internet.de/kredwg/__2a.html
KWG;§ 2a Absatz 6 Satz 1;Institut oder übergeordnetes Unternehmen müssen auf Aufforderung die erforderlichen Nachweise vorlegen.;Die Aufsichtsbehörde kann das Institut oder das übergeordnete Unternehmen auch nach einer nach den Absätzen 1 bis 4 gewährten oder nach einer nach Absatz 5 fortgeltenden Freistellung auffordern, die erforderlichen Nachweise für die Einhaltung der Voraussetzungen vorzulegen.;Duldungs-/Mitwirkungspflicht;muss;die erforderlichen Nachweise … vorzulegen;Wirtschaft;das Institut oder das übergeordnete Unternehmen;https://www.gesetze-im-internet.de/kredwg/__2a.html
KWG;§ 2a Absatz 6 Satz 2;Institut oder übergeordnetes Unternehmen müssen auf Aufforderung Mängelbeseitigungen veranlassen.;Sie kann sie auch dazu auffordern, Vorkehrungen zu treffen, die geeignet und erforderlich sind, bestehende Mängel zu beseitigen und hierfür eine angemessene Frist bestimmen.;Duldungs-/Mitwirkungspflicht;muss;Vorkehrungen zu treffen;Wirtschaft;das Institut oder das übergeordnete Unternehmen;https://www.gesetze-im-internet.de/kredwg/__2a.html
KWG;§ 2b Absatz 1;Kreditinstitute mit Erlaubnispflicht dürfen nicht als Einzelkaufmann betrieben werden.;Kreditinstitute, die eine Erlaubnis nach § 32 Absatz 1 benötigen, dürfen nicht in der Rechtsform des Einzelkaufmanns betrieben werden.;Unterlassungspflicht;muss;dürfen nicht in der Rechtsform des Einzelkaufmanns betrieben werden;Wirtschaft;Kreditinstitute, die eine Erlaubnis nach § 32 Absatz 1 benötigen;https://www.gesetze-im-internet.de/kredwg/__2b.html
KWG;§ 2b Absatz 2;Unternehmen, die Factoring oder Finanzierungsleasing erbringen, dürfen nicht als Einzelkaufmann betrieben werden.;Unternehmen, die die Finanzdienstleistungen des Factorings nach § 1 Absatz 1a Satz 2 Nummer 9 oder des Finanzierungsleasings nach § 1 Absatz 1a Satz 2 Nummer 10 erbringen, dürfen nicht in der Rechtsform des Einzelkaufmanns betrieben werden.;Unterlassungspflicht;muss;dürfen nicht in der Rechtsform des Einzelkaufmanns betrieben werden;Wirtschaft;Unternehmen, die die Finanzdienstleistungen des Factorings nach § 1 Absatz 1a Satz 2 Nummer 9 oder des Finanzierungsleasings nach § 1 Absatz 1a Satz 2 Nummer 10 erbringen;https://www.gesetze-im-internet.de/kredwg/__2b.html
KWG;§ 2c Absatz 1 Satz 1;Der interessierte Erwerber muss den beabsichtigten Erwerb einer bedeutenden Beteiligung unverzüglich anzeigen.;Wer beabsichtigt, allein oder im Zusammenwirken mit anderen Personen oder Unternehmen eine bedeutende Beteiligung an einem Institut direkt oder indirekt zu erwerben (interessierter Erwerber), hat dies der Bundesanstalt und der Deutschen Bundesbank nach Maßgabe des Satzes 2 unverzüglich anzuzeigen.;Informationspflicht;muss;hat dies der Bundesanstalt und der Deutschen Bundesbank … unverzüglich anzuzeigen;Wirtschaft;interessierter Erwerber;https://www.gesetze-im-internet.de/kredwg/__2c.html
KWG;§ 2c Absatz 1 Satz 2;Der interessierte Erwerber muss in der Anzeige die erforderlichen Tatsachen, Unterlagen und den Veräußerer angeben.;In der Anzeige hat der interessierte Erwerber die für die Höhe der Beteiligung und die für die Begründung des maßgeblichen Einflusses, die Beurteilung seiner Zuverlässigkeit und die Prüfung der weiteren Untersagungsgründe nach Absatz 1b Satz 1 wesentlichen Tatsachen und Unterlagen, die durch Rechtsverordnung nach § 24 Abs. 4 näher zu bestimmen sind, sowie die Personen oder Unternehmen anzugeben, von denen er die entsprechenden Anteile erwerben will.;Informationspflicht;muss;hat … in der Anzeige … anzugeben;Wirtschaft;interessierter Erwerber;https://www.gesetze-im-internet.de/kredwg/__2c.html
KWG;§ 2c Absatz 1 Satz 4;Ist der interessierte Erwerber eine juristische Person oder Personenhandelsgesellschaft, muss er zusätzliche Tatsachen zu den Vertretern oder Gesellschaftern angeben.;Ist der interessierte Erwerber eine juristische Person oder Personenhandelsgesellschaft, hat er in der Anzeige die für die Beurteilung der Zuverlässigkeit seiner gesetzlichen oder satzungsmäßigen Vertreter oder persönlich haftenden Gesellschafter wesentlichen Tatsachen anzugeben.;Informationspflicht;muss;hat er in der Anzeige … anzugeben;Wirtschaft;der interessierte Erwerber;https://www.gesetze-im-internet.de/kredwg/__2c.html
KWG;§ 2c Absatz 1 Satz 5;Der Inhaber einer bedeutenden Beteiligung muss neue Vertreter oder Gesellschafter unverzüglich anzeigen.;Der Inhaber einer bedeutenden Beteiligung hat jeden neu bestellten gesetzlichen oder satzungsmäßigen Vertreter oder neuen persönlich haftenden Gesellschafter mit den für die Beurteilung von dessen Zuverlässigkeit wesentlichen Tatsachen der Bundesanstalt und der Deutschen Bundesbank unverzüglich anzuzeigen.;Informationspflicht;muss;hat … unverzüglich anzuzeigen;Wirtschaft;Der Inhaber einer bedeutenden Beteiligung;https://www.gesetze-im-internet.de/kredwg/__2c.html
KWG;§ 2c Absatz 1 Satz 6;Der Inhaber einer bedeutenden Beteiligung muss geplante Erhöhungen über die maßgeblichen Schwellen unverzüglich anzeigen.;Der Inhaber einer bedeutenden Beteiligung hat der Bundesanstalt und der Deutschen Bundesbank ferner unverzüglich anzuzeigen, wenn er beabsichtigt, allein oder im Zusammenwirken mit anderen Personen oder Unternehmen den Betrag der bedeutenden Beteiligung so zu erhöhen, dass die Schwellen von 20 Prozent, 30 Prozent oder 50 Prozent der Stimmrechte oder des Kapitals erreicht oder überschritten werden oder dass das Institut unter seine Kontrolle kommt.;Informationspflicht;muss;hat … ferner unverzüglich anzuzeigen;Wirtschaft;Der Inhaber einer bedeutenden Beteiligung;https://www.gesetze-im-internet.de/kredwg/__2c.html
KWG;§ 2c Absatz 1 Satz 7;Wer unabsichtlich eine bedeutende Beteiligung erwirbt oder überschreitet, muss dies unverzüglich anzeigen.;Wer unabsichtlich eine bedeutende Beteiligung an einem Institut erwirbt oder eine bedeutende Beteiligung so erhöht, dass die Schwellen von 20 Prozent, 30 Prozent oder 50 Prozent der Stimmrechte oder des Kapitals erreicht oder überschritten werden, oder eine bedeutende Beteiligung so erhöht, dass das Institut unter seine Kontrolle kommt, hat dies der Bundesanstalt und der Deutschen Bundesbank unverzüglich anzuzeigen, sobald er von dem Erwerb oder der Erhöhung Kenntnis erlangt hat.;Informationspflicht;muss;hat dies … unverzüglich anzuzeigen;Wirtschaft;Wer;https://www.gesetze-im-internet.de/kredwg/__2c.html
KWG;§ 2c Absatz 1 Satz 8;Wer die Beteiligung wieder unter eine Schwelle zurückführen will, muss dies in dem genannten Fall ebenfalls anzeigen.;Dies gilt auch, wenn er beabsichtigt, die Beteiligung so zurückzuführen, dass sie erneut unter eine der Schwellen fällt, sofern die Beteiligung nicht unverzüglich nach Kenntnis von dem Erwerb oder der Erhöhung zurückgeführt wird.;Informationspflicht;muss;Dies gilt auch, wenn er beabsichtigt …, sofern … nicht unverzüglich … zurückgeführt wird;Wirtschaft;Wer;https://www.gesetze-im-internet.de/kredwg/__2c.html
KWG;§ 2c Absatz 1 Satz 9;Die Bundesanstalt muss den Eingang einer vollständigen Anzeige bestätigen.;Die Bundesanstalt hat den Eingang einer vollständigen Anzeige nach Satz 1, 6 oder 7 umgehend, spätestens jedoch innerhalb von zehn Arbeitstagen nach deren Zugang schriftlich oder elektronisch gegenüber dem Anzeigepflichtigen zu bestätigen.;Informationspflicht;muss;hat den Eingang … zu bestätigen;Öffentliche Verwaltung;Die Bundesanstalt;https://www.gesetze-im-internet.de/kredwg/__2c.html
KWG;§ 2c Absatz 1a Satz 1;Die Bundesanstalt muss die Anzeige innerhalb des Beurteilungszeitraums beurteilen.;Die Bundesanstalt hat die Anzeige nach Absatz 1 innerhalb von 60 Arbeitstagen ab dem Datum des Schreibens, mit dem sie den Eingang der vollständigen Anzeige schriftlich oder elektronisch bestätigt hat, zu beurteilen (Beurteilungszeitraum).;Handlungspflicht;muss;hat … zu beurteilen;Öffentliche Verwaltung;Die Bundesanstalt;https://www.gesetze-im-internet.de/kredwg/__2c.html
KWG;§ 2c Absatz 1a Satz 2;Die Bundesanstalt muss in der Bestätigung das Ende des Beurteilungszeitraums mitteilen.;In der Bestätigung nach Absatz 1 Satz 9 hat die Bundesanstalt dem Anzeigepflichtigen den Tag mitzuteilen, an dem der Beurteilungszeitraum endet.;Informationspflicht;muss;hat … mitzuteilen;Öffentliche Verwaltung;Die Bundesanstalt;https://www.gesetze-im-internet.de/kredwg/__2c.html
KWG;§ 2c Absatz 1a Satz 5;Die Bundesanstalt muss den Eingang weiterer Informationen bestätigen.;Die Bundesanstalt hat den Eingang der weiteren Informationen umgehend, spätestens jedoch innerhalb von zehn Arbeitstagen nach deren Zugang schriftlich oder elektronisch gegenüber dem Anzeigepflichtigen zu bestätigen.;Informationspflicht;muss;hat den Eingang … zu bestätigen;Öffentliche Verwaltung;Die Bundesanstalt;https://www.gesetze-im-internet.de/kredwg/__2c.html
KWG;§ 2d Absatz 1 Satz 1;Die Geschäftsleiter müssen zuverlässig sein, die erforderliche fachliche Eignung haben und ausreichend Zeit für ihre Aufgaben aufwenden.;Die Geschäftsleiter einer Finanzholding-Gesellschaft oder einer gemischten Finanzholding-Gesellschaft müssen zuverlässig sein, die zur Führung der Gesellschaft erforderliche fachliche Eignung haben und der Wahrnehmung ihrer Aufgaben ausreichend Zeit widmen.;Handlungspflicht;muss;müssen zuverlässig sein, die zur Führung der Gesellschaft erforderliche fachliche Eignung haben und der Wahrnehmung ihrer Aufgaben ausreichend Zeit widmen;Wirtschaft;Die Geschäftsleiter einer Finanzholding-Gesellschaft oder einer gemischten Finanzholding-Gesellschaft;https://www.gesetze-im-internet.de/kredwg/__2d.html
KWG;§ 2f Absatz 1 Satz 1;Die betroffenen Finanzholding-Gesellschaften müssen eine schriftliche Zulassung der Aufsichtsbehörde haben.;Mutterfinanzholding-Gesellschaften und gemischte Mutterfinanzholding-Gesellschaften sowie EU-Mutterfinanzholding-Gesellschaften und gemischte EU-Mutterfinanzholding-Gesellschaften, die an der Spitze einer Gruppe stehen, die von der Aufsichtsbehörde auf zusammengefasster Basis beaufsichtigt wird, bedürfen der schriftlichen Zulassung durch die Aufsichtsbehörde.;Handlungspflicht;muss;bedürfen der schriftlichen Zulassung durch die Aufsichtsbehörde;Wirtschaft;Mutterfinanzholding-Gesellschaften und gemischte Mutterfinanzholding-Gesellschaften sowie EU-Mutterfinanzholding-Gesellschaften und gemischte EU-Mutterfinanzholding-Gesellschaften, die an der Spitze einer Gruppe stehen, die von der Aufsichtsbehörde auf zusammengefasster Basis beaufsichtigt wird;https://www.gesetze-im-internet.de/kredwg/__2f.html
KWG;§ 2f Absatz 1 Satz 2;Bestimmte weitere Finanzholding-Gesellschaften müssen eine Zulassungspflicht beachten.;Die Zulassungspflicht gilt auch für sonstige Finanzholding-Gesellschaften und gemischte Finanzholding-Gesellschaften, die 1. als übergeordnete Unternehmen im Sinne des Absatzes 4 Satz 1 Nummer 3 bestimmt werden sollen oder 2. auf teilkonsolidierter Basis zur Einhaltung der Anforderungen nach diesem Gesetz oder nach der Verordnung (EU) Nr. 575/2013 in der Fassung vom 17. Juni 2025 verpflichtet sind, sofern die Aufsichtsbehörde für die Aufsicht über die jeweilige Teilgruppe auf zusammengefasster Basis zuständig ist.;Handlungspflicht;muss;Die Zulassungspflicht gilt auch für;Wirtschaft;sonstige Finanzholding-Gesellschaften und gemischte Finanzholding-Gesellschaften, die als übergeordnete Unternehmen bestimmt werden sollen oder auf teilkonsolidierter Basis zur Einhaltung der Anforderungen verpflichtet sind;https://www.gesetze-im-internet.de/kredwg/__2f.html
KWG;§ 2f Absatz 2 Satz 1;Der Antragsteller muss seinem Zulassungsantrag die genannten Unterlagen und Angaben beifügen.;"Der Antragsteller muss seinem Zulassungsantrag Folgendes beifügen: 1. eine vollständige Darstellung des organisatorischen Aufbaus der Gruppe mit eindeutiger Angabe aller Mutter- und Tochterunternehmen sowie Informationen über den Sitz und die Art der Tätigkeit der einzelnen Unternehmen der Gruppe; 2. die Angaben, die für die Beurteilung der Zuverlässigkeit und der fachlichen Eignung der in § 2d Absatz 1 genannten Personen erforderlich sind; 2a. die Angaben, die für die Beurteilung der ausreichenden zeitlichen Verfügbarkeit der in § 2d Absatz 1 genannten Personen erforderlich sind; 3. sofern ein CRR-Kreditinstitut Teil der Gruppe ist, die Angaben nach § 32 Absatz 1 Satz 5 Nummer 6 oder Nummer 6a; 4. eine vollständige Darstellung der internen Organisation und der Aufgabenverteilung innerhalb der Gruppe; 5. alle sonstigen Angaben, die erforderlich sind, um die Bewertung nach den Absätzen 3 und 4 durchzuführen.";Informationspflicht;muss;muss seinem Zulassungsantrag Folgendes beifügen;Wirtschaft;Der Antragsteller;https://www.gesetze-im-internet.de/kredwg/__2f.html
KWG;§ 2f Absatz 2 Satz 3;Der Antragsteller muss die Unterlagen bei der zuständigen Behörde seines EWR-Sitzstaats einreichen.;Hat der Antragsteller seinen Sitz in einem anderen Staat des Europäischen Wirtschaftsraums, reicht er die Unterlagen nach Satz 1 auch bei der zuständigen Behörde dieses Staates ein.;Informationspflicht;muss;reicht er die Unterlagen … auch bei der zuständigen Behörde dieses Staates ein;Wirtschaft;Der Antragsteller;https://www.gesetze-im-internet.de/kredwg/__2f.html
KWG;§ 2f Absatz 2 Satz 4;Der Antragsteller muss die Unterlagen auch bei der Bundesanstalt einreichen.;Hat der Antragsteller seinen Sitz im Inland und ist die für die Aufsicht auf zusammengefasster Basis zuständige Behörde die Europäische Zentralbank, so sind die Unterlagen nach Satz 1 auch bei der Bundesanstalt einzureichen.;Informationspflicht;muss;sind die Unterlagen … auch bei der Bundesanstalt einzureichen;Wirtschaft;Der Antragsteller;https://www.gesetze-im-internet.de/kredwg/__2f.html
KWG;§ 2f Absatz 4 Satz 2;Der Antragsteller muss seinem Befreiungsantrag die erforderlichen Informationen beifügen.;Der Antragsteller hat seinem Antrag auf Befreiung von der Zulassungspflicht die Informationen beizufügen, die erforderlich sind, um das Vorliegen der Voraussetzungen des Satzes 1 zu beurteilen.;Informationspflicht;muss;hat seinem Antrag auf Befreiung von der Zulassungspflicht die Informationen beizufügen;Wirtschaft;Der Antragsteller;https://www.gesetze-im-internet.de/kredwg/__2f.html
KWG;§ 2f Absatz 5 Satz 2;Der Antragsteller muss der Aufsichtsbehörde unverzüglich alle für die fortlaufende Kontrolle erforderlichen Informationen übermitteln.;Der Antragsteller übermittelt der Aufsichtsbehörde unverzüglich alle Informationen, die für diese fortlaufende Kontrolle erforderlich sind.;Informationspflicht;muss;übermittelt der Aufsichtsbehörde unverzüglich alle Informationen;Wirtschaft;Der Antragsteller;https://www.gesetze-im-internet.de/kredwg/__2f.html
KWG;§ 2f Absatz 5 Satz 3;Die Aufsichtsbehörde muss die Informationen auch an die zuständige Behörde des Sitzstaats übermitteln.;Hat der Antragsteller seinen Sitz in einem anderen Staat des Europäischen Wirtschaftsraums, so übermittelt die Aufsichtsbehörde die Informationen auch an die zuständige Aufsichtsbehörde des Staates, in dem der Antragsteller seinen Sitz hat.;Informationspflicht;muss;übermittelt die Aufsichtsbehörde die Informationen auch an die zuständige Aufsichtsbehörde;Öffentliche Verwaltung;die Aufsichtsbehörde;https://www.gesetze-im-internet.de/kredwg/__2f.html
KWG;§ 2g Absatz 1;Die betroffenen Unternehmen müssen ein gemeinsames zwischengeschaltetes EU-Mutterunternehmen einrichten.;Haben zwei oder mehr CRR-Kreditinstitute oder Wertpapierinstitute mit Sitz in einem Staat des Europäischen Wirtschaftsraums das gleiche Mutterunternehmen mit Sitz in einem Drittstaat und übersteigt der Gesamtwert der Vermögenswerte der Drittstaatengruppe innerhalb des Europäischen Wirtschaftsraums 40 Milliarden Euro, so haben diese Unternehmen ein gemeinsames zwischengeschaltetes EU-Mutterunternehmen einzurichten.;Handlungspflicht;muss;haben … einzurichten;Wirtschaft;diese Unternehmen;https://www.gesetze-im-internet.de/kredwg/__2g.html
KWG;§ 2g Absatz 3 Satz 1;Das zwischengeschaltete EU-Mutterunternehmen muss eine zulässige Instituts- oder Holdingstruktur haben.;Ein zwischengeschaltetes EU-Mutterunternehmen nach Absatz 1 oder Absatz 2 muss ein CRR-Kreditinstitut oder eine nach Maßgabe des Artikels 21a der Richtlinie 2013/36/EU zugelassene Finanzholding-Gesellschaft oder gemischte Finanzholding-Gesellschaft sein.;Handlungspflicht;muss;muss … sein;Wirtschaft;Ein zwischengeschaltetes EU-Mutterunternehmen nach Absatz 1 oder Absatz 2;https://www.gesetze-im-internet.de/kredwg/__2g.html
KWG;§ 2g Absatz 5;Die Aufsichtsbehörde muss der Europäischen Bankenaufsichtsbehörde bestimmte Angaben zu jeder Drittstaatengruppe mitteilen.;Die Aufsichtsbehörde teilt der Europäischen Bankenaufsichtsbehörde für jede Drittstaatengruppe mit: 1. den Namen und den Gesamtwert der Vermögenswerte der beaufsichtigten CRR-Kreditinstitute und Wertpapierinstitute mit Sitz im Inland, 2. den Namen und den Gesamtwert der Vermögenswerte, die den Zweigstellen nach § 53 insgesamt zuzuordnen sind, und für welche Bankgeschäfte und Finanzdienstleistungen diese Zweigstellen zugelassen sind sowie 3. den Namen und die Art des zwischengeschalteten EU-Mutterunternehmens nach Absatz 3 sowie den Namen der Drittstaatengruppe, der das zwischengeschaltete EU-Mutterunternehmen angehört.;Informationspflicht;muss;teilt … mit;Öffentliche Verwaltung;Die Aufsichtsbehörde;https://www.gesetze-im-internet.de/kredwg/__2g.html
KWG;§ 2g Absatz 6;Die Aufsichtsbehörde muss sicherstellen, dass die betroffenen Institute die vorgegebenen Strukturvoraussetzungen erfüllen.;Die Aufsichtsbehörde stellt sicher, dass jedes CRR-Kreditinstitut und jedes Wertpapierinstitut in ihrem Zuständigkeitsbereich, dessen Mutterunternehmen seinen Sitz in einem Drittstaat hat, entweder 1. ein zwischengeschaltetes EU-Mutterunternehmen hat, 2. ein zwischengeschaltetes EU-Mutterunternehmen ist, 3. das einzige CRR-Kreditinstitut oder Wertpapierinstitut dieser Unternehmensgruppe innerhalb des Europäischen Wirtschaftsraums ist oder 4. einer Drittstaatengruppe angehört, deren Gesamtwert der Vermögenswerte innerhalb des Europäischen Wirtschaftsraums nach Absatz 4 weniger als 40 Milliarden Euro beträgt.;Handlungspflicht;muss;stellt sicher, dass;Öffentliche Verwaltung;Die Aufsichtsbehörde;https://www.gesetze-im-internet.de/kredwg/__2g.html
KWG;§ 2g Absatz 7 Satz 1;Die betroffenen Unternehmen und Zweigstellen müssen alle erforderlichen Daten untereinander austauschen.;Haben zwei oder mehr CRR-Kreditinstitute oder Wertpapierinstitute mit Sitz in einem Staat des Europäischen Wirtschaftsraums das gleiche Mutterunternehmen mit Sitz in einem Drittstaat, so tauschen folgende dieser Drittstaatengruppe angehörenden Unternehmen und Zweigstellen alle zur Ermittlung des Gesamtwerts der Vermögenswerte der Drittstaatengruppe innerhalb des Europäischen Wirtschaftsraums nach Absatz 1 erforderlichen Daten untereinander aus: 1. die EU-Einzelinstitute, 2. die EU-Mutterinstitute, 3. die zugelassenen EU-Mutterfinanzholding-Gesellschaften und zugelassenen gemischten EU-Mutterfinanzholding-Gesellschaften oder die anstelle einer nicht zugelassenen EU-Mutterfinanzholding-Gesellschaft oder gemischten EU-Mutterfinanzholding-Gesellschaft einer Gruppe übergeordneten Unternehmen im Sinne des § 2f Absatz 4 Satz 1 Nummer 3, 4. die Wertpapierinstitute, die in der Europäischen Union nicht der aufsichtlichen Konsolidierung nach Teil 1 Titel II Kapitel 2 der Verordnung (EU) Nr. 575/2013 in der Fassung vom 17. Juni 2025 oder nach Teil 1 Titel II Kapitel 2 der Verordnung (EU) 2019/2033 in der Fassung vom 13. Dezember 2023 unterliegen und kein EU-Mutterunternehmen haben, das einer solchen aufsichtlichen Konsolidierung unterliegt, 5. die EU-Mutterwertpapierinstitute im Sinne des § 2 Absatz 33 des Wertpapierinstitutsgesetzes, 6. die EU-Mutterinvestmentholdinggesellschaften im Sinne des § 2 Absatz 34 des Wertpapierinstitutsgesetzes, 7. zwischengeschaltete EU-Mutterunternehmen nach Absatz 1 oder 2 nach erfolgter Einrichtung und 8. die im Europäischen Wirtschaftsraum zugelassenen Zweigstellen.;Duldungs-/Mitwirkungspflicht;muss;tauschen … alle … erforderlichen Daten untereinander aus;Wirtschaft;folgende dieser Drittstaatengruppe angehörenden Unternehmen und Zweigstellen;https://www.gesetze-im-internet.de/kredwg/__2g.html
KWG;§ 2g Absatz 7 Satz 5;Die betroffenen Unternehmen müssen sich über die Einberechnung der Zweigstellenwerte abstimmen.;Die Unternehmen nach Satz 1 Nummer 1 bis 7 haben sich über die Einberechnung des Gesamtwerts der Vermögenswerte der Zweigstellen in den Gesamtwert der Drittstaatengruppe innerhalb des Europäischen Wirtschaftsraums abzustimmen.;Duldungs-/Mitwirkungspflicht;muss;haben sich … abzustimmen;Wirtschaft;Die Unternehmen nach Satz 1 Nummer 1 bis 7;https://www.gesetze-im-internet.de/kredwg/__2g.html
KWG;§ 2g Absatz 8 Satz 1;Die betroffenen inländischen Unternehmen müssen quartalsweise Berechnung und Daten an Aufsichtsbehörde und Bundesbank übermitteln.;Vor Einrichtung eines zwischengeschalteten EU-Mutterunternehmens übermitteln die im Inland ansässigen Unternehmen nach Absatz 7 Satz 1 Nummer 1 bis 6 der Aufsichtsbehörde und der Deutschen Bundesbank unverzüglich nach Ablauf eines jeden Quartals eine Berechnung des Gesamtwerts der Vermögenswerte der Drittstaatengruppe innerhalb des Europäischen Wirtschaftsraums nach Absatz 1 sowie die der Berechnung zugrundeliegenden Daten.;Informationspflicht;muss;übermitteln … unverzüglich nach Ablauf eines jeden Quartals;Wirtschaft;die im Inland ansässigen Unternehmen nach Absatz 7 Satz 1 Nummer 1 bis 6;https://www.gesetze-im-internet.de/kredwg/__2g.html
