norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
eWpG;§ 5 Absatz 1 Satz 1;Der Emittent muss die Emissionsbedingungen vor der Eintragung niederlegen und zugänglich machen.;Der Emittent hat vor der Eintragung des elektronischen Wertpapiers in einem elektronischen Wertpapierregister die Emissionsbedingungen bei der registerführenden Stelle als beständiges elektronisches Dokument jedermann zur beliebig wiederholbaren unmittelbaren Kenntnisnahme zugänglich zu machen (Niederlegung).;Handlungspflicht;muss;hat ... zugänglich zu machen;Wirtschaft;Der Emittent;https://www.gesetze-im-internet.de/ewpg/__5.html
eWpG;§ 5 Absatz 1 Satz 3;Die registerführende Stelle muss die niedergelegten Emissionsbedingungen unter den genannten Voraussetzungen löschen.;Wird das elektronische Wertpapier nicht spätestens drei Monate nach der Niederlegung eingetragen, so löscht die registerführende Stelle die niedergelegten Emissionsbedingungen.;Handlungspflicht;muss;löscht;Öffentliche Verwaltung;die registerführende Stelle;https://www.gesetze-im-internet.de/ewpg/__5.html
eWpG;§ 5 Absatz 2 Satz 1;Die registerführende Stelle muss nur Änderungen auf den genannten Grundlagen zulassen.;Die registerführende Stelle stellt sicher, dass nur Änderungen an den niedergelegten Emissionsbedingungen auf folgenden Grundlagen erfolgen: 1. durch Gesetz, 2. auf Grund eines Gesetzes, 3. auf Grund eines Rechtsgeschäfts, 4. auf Grund einer gerichtlichen Entscheidung oder 5. auf Grund eines vollstreckbaren Verwaltungsakts.;Handlungspflicht;muss;stellt sicher, dass nur ... erfolgen;Öffentliche Verwaltung;die registerführende Stelle;https://www.gesetze-im-internet.de/ewpg/__5.html
eWpG;§ 5 Absatz 4 Satz 1;Der Emittent muss geänderte Emissionsbedingungen niederlegen.;Der Emittent hat geänderte Emissionsbedingungen niederzulegen.;Handlungspflicht;muss;hat ... niederzulegen;Wirtschaft;Der Emittent;https://www.gesetze-im-internet.de/ewpg/__5.html
eWpG;§ 6 Absatz 2 Satz 2;Der Emittent muss das elektronische Wertpapier nach der Ersetzung aus dem Register löschen.;Das elektronische Wertpapier ist im Falle einer Ersetzung durch ein mittels Urkunde begebenes Wertpapier aus dem Register zu löschen.;Handlungspflicht;muss;ist … aus dem Register zu löschen;Wirtschaft;der Emittent;https://www.gesetze-im-internet.de/ewpg/__6.html
eWpG;§ 7 Absatz 1;Die registerführende Stelle muss das elektronische Wertpapierregister so führen, dass die Daten geschützt und echt bleiben.;Die registerführende Stelle hat ein elektronisches Wertpapierregister so zu führen, dass Vertraulichkeit, Integrität und Authentizität der Daten gewährleistet sind.;Handlungspflicht;muss;hat … so zu führen, dass … gewährleistet sind;Öffentliche Verwaltung;die registerführende Stelle;https://www.gesetze-im-internet.de/ewpg/__7.html
eWpG;§ 7 Absatz 2;Die registerführende Stelle muss sicherstellen, dass das Register die Rechtslage richtig wiedergibt und Eintragungen vollständig und ordnungsgemäß erfolgen.;Die registerführende Stelle hat sicherzustellen, dass das elektronische Wertpapierregister jederzeit die bestehende Rechtslage zutreffend wiedergibt und Eintragungen sowie Umtragungen vollständig und ordnungsgemäß erfolgen.;Handlungspflicht;muss;hat sicherzustellen, dass …;Öffentliche Verwaltung;die registerführende Stelle;https://www.gesetze-im-internet.de/ewpg/__7.html
eWpG;§ 7 Absatz 3 Satz 1;Die registerführende Stelle muss die erforderlichen technischen und organisatorischen Maßnahmen gegen Datenverlust und unbefugte Datenveränderung treffen.;Die registerführende Stelle hat die erforderlichen technischen und organisatorischen Maßnahmen zu treffen, um einen Datenverlust oder eine unbefugte Datenveränderung über die gesamte Dauer, für die das elektronische Wertpapier eingetragen ist, zu verhindern.;Handlungspflicht;muss;hat … zu treffen, um … zu verhindern;Öffentliche Verwaltung;die registerführende Stelle;https://www.gesetze-im-internet.de/ewpg/__7.html
eWpG;§ 7 Absatz 3 Satz 3;Die registerführende Stelle muss sicherstellen, dass der Gesamtbestand der elektronisch begebenen Wertpapiere unverändert bleibt.;Die registerführende Stelle hat sicherzustellen, dass der Gesamtbestand der vom Emittenten jeweils elektronisch begebenen Wertpapiere durch Eintragungen und Umtragungen nicht verändert wird.;Handlungspflicht;muss;hat sicherzustellen, dass … nicht verändert wird;Öffentliche Verwaltung;die registerführende Stelle;https://www.gesetze-im-internet.de/ewpg/__7.html
eWpG;§ 9 Absatz 2 Satz 1;Die Wertpapiersammelbank oder ein Verwahrer muss die Sammeleintragung treuhänderisch für die Berechtigten verwalten.;Die Wertpapiersammelbank oder ein Verwahrer verwaltet die Sammeleintragung treuhänderisch für die Berechtigten, ohne selbst Berechtigter zu sein.;Handlungspflicht;muss;verwaltet die Sammeleintragung treuhänderisch für die Berechtigten;Wirtschaft;Die Wertpapiersammelbank oder ein Verwahrer;https://www.gesetze-im-internet.de/ewpg/__9.html
