norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
32009L0065;Art. 1 Absatz 5;Die Mitgliedstaaten dürfen OGAW die Umwandlung in einen nicht der Richtlinie unterliegenden Organismus nicht erlauben.;Die Mitgliedstaaten untersagen den unter diese Richtlinie fallenden OGAW, sich in einen dieser Richtlinie nicht unterliegenden Organismus für gemeinsame Anlagen umzubilden.;Unterlassungspflicht;muss;untersagen;Öffentliche Verwaltung;Die Mitgliedstaaten;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_1
32009L0065;Art. 1 Absatz 6;Ein Mitgliedstaat darf ausländische OGAW und deren Anteile beim Vertrieb im Inland nicht anderen Bestimmungen unterwerfen als den Vorgaben der Richtlinie.;… darf ein Mitgliedstaat weder die OGAW, die in einem anderen Mitgliedstaat niedergelassen sind, noch die von ihnen begebenen Anteile anderen Bestimmungen unterwerfen als den in der Richtlinie vorgesehenen, wenn diese OGAW ihre Anteile im Gebiet des genannten Mitgliedstaats vertreiben.;Unterlassungspflicht;muss;darf … weder … noch … anderen Bestimmungen unterwerfen als;Öffentliche Verwaltung;ein Mitgliedstaat;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_1
32009L0065;Art. 5 Absatz 3 Satz 1;Die zuständigen Behörden müssen über den Antrag auf Verwaltung des OGAW entscheiden.;Hat der OGAW seinen Sitz nicht im Herkunftsmitgliedstaat der Verwaltungsgesellschaft, so entscheiden die zuständigen Behörden des Herkunftsmitgliedstaats des OGAW über den Antrag der Verwaltungsgesellschaft, den OGAW zu verwalten, gemäß Artikel 20 vorbehaltlich der Bestimmungen nach Absatz 2.;Handlungspflicht;muss;entscheiden … über den Antrag;Öffentliche Verwaltung;die zuständigen Behörden des Herkunftsmitgliedstaats des OGAW;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_5
32009L0065;Art. 5 Absatz 4 Satz 2;Die zuständigen Behörden müssen die Verwaltungsgesellschaft oder gegebenenfalls die Investmentgesellschaft über die Zulassungsentscheidung unterrichten.;Vorbehaltlich der Bestimmungen von Artikel 29 Absatz 2 ist die Verwaltungsgesellschaft oder gegebenenfalls die Investmentgesellschaft spätestens zwei Monate nach Einreichung des vollständigen Antrags darüber zu unterrichten, ob dem OGAW eine Zulassung erteilt wurde oder nicht.;Informationspflicht;muss;ist … darüber zu unterrichten;Öffentliche Verwaltung;die Verwaltungsgesellschaft oder gegebenenfalls die Investmentgesellschaft;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_5
32009L0065;Art. 5 Absatz 6 Satz 1;Die zuständigen Behörden müssen Änderungen genehmigen.;Jeder Wechsel der Verwaltungsgesellschaft oder der Verwahrstelle sowie jegliche Änderung von Vertragsbedingungen des Investmentfonds oder der Satzung der Investmentgesellschaft müssen von den zuständigen Behörden des Herkunftsmitgliedstaats des OGAW genehmigt werden.;Duldungs-/Mitwirkungspflicht;muss;müssen … genehmigt werden;Öffentliche Verwaltung;die zuständigen Behörden des Herkunftsmitgliedstaats des OGAW;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_5
32009L0065;Art. 5 Absatz 7 Satz 1;Die Mitgliedstaaten müssen vollständige Informationen elektronisch und aus der Ferne leicht zugänglich machen.;Die Mitgliedstaaten stellen sicher, dass vollständige Informationen über die Rechts- und Verwaltungsvorschriften zur Umsetzung dieser Richtlinie, die sich auf die Gründung und die Geschäftstätigkeit des OGAW beziehen, aus der Ferne und elektronisch leicht zugänglich sind.;Informationspflicht;muss;stellen sicher, dass … leicht zugänglich sind;Öffentliche Verwaltung;Die Mitgliedstaaten;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_5
32009L0065;Art. 5 Absatz 7 Satz 2;Die Mitgliedstaaten müssen die Informationen mindestens in einer gebräuchlichen Finanzsprache bereitstellen und aktuell sowie klar halten.;Die Mitgliedstaaten stellen sicher, dass diese Informationen mindestens in einer in der Finanzwelt gebräuchlichen Sprache bereitgestellt werden, eindeutig und unmissverständlich sind und dem neuestem Stand entsprechen.;Informationspflicht;muss;stellen sicher, dass … bereitgestellt werden, eindeutig und unmissverständlich sind und dem neuestem Stand entsprechen;Öffentliche Verwaltung;Die Mitgliedstaaten;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_5
32009L0065;Art. 6 Absatz 1;Eine Verwaltungsgesellschaft muss vor Aufnahme ihrer Tätigkeit eine vorherige Zulassung einholen.;Für den Zugang zur Tätigkeit einer Verwaltungsgesellschaft ist die vorherige Zulassung durch die zuständigen Behörden des Herkunftsmitgliedstaates der Verwaltungsgesellschaft erforderlich.;Handlungspflicht;muss;ist … erforderlich;Wirtschaft;eine Verwaltungsgesellschaft;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_6
32009L0065;Art. 6 Absatz 2;Eine Verwaltungsgesellschaft darf nur die erlaubten Verwaltungstätigkeiten ausüben.;"Eine Verwaltungsgesellschaft darf keine andere Tätigkeit als die der Verwaltung von gemäß dieser Richtlinie zugelassenen OGAW ausüben; ausgenommen hiervon ist die zusätzliche Verwaltung anderer Organismen für gemeinsame Anlagen, die nicht unter diese Richtlinie fallen und für die die Verwaltungsgesellschaft einer Aufsicht unterliegt, deren Anteile jedoch nicht in anderen Mitgliedstaaten gemäß dieser Richtlinie vertrieben werden können.";Unterlassungspflicht;muss;darf keine andere Tätigkeit als … ausüben;Wirtschaft;Eine Verwaltungsgesellschaft;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_6
32009L0065;Art. 6 Absatz 3 Satz 2;Die zuständigen Stellen dürfen einer Verwaltungsgesellschaft nicht nur Nebendienstleistungen oder ausschließlich die genannten Dienstleistungen gestatten, wenn die Hauptdienstleistung nicht erlaubt ist.;Auf keinen Fall darf es einer Verwaltungsgesellschaft im Rahmen dieser Richtlinie gestattet werden, ausschließlich die in diesem Absatz genannten Dienstleistungen zu erbringen oder Nebendienstleistungen zu erbringen, wenn ihr nicht gestattet wurde, die in Unterabsatz 1 Buchstabe a genannte Dienstleistung zu erbringen.;Unterlassungspflicht;muss;Auf keinen Fall darf es … gestattet werden;Öffentliche Verwaltung;es;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_6
32009L0065;Art. 7 Absatz 1 Buchstabe a;Die Verwaltungsgesellschaft muss die vorgeschriebenen Kapital- und Eigenmittelanforderungen erfüllen.;"Die Verwaltungsgesellschaft ist mit einem Anfangskapital von mindestens 125 000 EUR ausgestattet, wobei Folgendes berücksichtigt wird: i) Überschreitet der Wert der Portfolios der Verwaltungsgesellschaft 250 000 000 EUR, so muss die Verwaltungsgesellschaft über zusätzliche Eigenmittel verfügen, die 0,02 % des Betrags, um den der Wert der Portfolios der Verwaltungsgesellschaft 250 000 000 EUR übersteigt, entsprechen; die geforderte Gesamtsumme des Anfangskapitals und der zusätzlichen Eigenmittel darf jedoch 10 000 000 EUR nicht überschreiten; ii) für die Zwecke dieses Absatzes gelten die folgenden Portfolios als Portfolios der Verwaltungsgesellschaft: — von der Verwaltungsgesellschaft verwaltete Investmentfonds, einschließlich Portfolios, mit deren Verwaltung sie Dritte beauftragt hat, nicht jedoch Portfolios, die sie selbst im Auftrage Dritter verwaltet, — Investmentgesellschaften, die sie als ihre Verwaltungsgesellschaft benannt haben, — andere von der Verwaltungsgesellschaft verwaltete Organismen für gemeinsame Anlagen, einschließlich Portfolios, mit deren Verwaltung sie Dritte beauftragt hat, nicht jedoch Portfolios, die sie selbst im Auftrage Dritter verwaltet; iii) unabhängig von dieser Eigenmittelanforderung dürfen die Eigenmittel der Verwaltungsgesellschaft zu keiner Zeit unter den in Artikel 21 der Richtlinie 2006/49/EG genannten Betrag absinken;";Handlungspflicht;muss;"ist mit einem Anfangskapital ... ausgestattet; muss ... über zusätzliche Eigenmittel verfügen; dürfen ... nicht überschreiten; dürfen ... zu keiner Zeit ... absinken";Wirtschaft;die Verwaltungsgesellschaft;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_7
32009L0065;Art. 7 Absatz 1 Buchstabe b;Die Verwaltungsgesellschaft muss der zuständigen Behörde die Namen und Änderungen der Geschäftsleiter mitteilen.;"die Namen dieser Personen sowie jeder Wechsel dieser Personen sind den zuständigen Behörden unverzüglich mitzuteilen;";Informationspflicht;muss;sind den zuständigen Behörden unverzüglich mitzuteilen;Wirtschaft;die Verwaltungsgesellschaft;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_7
32009L0065;Art. 7 Absatz 1 Buchstabe b;Die Verwaltungsgesellschaft muss ihre Geschäftspolitik durch mindestens zwei geeignete Personen bestimmen lassen.;"über die Geschäftspolitik der Verwaltungsgesellschaft müssen mindestens zwei Personen, die die genannten Bedingungen erfüllen, bestimmen;";Handlungspflicht;muss;müssen mindestens zwei Personen ... bestimmen;Wirtschaft;die Verwaltungsgesellschaft;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_7
32009L0065;Art. 7 Absatz 2 Satz 3;Die Verwaltungsgesellschaft muss der zuständigen Behörde verlangte Angaben zur fortlaufenden Einhaltung der Voraussetzungen übermitteln.;Die zuständigen Behörden schreiben vor, dass die Verwaltungsgesellschaft ihnen die Angaben übermittelt, die sie verlangen, um sich davon überzeugen zu können, dass die Bedingungen dieses Absatzes fortwährend eingehalten werden.;Informationspflicht;muss;die Verwaltungsgesellschaft ihnen die Angaben übermittelt, die sie verlangen;Wirtschaft;die Verwaltungsgesellschaft;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_7
32009L0065;Art. 7 Absatz 3 Satz 1;Die zuständigen Behörden müssen dem Antragsteller binnen sechs Monaten die Zulassungsentscheidung mitteilen.;Die zuständigen Behörden teilen dem Antragsteller binnen sechs Monaten nach Einreichung eines vollständigen Antrags mit, ob eine Zulassung erteilt wurde.;Informationspflicht;muss;teilen dem Antragsteller binnen sechs Monaten ... mit;Öffentliche Verwaltung;Die zuständigen Behörden;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_7
32009L0065;Art. 7 Absatz 3 Satz 2;Die zuständigen Behörden müssen eine Antragsablehnung begründen.;Die Ablehnung eines Antrags ist zu begründen.;Informationspflicht;muss;ist zu begründen;Öffentliche Verwaltung;Die zuständigen Behörden;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_7
32009L0065;Art. 8 Absatz 2;Die Mitgliedstaaten dürfen Zweigniederlassungen aus Drittstaaten nicht günstiger behandeln als Zweigniederlassungen aus Mitgliedstaaten.;Die Mitgliedstaaten dürfen auf Zweigniederlassungen von Verwaltungsgesellschaften mit Sitz außerhalb der Gemeinschaft, die ihre Geschäftstätigkeit aufnehmen oder ausüben, keine Bestimmungen anwenden, die dazu führen, dass diese günstiger behandelt werden als Zweigniederlassungen von Verwaltungsgesellschaften mit Sitz in einem Mitgliedstaat.;Unterlassungspflicht;muss;dürfen … keine Bestimmungen anwenden;Öffentliche Verwaltung;Die Mitgliedstaaten;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32009L0065#art_8
