norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
32017R1129;Art. 1 Absatz 3 Satz 2;Die Mitgliedstaaten dürfen die Prospektpflicht für bestimmte öffentliche Angebote nicht ausdehnen.;Die Mitgliedstaaten dehnen die Pflicht zur Erstellung eines Prospekts aufgrund dieser Verordnung nicht auf die in Unterabsatz 1 dieses Absatzes genannten öffentlichen Angebote von Wertpapieren aus.;Unterlassungspflicht;muss;dehnen … nicht … aus;Öffentliche Verwaltung;Die Mitgliedstaaten;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32017R1129#art_1
32017R1129;Art. 2 Buchstabe e Satz 2;Wertpapierfirmen und Kreditinstitute müssen dem Emittenten auf Antrag die Einstufung ihrer Kunden mitteilen.;"Für die Zwecke der Anwendung des ersten Satzes dieses Buchstabens teilen Wertpapierfirmen und Kreditinstitute dem Emittenten auf dessen Antrag die Einstufung ihrer Kunden unter Einhaltung des einschlägigen Datenschutzrechts mit;";Informationspflicht;muss;teilen … dem Emittenten … mit;Wirtschaft;Wertpapierfirmen und Kreditinstitute;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32017R1129#art_2
32017R1129;Art. 3 Absatz 2 Satz 2;Die Mitgliedstaaten müssen der Kommission und der ESMA ihre Entscheidung und die festgelegte Obergrenze mitteilen.;Die Mitgliedstaaten unterrichten die Kommission und die ESMA, ob und auf welche Weise sie beschließen, die Ausnahme nach Unterabsatz 1 anzuwenden, und teilen mit, welchen Gegenwert sie als Obergrenze festgesetzt haben, unterhalb deren die Ausnahme für Angebote in diesem Mitgliedstaat gilt.;Informationspflicht;muss;unterrichten … und teilen mit;Öffentliche Verwaltung;Die Mitgliedstaaten;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32017R1129#art_3
32017R1129;Art. 3 Absatz 2 Satz 3;Die Mitgliedstaaten müssen spätere Änderungen des Gegenwerts der Kommission und der ESMA mitteilen.;Sie unterrichten die Kommission und die ESMA ferner über alle späteren Änderungen dieses Gegenwerts.;Informationspflicht;muss;unterrichten … ferner über;Öffentliche Verwaltung;Die Mitgliedstaaten;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32017R1129#art_3
32017R1129;Art. 5 Absatz 1 Satz 2;Finanzintermediäre müssen bei der Platzierung von Wertpapieren einen Prospekt veröffentlichen.;Bei der Platzierung von Wertpapieren durch Finanzintermediäre ist ein Prospekt zu veröffentlichen, es sei denn, eine der Ausnahmen nach Artikel 1 Absatz 4 Buchstaben a bis d findet in Bezug auf die endgültige Platzierung Anwendung.;Informationspflicht;muss;ist ein Prospekt zu veröffentlichen;Wirtschaft;Finanzintermediäre;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32017R1129#art_5
32017R1129;Art. 5 Absatz 2;Nichtdividendenwerte dürfen an nicht qualifizierte Anleger nur mit geeignetem Prospekt weiterveräußert werden.;Bezieht sich ein Prospekt auf die Zulassung von Nichtdividendenwerten zum Handel an einem geregelten Markt, die ausschließlich an einem geregelten Markt oder in einem bestimmten Segment eines solchen gehandelt werden sollen, zu dem ausschließlich qualifizierte Anleger zu Zwecken des Handels mit diesen Wertpapieren Zugang erhalten, werden die Wertpapiere nur dann an nicht qualifizierte Anleger weiterveräußert, wenn ein für diese geeigneter Prospekt gemäß der vorliegenden Verordnung erstellt wird.;Unterlassungspflicht;muss;werden die Wertpapiere nur dann ... weiterveräußert, wenn;Wirtschaft;die Wertpapiere;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32017R1129#art_5
32017R1129;Art. 6 Absatz 1 Satz 1;Der Emittent, Anbieter oder Zulassungsantragsteller muss dafür sorgen, dass der Prospekt die wesentlichen erforderlichen Informationen enthält.;"Unbeschadet des Artikels 14 Absatz 2 und des Artikels 18 Absatz 1 enthält ein Prospekt die erforderlichen Informationen, die für den Anleger wesentlich sind, um sich ein fundiertes Urteil über Folgendes bilden zu können: a) die Vermögenswerte und Verbindlichkeiten, die Gewinne und Verluste, die Finanzlage und die Aussichten des Emittenten und eines etwaigen Garantiegebers; b) die mit den Wertpapieren verbundenen Rechte; und c) die Gründe für die Emission und ihre Auswirkungen auf den Emittenten.";Informationspflicht;muss;enthält ein Prospekt die erforderlichen Informationen;Wirtschaft;der Emittent, der Anbieter oder die die Zulassung zum Handel an einem geregelten Markt beantragende Person;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32017R1129#art_6
32017R1129;Art. 6 Absatz 2;Der Emittent, Anbieter oder Zulassungsantragsteller muss die Prospektinformationen klar, knapp und verständlich darstellen.;Die Informationen in einem Prospekt werden unter Beachtung der in Absatz 1 Unterabsatz 2 genannten Faktoren in leicht zu analysierender, knapper und verständlicher Form geschrieben und präsentiert.;Handlungspflicht;muss;werden … in leicht zu analysierender, knapper und verständlicher Form geschrieben und präsentiert;Wirtschaft;der Emittent, der Anbieter oder die die Zulassung zum Handel an einem geregelten Markt beantragende Person;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32017R1129#art_6
32017R1129;Art. 6 Absatz 3 Satz 2;Der Emittent, Anbieter oder Zulassungsantragsteller muss die Angaben bei einem Mehrfachprospekt auf Registrierungsformular, Wertpapierbeschreibung und Zusammenfassung verteilen.;Unbeschadet des Artikels 8 Absatz 8 und des Artikels 7 Absatz 1 Unterabsatz 2, werden in einem aus mehreren Einzeldokumenten bestehenden Prospekt die geforderten Angaben in ein Registrierungsformular, eine Wertpapierbeschreibung und eine Zusammenfassung geteilt.;Handlungspflicht;muss;werden … die geforderten Angaben in ein Registrierungsformular, eine Wertpapierbeschreibung und eine Zusammenfassung geteilt;Wirtschaft;der Emittent, der Anbieter oder die die Zulassung zum Handel an einem geregelten Markt beantragende Person;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32017R1129#art_6
32017R1129;Art. 7 Absatz 1 Satz 1;Der Prospekt muss eine Zusammenfassung mit Basisinformationen enthalten.;"Der Prospekt enthält eine Zusammenfassung mit Basisinformationen, die Anlegern Aufschluss über Art und Risiken des Emittenten, des Garantiegebers und der angebotenen oder zum Handel an einem geregelten Markt zugelassenen Wertpapiere geben;";Informationspflicht;muss;Der Prospekt enthält eine Zusammenfassung mit Basisinformationen;Wirtschaft;Der Prospekt;https://eur-lex.europa.eu/legal-content/DE/TXT/HTML/?uri=CELEX:32017R1129#art_7
