norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
5. VermBG;§ 3 Absatz 2 Satz 1;Der Arbeitgeber muss vermögenswirksame Leistungen unmittelbar an das Anlageunternehmen oder -institut überweisen.;Der Arbeitgeber hat die vermögenswirksamen Leistungen für den Arbeitnehmer unmittelbar an das Unternehmen oder Institut zu überweisen, bei dem sie angelegt werden sollen.;Handlungspflicht;muss;hat ... zu überweisen;Wirtschaft;Der Arbeitgeber;https://www.gesetze-im-internet.de/vermbg_2/__3.html
5. VermBG;§ 3 Absatz 2 Satz 2;Der Arbeitgeber muss die vermögenswirksamen Leistungen gegenüber dem Unternehmen oder Institut kennzeichnen.;Er hat dabei gegenüber dem Unternehmen oder Institut die vermögenswirksamen Leistungen zu kennzeichnen.;Informationspflicht;muss;hat ... zu kennzeichnen;Wirtschaft;Der Arbeitgeber;https://www.gesetze-im-internet.de/vermbg_2/__3.html
5. VermBG;§ 3 Absatz 2 Satz 3;Das Unternehmen oder Institut muss die angelegten vermögenswirksamen Leistungen und deren Anlageart kennzeichnen.;Das Unternehmen oder Institut hat die nach § 2 Abs. 1 Nr. 1 bis 5, Abs. 2 bis 4 angelegten vermögenswirksamen Leistungen und die Art ihrer Anlage zu kennzeichnen.;Informationspflicht;muss;hat ... zu kennzeichnen;Wirtschaft;Das Unternehmen oder Institut;https://www.gesetze-im-internet.de/vermbg_2/__3.html
5. VermBG;§ 3 Absatz 2 Satz 4;Das Unternehmen oder Institut muss den Arbeitgeber unverzüglich schriftlich informieren, wenn eine vermögenswirksame Leistung die Voraussetzungen nicht oder nicht mehr erfüllt.;Kann eine vermögenswirksame Leistung nicht oder nicht mehr die Voraussetzungen des § 2 Abs. 1 bis 4 erfüllen, so hat das Unternehmen oder Institut dies dem Arbeitgeber unverzüglich schriftlich mitzuteilen.;Informationspflicht;muss;hat ... unverzüglich schriftlich mitzuteilen;Wirtschaft;das Unternehmen oder Institut;https://www.gesetze-im-internet.de/vermbg_2/__3.html
5. VermBG;§ 3 Absatz 3 Satz 1;Der Arbeitgeber muss auf Verlangen des Arbeitnehmers die vermögenswirksamen Leistungen an ihn überweisen, wenn die schriftliche Gläubigerbestätigung vorliegt.;"Für eine vom Arbeitnehmer gewählte Anlage nach § 2 Abs. 1 Nr. 5 hat der Arbeitgeber auf Verlangen des Arbeitnehmers die vermögenswirksamen Leistungen an den Arbeitnehmer zu überweisen, wenn dieser dem Arbeitgeber eine schriftliche Bestätigung seines Gläubigers vorgelegt hat, daß die Anlage bei ihm die Voraussetzungen des § 2 Abs. 1 Nr. 5 erfüllt; Absatz 2 gilt in diesem Falle nicht.";Handlungspflicht;muss;hat ... auf Verlangen ... zu überweisen;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/vermbg_2/__3.html
5. VermBG;§ 3 Absatz 3 Satz 2;Der Arbeitgeber muss die Richtigkeit der Bestätigung nicht prüfen.;Der Arbeitgeber hat die Richtigkeit der Bestätigung nicht zu prüfen.;Unterlassungspflicht;muss;hat ... nicht zu prüfen;Wirtschaft;Der Arbeitgeber;https://www.gesetze-im-internet.de/vermbg_2/__3.html
5. VermBG;§ 8 Absatz 2 Satz 1 Nummer 1;Der Arbeitnehmer muss Sparbeiträge oder andere Beträge einzahlen lassen bzw. einzahlen.;Der Arbeitnehmer ist verpflichtet, 1. einmalig oder für die Dauer von sechs Jahren seit Vertragsabschluß laufend, mindestens aber einmal im Kalenderjahr, als Sparbeiträge vermögenswirksame Leistungen einzahlen zu lassen oder andere Beträge einzuzahlen;Handlungspflicht;muss;ist verpflichtet, 1. einmalig oder für die Dauer von sechs Jahren seit Vertragsabschluß laufend, mindestens aber einmal im Kalenderjahr, als Sparbeiträge vermögenswirksame Leistungen einzahlen zu lassen oder andere Beträge einzuzahlen;Wirtschaft;der Arbeitnehmer;https://www.gesetze-im-internet.de/vermbg_2/__8.html
5. VermBG;§ 8 Absatz 2 Satz 1 Nummer 2;Der Arbeitnehmer muss die eingezahlten Leistungen bis zum Ablauf der Sperrfrist festlegen und die Rückzahlungsansprüche nicht abtreten oder beleihen.;Der Arbeitnehmer ist verpflichtet, 2. bis zum Ablauf einer Frist von sieben Jahren (Sperrfrist) die eingezahlten vermögenswirksamen Leistungen bei dem Kreditinstitut festzulegen und die Rückzahlungsansprüche aus dem Vertrag weder abzutreten noch zu beleihen.;Handlungspflicht;muss;ist verpflichtet, 2. bis zum Ablauf einer Frist von sieben Jahren (Sperrfrist) die eingezahlten vermögenswirksamen Leistungen bei dem Kreditinstitut festzulegen und die Rückzahlungsansprüche aus dem Vertrag weder abzutreten noch zu beleihen;Wirtschaft;der Arbeitnehmer;https://www.gesetze-im-internet.de/vermbg_2/__8.html
5. VermBG;§ 8 Absatz 4 Satz 2;Der Arbeitnehmer muss die erworbenen Wertpapiere festlegen und darf über sie nicht verfügen.;"Der Arbeitnehmer ist verpflichtet, bis zum Ablauf der Sperrfrist die nach Satz 1 erworbenen Wertpapiere bei dem Kreditinstitut, mit dem der Sparvertrag abgeschlossen ist, festzulegen und über die Wertpapiere nicht zu verfügen;";Handlungspflicht;muss;ist verpflichtet, bis zum Ablauf der Sperrfrist die nach Satz 1 erworbenen Wertpapiere ... festzulegen und über die Wertpapiere nicht zu verfügen;Wirtschaft;Der Arbeitnehmer;https://www.gesetze-im-internet.de/vermbg_2/__8.html
5. VermBG;§ 9 Absatz 2;Der Arbeitnehmer muss Versicherungsbeiträge als vermögenswirksame Leistungen oder durch andere Beträge einzahlen lassen.;Der Arbeitnehmer ist verpflichtet, als Versicherungsbeiträge vermögenswirksame Leistungen einzahlen zu lassen oder andere Beträge einzuzahlen.;Handlungspflicht;muss;ist verpflichtet, ... einzahlen zu lassen oder ... einzuzahlen;Bürgerinnen und Bürger;Der Arbeitnehmer;https://www.gesetze-im-internet.de/vermbg_2/__9.html
