norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
AktG;§ 2 Satz 1;Wer Aktien gegen Einlagen übernimmt, muss sich an der Feststellung des Gesellschaftsvertrags beteiligen.;An der Feststellung des Gesellschaftsvertrags (der Satzung) müssen sich eine oder mehrere Personen beteiligen, welche die Aktien gegen Einlagen übernehmen.;Handlungspflicht;muss;müssen sich ... beteiligen;Wirtschaft;eine oder mehrere Personen, welche die Aktien gegen Einlagen übernehmen;https://www.gesetze-im-internet.de/aktg/__2.html
AktG;§ 4 Satz 1;Die Firma der Aktiengesellschaft muss die Bezeichnung „Aktiengesellschaft“ oder eine allgemein verständliche Abkürzung enthalten.;"Die Firma der Aktiengesellschaft muß, auch wenn sie nach § 22 des Handelsgesetzbuchs oder nach anderen gesetzlichen Vorschriften fortgeführt wird, die Bezeichnung ""Aktiengesellschaft"" oder eine allgemein verständliche Abkürzung dieser Bezeichnung enthalten.";Handlungspflicht;muss;"muß ... die Bezeichnung ""Aktiengesellschaft"" oder eine allgemein verständliche Abkürzung dieser Bezeichnung enthalten";Wirtschaft;Die Firma der Aktiengesellschaft;https://www.gesetze-im-internet.de/aktg/__4.html
AktG;§ 6;Das Grundkapital muss auf einen Nennbetrag in Euro lauten.;Das Grundkapital muß auf einen Nennbetrag in Euro lauten.;Handlungspflicht;muss;muß auf einen Nennbetrag in Euro lauten;Wirtschaft;Das Grundkapital;https://www.gesetze-im-internet.de/aktg/__6.html
AktG;§ 8 Absatz 2 Satz 1;Nennbetragsaktien müssen mindestens einen Euro betragen.;Nennbetragsaktien müssen auf mindestens einen Euro lauten.;Handlungspflicht;muss;müssen auf mindestens einen Euro lauten;Wirtschaft;Nennbetragsaktien;https://www.gesetze-im-internet.de/aktg/__8.html
AktG;§ 8 Absatz 2 Satz 4;Höhere Aktiennennbeträge müssen in vollen Euro lauten.;Höhere Aktiennennbeträge müssen auf volle Euro lauten.;Handlungspflicht;muss;müssen auf volle Euro lauten;Wirtschaft;Höhere Aktiennennbeträge;https://www.gesetze-im-internet.de/aktg/__8.html
AktG;§ 8 Absatz 7 Satz 2;In diesem Fall müssen die Nennbetragsaktien mindestens einen Eurocent lauten.;In diesem Fall müssen sie auf mindestens einen Eurocent lauten.;Handlungspflicht;muss;müssen sie auf mindestens einen Eurocent lauten;Wirtschaft;sie;https://www.gesetze-im-internet.de/aktg/__8.html
AktG;§ 9 Absatz 1;Aktien dürfen nicht unter dem geringsten Ausgabebetrag ausgegeben werden.;Für einen geringeren Betrag als den Nennbetrag oder den auf die einzelne Stückaktie entfallenden anteiligen Betrag des Grundkapitals dürfen Aktien nicht ausgegeben werden (geringster Ausgabebetrag).;Unterlassungspflicht;muss;dürfen Aktien nicht ausgegeben werden;Wirtschaft;Aktien;https://www.gesetze-im-internet.de/aktg/__9.html
AktG;§ 10 Absatz 2 Satz 1;Die Aktien müssen vor voller Leistung des Ausgabebetrags als Namensaktien ausgegeben werden.;Die Aktien müssen auf Namen lauten, wenn sie vor der vollen Leistung des Ausgabebetrags ausgegeben werden.;Informationspflicht;muss;müssen auf Namen lauten;Wirtschaft;Die Aktien;https://www.gesetze-im-internet.de/aktg/__10.html
AktG;§ 10 Absatz 3 Satz 1;Zwischenscheine müssen als Namensscheine ausgestaltet sein.;Zwischenscheine müssen auf Namen lauten.;Informationspflicht;muss;müssen auf Namen lauten;Wirtschaft;Zwischenscheine;https://www.gesetze-im-internet.de/aktg/__10.html
AktG;§ 10 Absatz 6 Satz 1;Die Satzung muss die Verbriefung bestimmter elektronischer Aktien ausschließen.;In der Satzung ist die Verbriefung für solche Aktien auszuschließen, die als elektronische Aktien in einem elektronischen Wertpapierregister eingetragen werden.;Informationspflicht;muss;ist … auszuschließen;Wirtschaft;In der Satzung;https://www.gesetze-im-internet.de/aktg/__10.html
