norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
ArbSchG;§ 3 Absatz 1 Satz 1;Der Arbeitgeber muss die erforderlichen Arbeitsschutzmaßnahmen treffen.;Der Arbeitgeber ist verpflichtet, die erforderlichen Maßnahmen des Arbeitsschutzes unter Berücksichtigung der Umstände zu treffen, die Sicherheit und Gesundheit der Beschäftigten bei der Arbeit beeinflussen.;Handlungspflicht;muss;ist verpflichtet, ... zu treffen;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/arbschg/__3.html
ArbSchG;§ 3 Absatz 1 Satz 2;Der Arbeitgeber muss die Maßnahmen prüfen und bei Bedarf anpassen.;Er hat die Maßnahmen auf ihre Wirksamkeit zu überprüfen und erforderlichenfalls sich ändernden Gegebenheiten anzupassen.;Handlungspflicht;muss;hat ... zu überprüfen und ... anzupassen;Wirtschaft;er;https://www.gesetze-im-internet.de/arbschg/__3.html
ArbSchG;§ 3 Absatz 1 Satz 3;Der Arbeitgeber muss auf eine Verbesserung von Sicherheit und Gesundheitsschutz hinarbeiten.;Dabei hat er eine Verbesserung von Sicherheit und Gesundheitsschutz der Beschäftigten anzustreben.;Handlungspflicht;muss;hat ... anzustreben;Wirtschaft;er;https://www.gesetze-im-internet.de/arbschg/__3.html
ArbSchG;§ 3 Absatz 2 Satz 1 Nummer 1;Der Arbeitgeber muss für eine geeignete Organisation sorgen und die erforderlichen Mittel bereitstellen.;Zur Planung und Durchführung der Maßnahmen nach Absatz 1 hat der Arbeitgeber unter Berücksichtigung der Art der Tätigkeiten und der Zahl der Beschäftigten 1. für eine geeignete Organisation zu sorgen und die erforderlichen Mittel bereitzustellen sowie 2. Vorkehrungen zu treffen, daß die Maßnahmen erforderlichenfalls bei allen Tätigkeiten und eingebunden in die betrieblichen Führungsstrukturen beachtet werden und die Beschäftigten ihren Mitwirkungspflichten nachkommen können.;Handlungspflicht;muss;hat ... für eine geeignete Organisation zu sorgen und die erforderlichen Mittel bereitzustellen;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/arbschg/__3.html
ArbSchG;§ 3 Absatz 2 Satz 1 Nummer 2;Der Arbeitgeber muss Vorkehrungen treffen, damit die Maßnahmen beachtet werden und Beschäftigte mitwirken können.;Zur Planung und Durchführung der Maßnahmen nach Absatz 1 hat der Arbeitgeber unter Berücksichtigung der Art der Tätigkeiten und der Zahl der Beschäftigten 1. für eine geeignete Organisation zu sorgen und die erforderlichen Mittel bereitzustellen sowie 2. Vorkehrungen zu treffen, daß die Maßnahmen erforderlichenfalls bei allen Tätigkeiten und eingebunden in die betrieblichen Führungsstrukturen beachtet werden und die Beschäftigten ihren Mitwirkungspflichten nachkommen können.;Handlungspflicht;muss;hat ... Vorkehrungen zu treffen, daß ...;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/arbschg/__3.html
ArbSchG;§ 3 Absatz 3;Der Arbeitgeber darf Kosten für Arbeitsschutzmaßnahmen nicht auf Beschäftigte abwälzen.;Kosten für Maßnahmen nach diesem Gesetz darf der Arbeitgeber nicht den Beschäftigten auferlegen.;Unterlassungspflicht;muss;darf ... nicht ... auferlegen;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/arbschg/__3.html
ArbSchG;§ 4 Satz 1 Nummer 1;Der Arbeitgeber muss die Arbeit so gestalten, dass Gefährdungen möglichst vermieden und gering gehalten werden.;Der Arbeitgeber hat bei Maßnahmen des Arbeitsschutzes von folgenden allgemeinen Grundsätzen auszugehen: 1. Die Arbeit ist so zu gestalten, daß eine Gefährdung für das Leben sowie die physische und die psychische Gesundheit möglichst vermieden und die verbleibende Gefährdung möglichst gering gehalten wird;Handlungspflicht;muss;hat … auszugehen;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/arbschg/__4.html
ArbSchG;§ 4 Satz 1 Nummer 2;Der Arbeitgeber muss Gefahren an ihrer Quelle bekämpfen.;Der Arbeitgeber hat bei Maßnahmen des Arbeitsschutzes von folgenden allgemeinen Grundsätzen auszugehen: 2. Gefahren sind an ihrer Quelle zu bekämpfen;Handlungspflicht;muss;sind … zu bekämpfen;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/arbschg/__4.html
ArbSchG;§ 4 Satz 1 Nummer 3;Der Arbeitgeber muss bei den Maßnahmen den Stand von Technik, Arbeitsmedizin, Hygiene und gesicherte arbeitswissenschaftliche Erkenntnisse berücksichtigen.;Der Arbeitgeber hat bei Maßnahmen des Arbeitsschutzes von folgenden allgemeinen Grundsätzen auszugehen: 3. bei den Maßnahmen sind der Stand von Technik, Arbeitsmedizin und Hygiene sowie sonstige gesicherte arbeitswissenschaftliche Erkenntnisse zu berücksichtigen;Handlungspflicht;muss;sind … zu berücksichtigen;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/arbschg/__4.html
ArbSchG;§ 4 Satz 1 Nummer 4;Der Arbeitgeber muss Maßnahmen so planen, dass diese Faktoren sachgerecht verknüpft werden.;Der Arbeitgeber hat bei Maßnahmen des Arbeitsschutzes von folgenden allgemeinen Grundsätzen auszugehen: 4. Maßnahmen sind mit dem Ziel zu planen, Technik, Arbeitsorganisation, sonstige Arbeitsbedingungen, soziale Beziehungen und Einfluß der Umwelt auf den Arbeitsplatz sachgerecht zu verknüpfen;Handlungspflicht;muss;sind … zu planen;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/arbschg/__4.html
ArbSchG;§ 4 Satz 1 Nummer 5;Der Arbeitgeber muss individuelle Schutzmaßnahmen nachrangig behandeln.;Der Arbeitgeber hat bei Maßnahmen des Arbeitsschutzes von folgenden allgemeinen Grundsätzen auszugehen: 5. individuelle Schutzmaßnahmen sind nachrangig zu anderen Maßnahmen;Handlungspflicht;muss;sind … nachrangig;Wirtschaft;der Arbeitgeber;https://www.gesetze-im-internet.de/arbschg/__4.html
