norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
BörsZulV;§ 1 Absatz 1;Der Emittent muss sicherstellen, dass Gründung und Satzung bzw. Gesellschaftsvertrag dem Recht des Sitzstaats entsprechen.;Die Gründung sowie die Satzung oder der Gesellschaftsvertrag des Emittenten müssen dem Recht des Staates entsprechen, in dem der Emittent seinen Sitz hat.;Handlungspflicht;muss;müssen dem Recht des Staates entsprechen;Wirtschaft;des Emittenten;https://www.gesetze-im-internet.de/b_rszulv/__1.html
BörsZulV;§ 7 Absatz 1 Satz 1;Der Zulassungsantrag für Aktien muss sich auf alle Aktien derselben Gattung beziehen.;Der Antrag auf Zulassung von Aktien muß sich auf alle Aktien derselben Gattung beziehen.;Handlungspflicht;muss;muß sich auf alle Aktien derselben Gattung beziehen;Wirtschaft;Der Antrag auf Zulassung von Aktien;https://www.gesetze-im-internet.de/b_rszulv/__7.html
BörsZulV;§ 7 Absatz 1 Satz 3;Im Prospekt oder sonst gegenüber dem Publikum ist über die nur teilweise beantragte Zulassung und den Grund dafür zu informieren.;"In dem Prospekt ist darauf hinzuweisen, daß nur für einen Teil der Aktien die Zulassung beantragt wurde, und der Grund hierfür anzugeben; ist ein Prospekt nicht zu veröffentlichen, so ist das Publikum auf andere geeignete Weise zu unterrichten.";Informationspflicht;muss;"ist darauf hinzuweisen … und den Grund hierfür anzugeben; ist ein Prospekt nicht zu veröffentlichen, so ist das Publikum … zu unterrichten";Wirtschaft;In dem Prospekt;https://www.gesetze-im-internet.de/b_rszulv/__7.html
BörsZulV;§ 7 Absatz 2 Satz 1;Der Zulassungsantrag für andere Wertpapiere muss sich auf alle Wertpapiere derselben Emission beziehen.;Der Antrag auf Zulassung von anderen Wertpapieren als Aktien muß sich auf alle Wertpapiere derselben Emission beziehen.;Handlungspflicht;muss;muß sich auf alle Wertpapiere derselben Emission beziehen;Wirtschaft;Der Antrag auf Zulassung von anderen Wertpapieren als Aktien;https://www.gesetze-im-internet.de/b_rszulv/__7.html
BörsZulV;§ 12 Absatz 2;Der Antragsteller muss glaubhaft machen, dass die Zulassung nicht aus Gründen des Publikumschutzes unterblieben ist.;Vertreten die Zertifikate Aktien eines Emittenten mit Sitz in einem Staat außerhalb der Europäischen Gemeinschaft oder außerhalb eines anderen Vertragsstaates des Abkommens über den Europäischen Wirtschaftsraum und sind die Aktien weder in diesem Staat noch in dem Staat ihrer hauptsächlichen Verbreitung an einer Börse an einem Markt, der mit einem organisierten Markt vergleichbar ist, zugelassen, so ist glaubhaft zu machen, daß die Zulassung nicht aus Gründen des Schutzes des Publikums unterblieben ist.;Informationspflicht;muss;ist glaubhaft zu machen;Wirtschaft;der Antragsteller;https://www.gesetze-im-internet.de/b_rszulv/__12.html
BörsZulV;§ 48 Absatz 1 Satz 1;Der Antragsteller muss den Zulassungsantrag elektronisch stellen, sofern nicht schriftliche Antragstellung vorgeschrieben ist.;Der Zulassungsantrag ist elektronisch zu stellen (elektronischer Antrag), es sei denn, in der Börsenordnung ist die schriftliche Antragstellung vorgeschrieben.;Handlungspflicht;muss;ist elektronisch zu stellen;Wirtschaft;Der Zulassungsantragsteller;https://www.gesetze-im-internet.de/b_rszulv/__48.html
BörsZulV;§ 48 Absatz 1 Satz 3;Der Antragsteller muss für den elektronischen Antrag ein sicheres Verfahren verwenden.;Es ist ein dem jeweiligen Stand der Technik entsprechendes sicheres Verfahren zu verwenden, das den Antragsteller authentifizieren und das die Vertraulichkeit und die Integrität des elektronisch übermittelten Datensatzes gewährleisten muss.;Handlungspflicht;muss;ist … zu verwenden;Wirtschaft;Der Antragsteller;https://www.gesetze-im-internet.de/b_rszulv/__48.html
BörsZulV;§ 48 Absatz 1 Satz 4;Im Zulassungsantrag müssen bestimmte Angaben zu den Antragstellern und den Wertpapieren enthalten sein.;Der Zulassungsantrag muß Firma und Sitz der Antragsteller, Art und Betrag der zuzulassenden Wertpapiere angeben.;Informationspflicht;muss;muß … angeben;Wirtschaft;Der Zulassungsantrag;https://www.gesetze-im-internet.de/b_rszulv/__48.html
BörsZulV;§ 48 Absatz 1 Satz 5;Im Zulassungsantrag ist mitzuteilen, ob und wo ein gleichartiger Antrag bereits gestellt wurde oder gestellt werden wird.;Ferner ist anzugeben, ob ein gleichartiger Antrag zuvor oder gleichzeitig an einer anderen inländischen Börse oder in einem anderen Mitgliedstaat der Europäischen Union oder in einem anderen Vertragsstaat des Abkommens über den Europäischen Wirtschaftsraum gestellt worden ist oder alsbald gestellt werden wird.;Informationspflicht;muss;ist anzugeben;Wirtschaft;Der Zulassungsantrag;https://www.gesetze-im-internet.de/b_rszulv/__48.html
BörsZulV;§ 48 Absatz 2 Satz 1;Der Antragsteller muss dem Antrag die erforderlichen Unterlagen beifügen.;Dem Antrag sind ein Entwurf des Prospekts oder ein gebilligter Prospekt und die zur Prüfung der Zulassungsvoraussetzungen erforderlichen Nachweise beizufügen.;Handlungspflicht;muss;sind … beizufügen;Wirtschaft;Der Antragsteller;https://www.gesetze-im-internet.de/b_rszulv/__48.html
