norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
EStG;§ 1 Absatz 3 Satz 5;Natürliche Personen müssen die Höhe bestimmter nicht steuerpflichtiger Einkünfte durch eine Bescheinigung der zuständigen ausländischen Steuerbehörde nachweisen.;Weitere Voraussetzung ist, dass die Höhe der nicht der deutschen Einkommensteuer unterliegenden Einkünfte durch eine Bescheinigung der zuständigen ausländischen Steuerbehörde nachgewiesen wird.;Informationspflicht;muss;durch eine Bescheinigung der zuständigen ausländischen Steuerbehörde nachgewiesen wird;Bürgerinnen und Bürger;natürliche Personen;https://www.gesetze-im-internet.de/estg/__1.html
EStG;§ 2a Absatz 1 Satz 1;Der Steuerpflichtige darf negative Einkünfte nur in den gesetzlich zugelassenen Fällen ausgleichen.;"Negative Einkünfte … dürfen nur mit positiven Einkünften der jeweils selben Art und, mit Ausnahme der Fälle der Nummer 6 Buchstabe b, aus demselben Staat, in den Fällen der Nummer 7 auf Grund von Tatbeständen der jeweils selben Art aus demselben Staat, ausgeglichen werden;";Unterlassungspflicht;muss;dürfen nur mit positiven Einkünften … ausgeglichen werden;Bürgerinnen und Bürger;der Steuerpflichtige;https://www.gesetze-im-internet.de/estg/__2a.html
EStG;§ 2a Absatz 1 Satz 1;Der Steuerpflichtige darf negative Einkünfte nicht nach § 10d abziehen.;… sie dürfen auch nicht nach § 10d abgezogen werden.;Unterlassungspflicht;muss;dürfen auch nicht nach § 10d abgezogen werden;Bürgerinnen und Bürger;der Steuerpflichtige;https://www.gesetze-im-internet.de/estg/__2a.html
EStG;§ 2a Absatz 1 Satz 5;Die Finanzverwaltung muss verbleibende negative Einkünfte gesondert feststellen.;"Die am Schluss eines Veranlagungszeitraums verbleibenden negativen Einkünfte sind gesondert festzustellen;";Handlungspflicht;muss;sind gesondert festzustellen;Öffentliche Verwaltung;die am Schluss eines Veranlagungszeitraums verbleibenden negativen Einkünfte;https://www.gesetze-im-internet.de/estg/__2a.html
EStG;§ 2a Absatz 2 Satz 1;Der Steuerpflichtige muss nachweisen, dass die negativen Einkünfte aus einer qualifizierten Drittstaaten-Betriebsstätte stammen.;"Absatz 1 Satz 1 Nummer 2 ist nicht anzuwenden, wenn der Steuerpflichtige nachweist, dass die negativen Einkünfte aus einer gewerblichen Betriebsstätte in einem Drittstaat stammen, die ausschließlich oder fast ausschließlich die Herstellung oder Lieferung von Waren, außer Waffen, die Gewinnung von Bodenschätzen sowie die Bewirkung gewerblicher Leistungen zum Gegenstand hat, soweit diese nicht in der Errichtung oder dem Betrieb von Anlagen, die dem Fremdenverkehr dienen, oder in der Vermietung oder der Verpachtung von Wirtschaftsgütern einschließlich der Überlassung von Rechten, Plänen, Mustern, Verfahren, Erfahrungen und Kenntnissen bestehen;";Informationspflicht;muss;wenn der Steuerpflichtige nachweist;Bürgerinnen und Bürger;der Steuerpflichtige;https://www.gesetze-im-internet.de/estg/__2a.html
EStG;§ 2a Absatz 2 Satz 2;Der Steuerpflichtige muss nachweisen, dass die Voraussetzungen bei der Körperschaft im maßgeblichen Zeitraum vorgelegen haben.;Absatz 1 Satz 1 Nummer 3 und 4 ist nicht anzuwenden, wenn der Steuerpflichtige nachweist, dass die in Satz 1 genannten Voraussetzungen bei der Körperschaft entweder seit ihrer Gründung oder während der letzten fünf Jahre vor und in dem Veranlagungszeitraum vorgelegen haben, in dem die negativen Einkünfte bezogen werden.;Informationspflicht;muss;wenn der Steuerpflichtige nachweist;Bürgerinnen und Bürger;der Steuerpflichtige;https://www.gesetze-im-internet.de/estg/__2a.html
EStG;§ 3a Absatz 1 Satz 2;Das zu sanierende Unternehmen muss steuerliche Wahlrechte im Sanierungsjahr und im Folgejahr gewinnmindernd ausüben.;Sind Betriebsvermögensmehrungen oder Betriebseinnahmen aus einem Schuldenerlass nach Satz 1 steuerfrei, sind steuerliche Wahlrechte in dem Jahr, in dem ein Sanierungsertrag erzielt wird (Sanierungsjahr) und im Folgejahr im zu sanierenden Unternehmen gewinnmindernd auszuüben.;Handlungspflicht;muss;sind steuerliche Wahlrechte … gewinnmindernd auszuüben;Wirtschaft;im zu sanierenden Unternehmen;https://www.gesetze-im-internet.de/estg/__3a.html
EStG;§ 3a Absatz 1 Satz 3;Das zu sanierende Unternehmen muss den niedrigeren Teilwert im Sanierungsjahr und im Folgejahr ansetzen.;Insbesondere ist der niedrigere Teilwert, der nach § 6 Absatz 1 Nummer 1 Satz 2 und Nummer 2 Satz 2 angesetzt werden kann, im Sanierungsjahr und im Folgejahr anzusetzen.;Handlungspflicht;muss;ist … anzusetzen;Wirtschaft;im zu sanierenden Unternehmen;https://www.gesetze-im-internet.de/estg/__3a.html
EStG;§ 3a Absatz 2;Der Steuerpflichtige muss die Voraussetzungen der unternehmensbezogenen Sanierung nachweisen.;Eine unternehmensbezogene Sanierung liegt vor, wenn der Steuerpflichtige für den Zeitpunkt des Schuldenerlasses die Sanierungsbedürftigkeit und die Sanierungsfähigkeit des Unternehmens, die Sanierungseignung des betrieblich begründeten Schuldenerlasses und die Sanierungsabsicht der Gläubiger nachweist.;Informationspflicht;muss;nachweist;Wirtschaft;der Steuerpflichtige;https://www.gesetze-im-internet.de/estg/__3a.html
EStG;§ 3a Absatz 4 Satz 1;Das Finanzamt muss die Höhe des Sanierungsertrags und der mindernden Beträge gesondert feststellen.;Sind Einkünfte aus Land- und Forstwirtschaft, Gewerbebetrieb oder selbständiger Arbeit nach § 180 Absatz 1 Satz 1 Nummer 2 Buchstabe a oder b der Abgabenordnung gesondert festzustellen, ist auch die Höhe des Sanierungsertrags nach Absatz 1 Satz 1 oder Absatz 5 sowie die Höhe der nach Absatz 3 Satz 2 Nummer 1 bis 6 und 13 mindernden Beträge gesondert festzustellen.;Informationspflicht;muss;ist … gesondert festzustellen;Öffentliche Verwaltung;das Finanzamt;https://www.gesetze-im-internet.de/estg/__3a.html
EStG;§ 3a Absatz 4 Satz 3;Das Finanzamt muss den Feststellungsbescheid insoweit ändern, wenn bereits Verrechnungsverluste oder Verlustvorträge festgestellt wurden oder sich mindernde Beträge ändern.;Wurden verrechenbare Verluste und Verlustvorträge ohne Berücksichtigung des Absatzes 3 Satz 2 bereits festgestellt oder ändern sich die nach Absatz 3 Satz 2 mindernden Beträge, ist der entsprechende Feststellungsbescheid insoweit zu ändern.;Informationspflicht;muss;ist der entsprechende Feststellungsbescheid insoweit zu ändern;Öffentliche Verwaltung;der entsprechende Feststellungsbescheid;https://www.gesetze-im-internet.de/estg/__3a.html
EStG;§ 3a Absatz 4 Satz 4;Das Finanzamt muss den Feststellungsbescheid auch nach Bestandskraft noch entsprechend ändern können.;"Das gilt auch dann, wenn der Feststellungsbescheid bereits bestandskräftig geworden ist; die Feststellungsfrist endet insoweit nicht, bevor die Festsetzungsfrist des Einkommensteuerbescheids oder Körperschaftsteuerbescheids für das Sanierungsjahr abgelaufen ist.";Informationspflicht;muss;Das gilt auch dann, wenn der Feststellungsbescheid bereits bestandskräftig geworden ist;Öffentliche Verwaltung;der entsprechende Feststellungsbescheid;https://www.gesetze-im-internet.de/estg/__3a.html
EStG;§ 3c Absatz 1;Ausgaben mit steuerfreien Einnahmen im unmittelbaren wirtschaftlichen Zusammenhang dürfen nicht abgezogen werden.;"Ausgaben dürfen, soweit sie mit steuerfreien Einnahmen in unmittelbarem wirtschaftlichen Zusammenhang stehen, nicht als Betriebsausgaben oder Werbungskosten abgezogen werden;";Unterlassungspflicht;muss;dürfen ... nicht als Betriebsausgaben oder Werbungskosten abgezogen werden;Wirtschaft;Ausgaben;https://www.gesetze-im-internet.de/estg/__3c.html
EStG;§ 3c Absatz 2 Satz 1;Bestimmte Aufwendungen dürfen bei der Einkünfteermittlung nur zu 60 Prozent abgezogen werden.;"1 Betriebsvermögensminderungen, Betriebsausgaben, Veräußerungskosten oder Werbungskosten, die mit den dem § 3 Nummer 40 zugrunde liegenden Betriebsvermögensmehrungen oder Einnahmen oder mit Vergütungen nach § 3 Nummer 40a in wirtschaftlichem Zusammenhang stehen, dürfen unabhängig davon, in welchem Veranlagungszeitraum die Betriebsvermögensmehrungen oder Einnahmen anfallen, bei der Ermittlung der Einkünfte nur zu 60 Prozent abgezogen werden;";Unterlassungspflicht;muss;dürfen ... nur zu 60 Prozent abgezogen werden;Wirtschaft;Betriebsvermögensminderungen, Betriebsausgaben, Veräußerungskosten oder Werbungskosten;https://www.gesetze-im-internet.de/estg/__3c.html
EStG;§ 3c Absatz 2 Satz 2;Bestimmte Betriebsvermögensminderungen oder Betriebsausgaben unterliegen ebenfalls der Begrenzung des Satzes 1.;2 Satz 1 ist auch für Betriebsvermögensminderungen oder Betriebsausgaben im Zusammenhang mit einer Darlehensforderung oder aus der Inanspruchnahme von Sicherheiten anzuwenden, die für ein Darlehen hingegeben wurden, wenn das Darlehen oder die Sicherheit von einem Steuerpflichtigen gewährt wird, der zu mehr als einem Viertel unmittelbar oder mittelbar am Grund- oder Stammkapital der Körperschaft, der das Darlehen gewährt wurde, beteiligt ist oder war.;Unterlassungspflicht;muss;ist auch ... anzuwenden;Wirtschaft;Betriebsvermögensminderungen oder Betriebsausgaben;https://www.gesetze-im-internet.de/estg/__3c.html
EStG;§ 3c Absatz 2 Satz 5;Bestimmte Gewinne bleiben bei der Ermittlung der Einkünfte außer Ansatz.;5 Gewinne aus dem Ansatz des nach § 6 Absatz 1 Nummer 2 Satz 3 maßgeblichen Werts bleiben bei der Ermittlung der Einkünfte außer Ansatz, soweit auf die vorangegangene Teilwertabschreibung Satz 2 angewendet worden ist.;Unterlassungspflicht;muss;bleiben ... außer Ansatz;Wirtschaft;Gewinne aus dem Ansatz des nach § 6 Absatz 1 Nummer 2 Satz 3 maßgeblichen Werts;https://www.gesetze-im-internet.de/estg/__3c.html
EStG;§ 3c Absatz 2 Satz 6;Bestimmte Aufwendungen eines Gesellschafters einer Körperschaft unterliegen ebenfalls Satz 1.;6 Satz 1 ist außerdem ungeachtet eines wirtschaftlichen Zusammenhangs mit den dem § 3 Nummer 40 zugrunde liegenden Betriebsvermögensmehrungen oder Einnahmen oder mit Vergütungen nach § 3 Nummer 40a auch auf Betriebsvermögensminderungen, Betriebsausgaben oder Veräußerungskosten eines Gesellschafters einer Körperschaft anzuwenden, soweit diese mit einer im Gesellschaftsverhältnis veranlassten unentgeltlichen Überlassung von Wirtschaftsgütern an diese Körperschaft oder bei einer teilentgeltlichen Überlassung von Wirtschaftsgütern mit dem unentgeltlichen Teil in Zusammenhang stehen und der Steuerpflichtige zu mehr als einem Viertel unmittelbar oder mittelbar am Grund-oder Stammkapital dieser Körperschaft beteiligt ist oder war.;Unterlassungspflicht;muss;ist außerdem ... anzuwenden;Wirtschaft;Betriebsvermögensminderungen, Betriebsausgaben oder Veräußerungskosten eines Gesellschafters einer Körperschaft;https://www.gesetze-im-internet.de/estg/__3c.html
EStG;§ 3c Absatz 2 Satz 8;Bestimmte Wertminderungen des Anteils an einer Organgesellschaft fallen ebenfalls unter Satz 1.;8 Satz 1 gilt auch für Wertminderungen des Anteils an einer Organgesellschaft, die nicht auf Gewinnausschüttungen zurückzuführen sind.;Unterlassungspflicht;muss;gilt auch für;Wirtschaft;Wertminderungen des Anteils an einer Organgesellschaft;https://www.gesetze-im-internet.de/estg/__3c.html
EStG;§ 3c Absatz 3;Bestimmte Betriebsvermögensminderungen, Betriebsausgaben oder Veräußerungskosten dürfen nur zur Hälfte abgezogen werden.;Betriebsvermögensminderungen, Betriebsausgaben oder Veräußerungskosten, die mit den Betriebsvermögensmehrungen oder Einnahmen im Sinne des § 3 Nummer 70 in wirtschaftlichem Zusammenhang stehen, dürfen unabhängig davon, in welchem Veranlagungszeitraum die Betriebsvermögensmehrungen oder Einnahmen anfallen, nur zur Hälfte abgezogen werden.;Unterlassungspflicht;muss;dürfen ... nur zur Hälfte abgezogen werden;Wirtschaft;Betriebsvermögensminderungen, Betriebsausgaben oder Veräußerungskosten;https://www.gesetze-im-internet.de/estg/__3c.html
EStG;§ 3c Absatz 4 Satz 1;Bestimmte Betriebsvermögensminderungen oder Betriebsausgaben dürfen nicht abgezogen werden.;1 Betriebsvermögensminderungen oder Betriebsausgaben, die mit einem steuerfreien Sanierungsertrag im Sinne des § 3a in unmittelbarem wirtschaftlichem Zusammenhang stehen, dürfen unabhängig davon, in welchem Veranlagungszeitraum der Sanierungsertrag entsteht, nicht abgezogen werden.;Unterlassungspflicht;muss;dürfen ... nicht abgezogen werden;Wirtschaft;Betriebsvermögensminderungen oder Betriebsausgaben;https://www.gesetze-im-internet.de/estg/__3c.html
EStG;§ 3c Absatz 4 Satz 5;Der entsprechende Steuer- oder Feststellungsbescheid ist insoweit zu ändern.;5 Wurden Betriebsvermögensminderungen oder Betriebsausgaben im Sinne des Satzes 1 bereits bei einer Steuerfestsetzung oder einer gesonderten Feststellung nach § 180 Absatz 1 Satz 1 der Abgabenordnung gewinnmindernd berücksichtigt, ist der entsprechende Steuer- oder Feststellungsbescheid insoweit zu ändern.;Handlungspflicht;muss;ist ... zu ändern;Öffentliche Verwaltung;Steuer- oder Feststellungsbescheid;https://www.gesetze-im-internet.de/estg/__3c.html
EStG;§ 4 Absatz 1 Satz 10;Der Steuerpflichtige muss bei der Gewinnermittlung die einschlägigen Vorschriften befolgen.;Bei der Ermittlung des Gewinns sind die Vorschriften über die Betriebsausgaben, über die Bewertung und über die Absetzung für Abnutzung oder Substanzverringerung zu befolgen.;Handlungspflicht;muss;sind zu befolgen;Wirtschaft;der Steuerpflichtige;https://www.gesetze-im-internet.de/estg/__4.html
EStG;§ 4 Absatz 3 Satz 3;Bestimmte Steuerpflichtige müssen die genannten Vorschriften bei der Gewinnermittlung befolgen.;Die Vorschriften über die Bewertungsfreiheit für geringwertige Wirtschaftsgüter (§ 6 Absatz 2), die Bildung eines Sammelpostens (§ 6 Absatz 2a) und über die Absetzung für Abnutzung oder Substanzverringerung sind zu befolgen.;Handlungspflicht;muss;sind zu befolgen;Wirtschaft;Steuerpflichtige, die nicht auf Grund gesetzlicher Vorschriften verpflichtet sind, Bücher zu führen und regelmäßig Abschlüsse zu machen, und die auch keine Bücher führen und keine Abschlüsse machen;https://www.gesetze-im-internet.de/estg/__4.html
EStG;§ 4 Absatz 3 Satz 5;Der Steuerpflichtige muss bestimmte Wirtschaftsgüter in besondere Verzeichnisse aufnehmen und dabei die erforderlichen Angaben machen.;Die Wirtschaftsgüter des Anlagevermögens und Wirtschaftsgüter des Umlaufvermögens im Sinne des Satzes 4 sind unter Angabe des Tages der Anschaffung oder Herstellung und der Anschaffungs- oder Herstellungskosten oder des an deren Stelle getretenen Werts in besondere, laufend zu führende Verzeichnisse aufzunehmen.;Informationspflicht;muss;sind … in besondere, laufend zu führende Verzeichnisse aufzunehmen;Wirtschaft;Die Wirtschaftsgüter des Anlagevermögens und Wirtschaftsgüter des Umlaufvermögens im Sinne des Satzes 4;https://www.gesetze-im-internet.de/estg/__4.html
EStG;§ 4 Absatz 4a Satz 6;Der Steuerpflichtige muss Entnahmen und Einlagen gesondert aufzeichnen.;"Die Sätze 1 bis 5 sind bei Gewinnermittlung nach § 4 Absatz 3 sinngemäß anzuwenden; hierzu sind Entnahmen und Einlagen gesondert aufzuzeichnen.";Informationspflicht;muss;sind … gesondert aufzuzeichnen;Wirtschaft;der Steuerpflichtige;https://www.gesetze-im-internet.de/estg/__4.html
EStG;§ 4 Absatz 5 Satz 2;Der Steuerpflichtige muss den Nachweis schriftlich mit den erforderlichen Angaben führen.;Zum Nachweis der Höhe und der betrieblichen Veranlassung der Aufwendungen hat der Steuerpflichtige schriftlich die folgenden Angaben zu machen: Ort, Tag, Teilnehmer und Anlass der Bewirtung sowie Höhe der Aufwendungen.;Informationspflicht;muss;hat … schriftlich die folgenden Angaben zu machen;Wirtschaft;der Steuerpflichtige;https://www.gesetze-im-internet.de/estg/__4.html
