norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
GDNG;§ 3 Absatz 2 Satz 1;Die Datenzugangs- und Koordinierungsstelle muss Datennutzende beim Zugang zu Gesundheitsdaten unterstützen und beraten.;Die Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten unterstützt und berät Datennutzende beim Zugang zu Gesundheitsdaten.;Handlungspflicht;muss;unterstützt und berät;Öffentliche Verwaltung;die Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten;https://www.gesetze-im-internet.de/gdng/__3.html
GDNG;§ 3 Absatz 2 Satz 2 Nummer 1;Die Datenzugangs- und Koordinierungsstelle muss einen öffentlichen barrierefreien Metadaten-Katalog führen und pflegen.;Sie hat insbesondere die Aufgabe, 1. einen öffentlichen Metadaten-Katalog barrierefrei zu führen und zu pflegen, in dem zu Transparenzzwecken Informationen über die im deutschen Gesundheitswesen vorhandenen und öffentlich zugänglichen Gesundheitsdaten und über die jeweiligen Halter dieser Daten gesammelt werden,;Informationspflicht;muss;einen öffentlichen Metadaten-Katalog barrierefrei zu führen und zu pflegen;Öffentliche Verwaltung;die Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten;https://www.gesetze-im-internet.de/gdng/__3.html
GDNG;§ 3 Absatz 2 Satz 2 Nummer 2;Die Datenzugangs- und Koordinierungsstelle muss Datennutzende bei der Identifizierung und Lokalisierung benötigter Gesundheitsdaten beraten.;Sie hat insbesondere die Aufgabe, … 2. Datennutzende bei der Identifizierung und bei der Lokalisierung der für ihre Zwecke benötigten Gesundheitsdaten zu beraten,;Informationspflicht;muss;bei der Identifizierung und bei der Lokalisierung … zu beraten;Öffentliche Verwaltung;die Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten;https://www.gesetze-im-internet.de/gdng/__3.html
GDNG;§ 3 Absatz 2 Satz 2 Nummer 3;Die Datenzugangs- und Koordinierungsstelle muss bei Anträgen auf Zugang zu Gesundheitsdaten beraten.;Sie hat insbesondere die Aufgabe, … 3. bei einer Antragstellung von Datennutzenden auf Zugang zu Gesundheitsdaten bei datenhaltenden Stellen zu beraten,;Informationspflicht;muss;bei einer Antragstellung … zu beraten;Öffentliche Verwaltung;die Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten;https://www.gesetze-im-internet.de/gdng/__3.html
GDNG;§ 3 Absatz 2 Satz 2 Nummer 4;Die Datenzugangs- und Koordinierungsstelle muss Anträge auf Zugang zu Gesundheitsdaten entgegennehmen und weiterleiten.;Sie hat insbesondere die Aufgabe, … 4. Anträge auf Zugang zu Gesundheitsdaten bei den nach Absatz 3 Satz 1 Nummer 4 zu spezifizierenden datenhaltenden Stellen entgegenzunehmen und im Wege der Weiterleitung an die zuständigen datenhaltenden und mittelnden Stellen zu übermitteln,;Handlungspflicht;muss;entgegenzunehmen und im Wege der Weiterleitung … zu übermitteln;Öffentliche Verwaltung;die Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten;https://www.gesetze-im-internet.de/gdng/__3.html
GDNG;§ 3 Absatz 2 Satz 2 Nummer 5;Die Datenzugangs- und Koordinierungsstelle muss die erforderliche Kommunikation bei den genannten Antragstellungen unterstützen.;Sie hat insbesondere die Aufgabe, … 5. bei der für die in den Nummern 3 und 4 genannten Antragstellung die erforderliche Kommunikation zwischen den Antragstellenden und den zuständigen Stellen zu unterstützen,;Informationspflicht;muss;die erforderliche Kommunikation … zu unterstützen;Öffentliche Verwaltung;die Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten;https://www.gesetze-im-internet.de/gdng/__3.html
GDNG;§ 3 Absatz 2 Satz 2 Nummer 6;Die Datenzugangs- und Koordinierungsstelle muss die Öffentlichkeit über ihre Aktivitäten informieren.;Sie hat insbesondere die Aufgabe, … 6. die Öffentlichkeit über die Aktivitäten der Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten zu informieren,;Informationspflicht;muss;die Öffentlichkeit … zu informieren;Öffentliche Verwaltung;die Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten;https://www.gesetze-im-internet.de/gdng/__3.html
GDNG;§ 3 Absatz 2 Satz 2 Nummer 7;Die Datenzugangs- und Koordinierungsstelle muss ein öffentliches Antragsregister aufbauen und pflegen.;Sie hat insbesondere die Aufgabe, … 7. ein öffentliches Antragsregister mit Informationen zu den über die Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten gestellten Anträgen auf Zugang zu Gesundheitsdaten, zu den Datennutzenden, zu den Vorhaben, für die Daten beantragt wurden, und zu deren Ergebnissen aufzubauen und zu pflegen,;Informationspflicht;muss;ein öffentliches Antragsregister … aufzubauen und zu pflegen;Öffentliche Verwaltung;die Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten;https://www.gesetze-im-internet.de/gdng/__3.html
GDNG;§ 3 Absatz 2 Satz 2 Nummer 8;Die Datenzugangs- und Koordinierungsstelle muss die Bundesregierung unterstützen.;Sie hat insbesondere die Aufgabe, … 8. die Bundesregierung im Rahmen von Vorhaben und in Gremien zur Steigerung der Verfügbarkeit von Gesundheitsdaten und beim Aufbau einer vernetzten Gesundheitsdateninfrastruktur auf Bundesebene und in der Europäischen Union zu unterstützen,;Handlungspflicht;muss;die Bundesregierung … zu unterstützen;Öffentliche Verwaltung;die Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten;https://www.gesetze-im-internet.de/gdng/__3.html
GDNG;§ 3 Absatz 2 Satz 2 Nummer 9;Die Datenzugangs- und Koordinierungsstelle muss Konzepte zu den genannten drei Themen erstellen.;Sie hat insbesondere die Aufgabe, … 9. Konzepte zu erstellen a) zur Nutzung von sicheren Verarbeitungsumgebungen als Maßnahme zur Verbesserung des Datenschutzes und der Datensicherheit im Rahmen der Weiterverarbeitung von Gesundheitsdaten zu Forschungszwecken und weiteren im Gemeinwohl liegenden Zwecken, b) zur Weiterentwicklung der zentralen Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten als eigenständige Institution unter Einbindung bestehender Dateninfrastrukturen unter Berücksichtigung europäischer Entwicklungen und unter Beteiligung der maßgeblichen Akteure des Gesundheitswesens und der Gesundheitsforschung, c) zur Verknüpfung und gemeinsamen Verarbeitung von pseudonymisierten Gesundheitsdaten verschiedener datenhaltender Stellen,;Handlungspflicht;muss;Konzepte zu erstellen;Öffentliche Verwaltung;die Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten;https://www.gesetze-im-internet.de/gdng/__3.html
