norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
GVG;§ 17 Absatz 1 Satz 2;Keine Partei darf denselben Streitgegenstand während der Rechtshängigkeit anderweitig anhängig machen.;Während der Rechtshängigkeit kann die Sache von keiner Partei anderweitig anhängig gemacht werden.;Unterlassungspflicht;muss;kann die Sache von keiner Partei anderweitig anhängig gemacht werden;Bürgerinnen und Bürger, Wirtschaft;keine Partei;https://www.gesetze-im-internet.de/gvg/__17.html
GVG;§ 17a Absatz 1;Andere Gerichte müssen die rechtskräftige Zulässigkeitsentscheidung zum Rechtsweg beachten.;Hat ein Gericht den zu ihm beschrittenen Rechtsweg rechtskräftig für zulässig erklärt, sind andere Gerichte an diese Entscheidung gebunden.;Handlungspflicht;muss;sind … gebunden;Öffentliche Verwaltung;andere Gerichte;https://www.gesetze-im-internet.de/gvg/__17a.html
GVG;§ 17a Absatz 2 Satz 1;Das Gericht muss bei unzulässigem Rechtsweg dies aussprechen und den Rechtsstreit verweisen.;Ist der beschrittene Rechtsweg unzulässig, spricht das Gericht dies nach Anhörung der Parteien von Amts wegen aus und verweist den Rechtsstreit zugleich an das zuständige Gericht des zulässigen Rechtsweges.;Handlungspflicht;muss;spricht … aus und verweist;Öffentliche Verwaltung;das Gericht;https://www.gesetze-im-internet.de/gvg/__17a.html
GVG;§ 17a Absatz 3 Satz 2;Das Gericht muss vorab entscheiden, wenn eine Partei den Rechtsweg rügt.;Es hat vorab zu entscheiden, wenn eine Partei die Zulässigkeit des Rechtsweges rügt.;Handlungspflicht;muss;hat vorab zu entscheiden;Öffentliche Verwaltung;das Gericht;https://www.gesetze-im-internet.de/gvg/__17a.html
GVG;§ 17a Absatz 4 Satz 2;Der Beschluss muss begründet werden.;Er ist zu begründen.;Handlungspflicht;muss;ist zu begründen;Öffentliche Verwaltung;Er;https://www.gesetze-im-internet.de/gvg/__17a.html
GVG;§ 17a Absatz 4 Satz 5;Das Gericht muss die Beschwerde unter den gesetzlichen Voraussetzungen zulassen.;Die Beschwerde ist zuzulassen, wenn die Rechtsfrage grundsätzliche Bedeutung hat oder wenn das Gericht von der Entscheidung eines obersten Gerichtshofes des Bundes oder des Gemeinsamen Senats der obersten Gerichtshöfe des Bundes abweicht.;Handlungspflicht;muss;ist zuzulassen;Öffentliche Verwaltung;Die Beschwerde;https://www.gesetze-im-internet.de/gvg/__17a.html
GVG;§ 17a Absatz 4 Satz 6;Der oberste Gerichtshof des Bundes darf von der Zulassung der Beschwerde nicht abweichen.;Der oberste Gerichtshof des Bundes ist an die Zulassung der Beschwerde gebunden.;Unterlassungspflicht;muss;ist … gebunden;Öffentliche Verwaltung;Der oberste Gerichtshof des Bundes;https://www.gesetze-im-internet.de/gvg/__17a.html
GVG;§ 17a Absatz 5;Das Rechtsmittelgericht darf die Zulässigkeit des beschrittenen Rechtswegs nicht prüfen.;Das Gericht, das über ein Rechtsmittel gegen eine Entscheidung in der Hauptsache entscheidet, prüft nicht, ob der beschrittene Rechtsweg zulässig ist.;Unterlassungspflicht;muss;prüft nicht;Öffentliche Verwaltung;Das Gericht, das über ein Rechtsmittel gegen eine Entscheidung in der Hauptsache entscheidet;https://www.gesetze-im-internet.de/gvg/__17a.html
GVG;§ 21b Absatz 3 Satz 3;Die Landesregierung muss die erforderlichen Wahlordnungsvorschriften durch Rechtsverordnung erlassen.;"Durch Landesgesetz können andere Wahlverfahren für die Wahl zum Präsidium bestimmt werden; in diesem Fall erlässt die Landesregierung durch Rechtsverordnung die erforderlichen Wahlordnungsvorschriften; …";Handlungspflicht;muss;erlässt die Landesregierung durch Rechtsverordnung die erforderlichen Wahlordnungsvorschriften;Öffentliche Verwaltung;die Landesregierung;https://www.gesetze-im-internet.de/gvg/__21b.html
GVG;§ 21b Absatz 5;Die Bundesregierung muss das Wahlverfahren durch Rechtsverordnung mit Zustimmung des Bundesrates regeln.;Das Wahlverfahren wird durch eine Rechtsverordnung geregelt, die von der Bundesregierung mit Zustimmung des Bundesrates erlassen wird.;Handlungspflicht;muss;wird durch eine Rechtsverordnung geregelt, die von der Bundesregierung mit Zustimmung des Bundesrates erlassen wird;Öffentliche Verwaltung;die Bundesregierung;https://www.gesetze-im-internet.de/gvg/__21b.html
