norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
KStG;§ 1a Absatz 1 Satz 2 bis 5;Die Gesellschaft muss den Antrag auf Option zur Körperschaftsbesteuerung frist- und formgerecht bei der zuständigen Stelle stellen.;"Der Antrag ist von der Personenhandelsgesellschaft, Partnerschaftsgesellschaft oder eingetragenen Gesellschaft bürgerlichen Rechts nach amtlich vorgeschriebenem Datensatz über die amtlich bestimmte Schnittstelle elektronisch bei dem für die gesonderte und einheitliche Feststellung der Einkünfte nach § 180 der Abgabenordnung zuständigen Finanzamt spätestens einen Monat vor Beginn des Wirtschaftsjahrs zu stellen, ab dem die Besteuerung wie eine Kapitalgesellschaft gelten soll; § 31 Absatz 1a Satz 2 gilt entsprechend. Erfolgt für die Personenhandelsgesellschaft, Partnerschaftsgesellschaft oder eingetragene Gesellschaft bürgerlichen Rechts keine gesonderte und einheitliche Feststellung der Einkünfte, ist der Antrag bei dem für die Einkommensteuer oder Körperschaftsteuer des Gesellschafters zuständigen Finanzamt zu stellen. Erzielt eine Personenhandelsgesellschaft, Partnerschaftsgesellschaft oder eingetragene Gesellschaft bürgerlichen Rechts ausschließlich Einkünfte, die dem Steuerabzug vom Kapitalertrag oder dem Steuerabzug auf Grund des § 50a des Einkommensteuergesetzes unterliegen und gilt infolgedessen die Einkommensteuer nach § 50 Absatz 2 Satz 1 des Einkommensteuergesetzes oder die Körperschaftsteuer nach § 32 Absatz 1 als abgegolten, ist der Antrag bei dem Bundeszentralamt für Steuern zu stellen. Hat die Gesellschaft ihren Sitz im Inland, ist der Antrag abweichend von den Sätzen 3 und 4 bei dem Finanzamt zu stellen, in dessen Bezirk die Gesellschaft ihren Sitz hat.";Informationspflicht;muss;Der Antrag ist ... zu stellen;Wirtschaft;die Personenhandelsgesellschaft, Partnerschaftsgesellschaft oder eingetragene Gesellschaft bürgerlichen Rechts;https://www.gesetze-im-internet.de/kstg_1977/__1a.html
KStG;§ 8a Absatz 3 Satz 1;Die Körperschaft muss den erforderlichen Nachweis erbringen.;§ 4h Absatz 2 Satz 1 Buchstabe c des Einkommensteuergesetzes ist nur anzuwenden, wenn die Vergütungen für Fremdkapital der Körperschaft oder eines anderen demselben Konzern zugehörenden Rechtsträgers an zu mindestens einem Viertel unmittelbar oder mittelbar am Kapital beteiligte Gesellschafter einer konzernzugehörigen Gesellschaft, diesen nahestehende Personen (§ 1 Absatz 2 des Außensteuergesetzes) oder Dritte, die auf zu mindestens einem Viertel am Kapital beteiligte Gesellschafter oder diesen nahestehende Personen zurückgreifen können, bezogen auf den jeweiligen Rechtsträger insgesamt nicht mehr als 10 Prozent der die Zinserträge übersteigenden Zinsaufwendungen des Rechtsträgers im Sinne des § 4h Absatz 3 des Einkommensteuergesetzes betragen und die Körperschaft dies nachweist.;Informationspflicht;muss;und die Körperschaft dies nachweist;Wirtschaft;die Körperschaft;https://www.gesetze-im-internet.de/kstg_1977/__8a.html
KStG;§ 8d Absatz 1 Satz 5;Die Körperschaft muss den Antrag in der Steuererklärung stellen.;Der Antrag ist in der Steuererklärung für die Veranlagung des Veranlagungszeitraums zu stellen, in den der schädliche Beteiligungserwerb fällt.;Informationspflicht;muss;Der Antrag ist … zu stellen;Wirtschaft;die Körperschaft;https://www.gesetze-im-internet.de/kstg_1977/__8d.html
KStG;§ 13 Absatz 1;Die betroffene Körperschaft, Personenvereinigung oder Vermögensmasse muss bei Wegfall der Steuerpflicht eine Schlussbilanz aufstellen.;Wird eine steuerpflichtige Körperschaft, Personenvereinigung oder Vermögensmasse von der Körperschaftsteuer befreit, so hat sie auf den Zeitpunkt, in dem die Steuerpflicht endet, eine Schlussbilanz aufzustellen.;Handlungspflicht;muss;hat sie … eine Schlussbilanz aufzustellen;Wirtschaft;eine steuerpflichtige Körperschaft, Personenvereinigung oder Vermögensmasse;https://www.gesetze-im-internet.de/kstg_1977/__13.html
KStG;§ 13 Absatz 2;Die betroffene Körperschaft, Personenvereinigung oder Vermögensmasse muss bei Beginn der Steuerpflicht eine Anfangsbilanz aufstellen.;Wird eine von der Körperschaftsteuer befreite Körperschaft, Personenvereinigung oder Vermögensmasse steuerpflichtig und ermittelt sie ihren Gewinn durch Betriebsvermögensvergleich, so hat sie auf den Zeitpunkt, in dem die Steuerpflicht beginnt, eine Anfangsbilanz aufzustellen.;Handlungspflicht;muss;hat sie … eine Anfangsbilanz aufzustellen;Wirtschaft;eine von der Körperschaftsteuer befreite Körperschaft, Personenvereinigung oder Vermögensmasse;https://www.gesetze-im-internet.de/kstg_1977/__13.html
KStG;§ 13 Absatz 3;Die Körperschaft, Personenvereinigung oder Vermögensmasse muss Wirtschaftsgüter in der Schluss- und Anfangsbilanz mit Teilwerten ansetzen.;In der Schlussbilanz im Sinne des Absatzes 1 und in der Anfangsbilanz im Sinne des Absatzes 2 sind die Wirtschaftsgüter vorbehaltlich des Absatzes 4 mit den Teilwerten anzusetzen.;Handlungspflicht;muss;sind … mit den Teilwerten anzusetzen;Wirtschaft;die Körperschaft, Personenvereinigung oder Vermögensmasse;https://www.gesetze-im-internet.de/kstg_1977/__13.html
KStG;§ 13 Absatz 4 Satz 1;Die Körperschaft, Personenvereinigung oder Vermögensmasse muss bestimmte Wirtschaftsgüter in der Schlussbilanz mit Buchwerten ansetzen.;Beginnt die Steuerbefreiung auf Grund des § 5 Abs. 1 Nr. 9, sind die Wirtschaftsgüter, die der Förderung steuerbegünstigter Zwecke im Sinne der §§ 52 bis 54 der Abgabenordnung dienen, in der Schlussbilanz mit den Buchwerten anzusetzen.;Handlungspflicht;muss;sind … in der Schlussbilanz mit den Buchwerten anzusetzen;Wirtschaft;die Körperschaft, Personenvereinigung oder Vermögensmasse;https://www.gesetze-im-internet.de/kstg_1977/__13.html
KStG;§ 13 Absatz 4 Satz 2;Die Körperschaft, Personenvereinigung oder Vermögensmasse muss bei Erlöschen der Steuerbefreiung für bestimmte Wirtschaftsgüter den maßgeblichen Wert in der Anfangsbilanz ansetzen.;Erlischt die Steuerbefreiung, so ist in der Anfangsbilanz für die in Satz 1 bezeichneten Wirtschaftsgüter der Wert anzusetzen, der sich bei ununterbrochener Steuerpflicht nach den Vorschriften über die steuerliche Gewinnermittlung ergeben würde.;Handlungspflicht;muss;so ist in der Anfangsbilanz … der Wert anzusetzen;Wirtschaft;die Körperschaft, Personenvereinigung oder Vermögensmasse;https://www.gesetze-im-internet.de/kstg_1977/__13.html
KStG;§ 14 Absatz 1 Satz 1 Nummer 3 Satz 1;Die Vertragsparteien müssen den Gewinnabführungsvertrag mindestens fünf Jahre laufen lassen und durchgehend durchführen.;3. 1 Der Gewinnabführungsvertrag muss auf mindestens fünf Jahre abgeschlossen und während seiner gesamten Geltungsdauer durchgeführt werden.;Handlungspflicht;muss;muss auf mindestens fünf Jahre abgeschlossen und während seiner gesamten Geltungsdauer durchgeführt werden;Wirtschaft;die Organgesellschaft und der Organträger;https://www.gesetze-im-internet.de/kstg_1977/__14.html
KStG;§ 14 Absatz 1 Satz 1 Nummer 4;Die Organgesellschaft darf Jahresüberschussbeträge nur eingeschränkt in Gewinnrücklagen einstellen.;4. Die Organgesellschaft darf Beträge aus dem Jahresüberschuss nur insoweit in die Gewinnrücklagen (§ 272 Abs. 3 des Handelsgesetzbuchs) mit Ausnahme der gesetzlichen Rücklagen einstellen, als dies bei vernünftiger kaufmännischer Beurteilung wirtschaftlich begründet ist.;Unterlassungspflicht;muss;darf Beträge aus dem Jahresüberschuss nur insoweit in die Gewinnrücklagen ... einstellen, als;Wirtschaft;die Organgesellschaft;https://www.gesetze-im-internet.de/kstg_1977/__14.html
