norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
OZG;§ 1a Absatz 1 Satz 1;Bund und Länder müssen ihre Verwaltungsleistungen auch elektronisch über Verwaltungsportale anbieten.;Bund und Länder sind verpflichtet, ihre Verwaltungsleistungen auch elektronisch über Verwaltungsportale anzubieten.;Handlungspflicht;muss;sind verpflichtet, ... anzubieten;Öffentliche Verwaltung;Bund und Länder;https://www.gesetze-im-internet.de/ozg/__1a.html
OZG;§ 1a Absatz 1 Satz 2;Diese Verwaltungsleistungen sollen bis zu einem bestimmten Zeitpunkt ausschließlich elektronisch angeboten werden.;Davon abweichend sollen Verwaltungsleistungen, die der Ausführung von Bundesgesetzen dienen und ausschließlich Nutzer im Sinne des § 2 Absatz 4 Nummer 2 betreffen, spätestens mit Ablauf des fünften auf die Verkündung des Gesetzes vom 19. Juli 2024 (BGBl. 2024 I Nr. 245) folgenden Kalenderjahres ausschließlich elektronisch angeboten werden.;Handlungspflicht;soll;sollen ... ausschließlich elektronisch angeboten werden;Öffentliche Verwaltung;Verwaltungsleistungen, die der Ausführung von Bundesgesetzen dienen und ausschließlich Nutzer im Sinne des § 2 Absatz 4 Nummer 2 betreffen;https://www.gesetze-im-internet.de/ozg/__1a.html
OZG;§ 1a Absatz 1 Satz 4;Wer die Verwaltungsleistung früher ausschließlich elektronisch anbietet, muss darüber elektronisch informieren.;Erfolgt ein ausschließlich elektronisches Angebot bereits vor Ablauf des Zeitraums nach Satz 2, so ist darüber an geeigneter Stelle mit angemessenem Vorlauf elektronisch zu informieren.;Informationspflicht;muss;ist ... elektronisch zu informieren;Öffentliche Verwaltung;derjenige, der die Verwaltungsleistung bereits vor Ablauf des Zeitraums nach Satz 2 ausschließlich elektronisch anbietet;https://www.gesetze-im-internet.de/ozg/__1a.html
OZG;§ 1a Absatz 3 Satz 1;Bund und Länder müssen ihre Verwaltungsportale zu einem Portalverbund verknüpfen.;Bund und Länder sind verpflichtet, ihre Verwaltungsportale miteinander zu einem Portalverbund zu verknüpfen, sodass Nutzer über alle Verwaltungsportale von Bund und Ländern einen medienbruch- und barrierefreien Zugang zu elektronischen Verwaltungsleistungen dieser Verwaltungsträger erhalten.;Handlungspflicht;muss;sind verpflichtet, ... zu verknüpfen;Öffentliche Verwaltung;Bund und Länder;https://www.gesetze-im-internet.de/ozg/__1a.html
OZG;§ 1a Absatz 3 Satz 2;Die Länder müssen die Voraussetzungen für die Anbindung bestimmter juristischer Personen an den Portalverbund sicherstellen.;Die Länder sind verpflichtet, die technischen und organisatorischen Voraussetzungen für die Anbindung der Gemeinden und Gemeindeverbände sowie der sonstigen der Aufsicht des Landes unterstehenden juristischen Personen des öffentlichen Rechts an den Portalverbund sicherzustellen.;Handlungspflicht;muss;sind verpflichtet, ... sicherzustellen;Öffentliche Verwaltung;Die Länder;https://www.gesetze-im-internet.de/ozg/__1a.html
OZG;§ 1a Absatz 4 Satz 1;Der Bund muss im Verwaltungsportal des Bundes einen Suchdienst bereitstellen.;Der Bund stellt im Verwaltungsportal des Bundes für die Suche nach elektronischen Verwaltungsleistungen im Portalverbund einen Suchdienst bereit.;Handlungspflicht;muss;stellt ... bereit;Öffentliche Verwaltung;Der Bund;https://www.gesetze-im-internet.de/ozg/__1a.html
OZG;§ 3 Absatz 3;Öffentliche Stellen, die Verwaltungsleistungen im Portalverbund anbieten, müssen das Organisationskonto verwenden.;Für öffentliche Stellen, die Verwaltungsleistungen im Portalverbund anbieten, ist die Verwendung des Organisationskontos verpflichtend.;Handlungspflicht;muss;ist die Verwendung des Organisationskontos verpflichtend;Öffentliche Verwaltung;öffentliche Stellen;https://www.gesetze-im-internet.de/ozg/__3.html
OZG;§ 3a Absatz 1 Satz 1;Bund und Länder müssen im Portalverbund eine allgemeine, fachunabhängige und barrierearme Beratung bereitstellen.;Bund und Länder stellen für Nutzer im Portalverbund eine allgemeine fachunabhängige, barrierearme Beratung für die Abwicklung ihrer über Verwaltungsportale angebotenen, elektronischen Verwaltungsleistungen bereit;Handlungspflicht;muss;stellen ... bereit;Öffentliche Verwaltung;Bund und Länder;https://www.gesetze-im-internet.de/ozg/__3a.html
OZG;§ 3a Absatz 1 Satz 1;Bund und Länder müssen dafür öffentliche Stellen bestimmen.;Bund und Länder ... bestimmen dafür öffentliche Stellen;Handlungspflicht;muss;bestimmen dafür;Öffentliche Verwaltung;Bund und Länder;https://www.gesetze-im-internet.de/ozg/__3a.html
OZG;§ 3a Absatz 1 Satz 2;Die bestimmten öffentlichen Stellen müssen Nutzer bei der Abwicklung von Verwaltungsleistungen im Portalverbund unterstützen.;Diese öffentlichen Stellen unterstützen Nutzer bei der Abwicklung von Verwaltungsleistungen im Portalverbund.;Handlungspflicht;muss;unterstützen;Öffentliche Verwaltung;Diese öffentlichen Stellen;https://www.gesetze-im-internet.de/ozg/__3a.html
