norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
SGB 11;§ 1 Absatz 2 Satz 2;Private Krankenversicherte müssen eine private Pflegeversicherung abschließen.;Wer gegen Krankheit bei einem privaten Krankenversicherungsunternehmen versichert ist, muß eine private Pflegeversicherung abschließen.;Handlungspflicht;muss;muß eine private Pflegeversicherung abschließen;Bürgerinnen und Bürger;Wer gegen Krankheit bei einem privaten Krankenversicherungsunternehmen versichert ist;https://www.gesetze-im-internet.de/sgb_11/__1.html
SGB 11;§ 1 Absatz 5;Die Pflegeversicherung soll geschlechtsspezifische Unterschiede und kultursensible Bedürfnisse berücksichtigen.;In der Pflegeversicherung sollen geschlechtsspezifische Unterschiede bezüglich der Pflegebedürftigkeit von Männern und Frauen und ihrer Bedarfe an Leistungen berücksichtigt und den Bedürfnissen nach einer kultursensiblen Pflege nach Möglichkeit Rechnung getragen werden.;Handlungspflicht;soll;sollen … berücksichtigt und … Rechnung getragen werden;Öffentliche Verwaltung;die Pflegeversicherung;https://www.gesetze-im-internet.de/sgb_11/__1.html
SGB 11;§ 4 Absatz 3;Pflegekassen, Pflegeeinrichtungen und Pflegebedürftige müssen darauf hinwirken, dass die Leistungen wirksam und wirtschaftlich erbracht und nur im notwendigen Umfang in Anspruch genommen werden.;Pflegekassen, Pflegeeinrichtungen und Pflegebedürftige haben darauf hinzuwirken, daß die Leistungen wirksam und wirtschaftlich erbracht und nur im notwendigen Umfang in Anspruch genommen werden.;Duldungs-/Mitwirkungspflicht;muss;haben darauf hinzuwirken;Wirtschaft, Öffentliche Verwaltung, Bürgerinnen und Bürger;Pflegekassen, Pflegeeinrichtungen und Pflegebedürftige;https://www.gesetze-im-internet.de/sgb_11/__4.html
SGB 11;§ 5 Absatz 1 Satz 1;Die Pflegekassen sollen Präventionsleistungen in stationären Pflegeeinrichtungen erbringen.;Die Pflegekassen sollen Leistungen zur Prävention in stationären Pflegeeinrichtungen nach § 71 Absatz 2 für in der sozialen Pflegeversicherung Versicherte erbringen, indem sie unter Beteiligung der versicherten Pflegebedürftigen und der Pflegeeinrichtung Vorschläge zur Verbesserung der gesundheitlichen Situation und zur Stärkung der gesundheitlichen Ressourcen und Fähigkeiten entwickeln sowie deren Umsetzung unterstützen.;Handlungspflicht;soll;sollen Leistungen zur Prävention ... erbringen;Öffentliche Verwaltung;Die Pflegekassen;https://www.gesetze-im-internet.de/sgb_11/__5.html
SGB 11;§ 5 Absatz 1 Satz 3;Der Spitzenverband Bund der Pflegekassen muss Kriterien für die Leistungen festlegen.;Der Spitzenverband Bund der Pflegekassen legt unter Einbeziehung unabhängigen Sachverstandes die Kriterien für die Leistungen nach Satz 1 fest, insbesondere hinsichtlich Inhalt, Methodik, Qualität, wissenschaftlicher Evaluation und der Messung der Erreichung der mit den Leistungen verfolgten Ziele.;Handlungspflicht;muss;legt ... die Kriterien ... fest;Öffentliche Verwaltung;Der Spitzenverband Bund der Pflegekassen;https://www.gesetze-im-internet.de/sgb_11/__5.html
SGB 11;§ 5 Absatz 1a Satz 1;Die Pflegekassen sollen den Zugang zu verhaltensbezogener Prävention in der häuslichen Pflege unterstützen.;Die Pflegekassen sollen den Zugang zu den in § 20 Absatz 4 Nummer 1 des Fünften Buches genannten Leistungen der Krankenkassen zur verhaltensbezogenen Prävention für in der sozialen Pflegeversicherung versicherte Pflegebedürftige in häuslicher Pflege unterstützen, indem sie Vorschläge zur Verbesserung der gesundheitlichen Situation und zur Stärkung der gesundheitlichen Ressourcen und Fähigkeiten der Pflegebedürftigen entwickeln sowie die Umsetzung dieser Vorschläge unterstützen.;Handlungspflicht;soll;sollen den Zugang ... unterstützen;Öffentliche Verwaltung;Die Pflegekassen;https://www.gesetze-im-internet.de/sgb_11/__5.html
SGB 11;§ 5 Absatz 1a Satz 2;Pflegebedürftige und gegebenenfalls ambulante Pflegeeinrichtungen müssen beteiligt werden.;Bei der Entwicklung und Umsetzung dieser Vorschläge sind Pflegebedürftige sowie, falls sie im Einzelfall an der Versorgung mitwirken, ambulante Pflegeeinrichtungen zu beteiligen.;Duldungs-/Mitwirkungspflicht;muss;sind ... zu beteiligen;Öffentliche Verwaltung;Pflegebedürftige sowie, falls sie im Einzelfall an der Versorgung mitwirken, ambulante Pflegeeinrichtungen;https://www.gesetze-im-internet.de/sgb_11/__5.html
SGB 11;§ 5 Absatz 1a Satz 3;Die Pflegekassen sollen die Umsetzung um Beratung und Präventionsempfehlungen ergänzen.;Teil der Umsetzung soll sein: 1. die fachliche Beratung zur Information und Sensibilisierung der Versicherten und ihrer Angehörigen sowie ihrer Pflegepersonen bezüglich der Möglichkeiten, die mittels Gesundheitsförderung und Prävention zur Verbesserung der gesundheitlichen Situation und zur Stärkung der gesundheitlichen Ressourcen und Fähigkeiten bestehen, sowie 2. eine Präventionsempfehlung durch Pflegefachpersonen oder durch gemäß § 7a Absatz 3 Satz 2 qualifizierte Pflegeberaterinnen und Pflegeberater.;Handlungspflicht;soll;Teil der Umsetzung soll sein;Öffentliche Verwaltung;Die Pflegekassen;https://www.gesetze-im-internet.de/sgb_11/__5.html
SGB 11;§ 5 Absatz 1a Satz 4;Die Pflegekassen sollen eine Bedarfserhebung durchführen.;Zur Unterstützung der in Satz 3 genannten Umsetzung sollen die Pflegekassen eine Bedarfserhebung hinsichtlich präventiver und gesundheitsfördernder Maßnahmen durchführen.;Handlungspflicht;soll;sollen ... eine Bedarfserhebung ... durchführen;Öffentliche Verwaltung;Die Pflegekassen;https://www.gesetze-im-internet.de/sgb_11/__5.html
SGB 11;§ 5 Absatz 1a Satz 6;Die Pflegekassen sollen Bedarfserhebung, Beratung und Präventionsempfehlung frühzeitig und fortlaufend vornehmen.;Die Bedarfserhebung, die Beratung und die Präventionsempfehlung sollen frühestmöglich nach Feststellung der Pflegebedürftigkeit unter Berücksichtigung der Empfehlungen nach § 18b und auch während fortbestehender Pflegebedürftigkeit erfolgen.;Handlungspflicht;soll;sollen ... frühestmöglich ... erfolgen;Öffentliche Verwaltung;Die Pflegekassen;https://www.gesetze-im-internet.de/sgb_11/__5.html
