norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
SpruchG;§ 3 Satz 3;Der Antragsteller muss seine Stellung als Aktionär gegenüber dem Gericht durch Urkunden nachweisen.;Die Stellung als Aktionär ist dem Gericht ausschließlich durch Urkunden nachzuweisen.;Informationspflicht;muss;ist dem Gericht ausschließlich durch Urkunden nachzuweisen;Bürgerinnen und Bürger, Wirtschaft;der Antragsteller;https://www.gesetze-im-internet.de/spruchg/__3.html
SpruchG;§ 4 Absatz 1 Satz 1;Der Antragsteller muss den Antrag innerhalb von drei Monaten stellen.;"Der Antrag auf gerichtliche Entscheidung in einem Verfahren nach § 1 kann nur binnen drei Monaten seit dem Tag gestellt werden, an dem in den Fällen 1. der Nummer 1 die Eintragung der Durchführung der Kapitalerhöhung; 2. der Nummer 2 der Unternehmensvertrag oder seine Änderung; 3. der Nummer 3 die Eingliederung; 4. der Nummer 4 der Übergang aller Aktien der Minderheitsaktionäre auf den Hauptaktionär; 5. der Nummer 5 die Umwandlung; 6. der Nummer 6 die Gründung oder Sitzverlegung der SE; 7. der Nummer 7 die Gründung der Europäischen Genossenschaft oder 8. der Nummer 8 der Antrag auf Widerruf der Zulassung wirksam geworden ist.";Handlungspflicht;muss;kann nur binnen drei Monaten ... gestellt werden;Bürgerinnen und Bürger;der Antragsteller;https://www.gesetze-im-internet.de/spruchg/__4.html
SpruchG;§ 4 Absatz 2 Satz 1;Der Antragsteller muss den Antrag fristgerecht begründen.;Der Antragsteller muss den Antrag innerhalb der Frist nach Absatz 1 begründen.;Handlungspflicht;muss;muss den Antrag ... begründen;Bürgerinnen und Bürger;Der Antragsteller;https://www.gesetze-im-internet.de/spruchg/__4.html
SpruchG;§ 4 Absatz 2 Satz 2;Die Antragsbegründung muss die erforderlichen Angaben enthalten.;"Die Antragsbegründung hat zu enthalten: 1. die Bezeichnung des Antragsgegners; 2. die Darlegung der Antragsberechtigung nach § 3; 3. Angaben zur Art der Strukturmaßnahme und der vom Gericht zu bestimmenden Kompensation nach § 1; 4. Konkrete Einwendungen gegen die Angemessenheit der Kompensation nach § 1 oder gegebenenfalls gegen den als Grundlage für die Kompensation ermittelten Unternehmenswert, soweit hierzu Angaben in den in § 7 Abs. 3 genannten Unterlagen enthalten sind.";Informationspflicht;muss;hat zu enthalten;Bürgerinnen und Bürger;Die Antragsbegründung;https://www.gesetze-im-internet.de/spruchg/__4.html
SpruchG;§ 4 Absatz 2 Satz 3;Die Antragsbegründung soll auch die Zahl der gehaltenen Anteile erkennen lassen.;Aus der Antragsbegründung soll sich außerdem die Zahl der von dem Antragsteller gehaltenen Anteile ergeben.;Informationspflicht;soll;soll sich außerdem ... ergeben;Bürgerinnen und Bürger;die Antragsbegründung;https://www.gesetze-im-internet.de/spruchg/__4.html
SpruchG;§ 5 Satz 1;Der Antragsteller muss den Antrag gegen den jeweils richtigen Antragsgegner richten.;"Der Antrag auf gerichtliche Entscheidung in einem Verfahren nach § 1 ist in den Fällen 1. der Nummer 1 gegen die Gesellschaft, deren Kapital erhöht worden ist; 2. der Nummer 2 gegen den anderen Vertragsteil des Unternehmensvertrags; 3. der Nummer 3 gegen die Hauptgesellschaft; 4. der Nummer 4 gegen den Hauptaktionär; 5. der Nummer 5 gegen die übernehmenden oder neuen Rechtsträger oder gegen den Rechtsträger neuer Rechtsform; 6. der Nummer 6 gegen die SE, aber im Fall des § 9 des SE-Ausführungsgesetzes gegen die die Gründung anstrebende Gesellschaft; 7. der Nummer 7 gegen die Europäische Genossenschaft; 8. der Nummer 8 gegen den Bieter zu richten.";Handlungspflicht;muss;ist in den Fällen … gegen … zu richten;Bürgerinnen und Bürger, Wirtschaft;der Antragsteller;https://www.gesetze-im-internet.de/spruchg/__5.html
SpruchG;§ 5 Satz 2;Das Gericht muss auf Antrag der Gesellschaft den neuen Aktionär als Beteiligten hinzuziehen.;In den Fällen des § 1 Nummer 1 ist auf Antrag der Gesellschaft der neue Aktionär als Beteiligter hinzuzuziehen.;Handlungspflicht;muss;ist … hinzuzuziehen;Öffentliche Verwaltung;das Gericht;https://www.gesetze-im-internet.de/spruchg/__5.html
SpruchG;§ 5a Satz 1;Die Beteiligten müssen sich vor bestimmten Gerichten durch einen Rechtsanwalt vertreten lassen.;Vor den Landgerichten, den Oberlandesgerichten und einem Obersten Landesgericht müssen sich die Beteiligten durch einen Rechtsanwalt vertreten lassen.;Duldungs-/Mitwirkungspflicht;muss;müssen sich die Beteiligten durch einen Rechtsanwalt vertreten lassen;Bürgerinnen und Bürger, Wirtschaft;die Beteiligten;https://www.gesetze-im-internet.de/spruchg/__5a.html
SpruchG;§ 5a Satz 2;Die Beteiligten müssen sich vor dem Bundesgerichtshof durch einen dort zugelassenen Rechtsanwalt vertreten lassen.;Vor dem Bundesgerichtshof müssen sich die Beteiligten durch einen bei dem Bundesgerichtshof zugelassenen Rechtsanwalt vertreten lassen.;Duldungs-/Mitwirkungspflicht;muss;müssen sich die Beteiligten durch einen bei dem Bundesgerichtshof zugelassenen Rechtsanwalt vertreten lassen;Bürgerinnen und Bürger, Wirtschaft;die Beteiligten;https://www.gesetze-im-internet.de/spruchg/__5a.html
SpruchG;§ 6 Absatz 1 Satz 1;Das Gericht muss für nicht selbst antragstellende Antragsberechtigte einen gemeinsamen Vertreter bestellen.;"Das Gericht hat den Antragsberechtigten, die nicht selbst Antragsteller sind, zur Wahrung ihrer Rechte frühzeitig einen Rechtsanwalt als gemeinsamen Vertreter zu bestellen; dieser hat die Stellung eines gesetzlichen Vertreters.";Handlungspflicht;muss;hat … zu bestellen;Öffentliche Verwaltung;Das Gericht;https://www.gesetze-im-internet.de/spruchg/__6.html
