norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
UStG;§ 3d Satz 2;Der Erwerber muss den Nachweis erbringen, dass der Erwerb im bezeichneten Mitgliedstaat besteuert worden ist oder als besteuert gilt.;Verwendet der Erwerber gegenüber dem Lieferer eine ihm von einem anderen Mitgliedstaat erteilte Umsatzsteuer-Identifikationsnummer, gilt der Erwerb so lange in dem Gebiet dieses Mitgliedstaates als bewirkt, bis der Erwerber nachweist, dass der Erwerb durch den in Satz 1 bezeichneten Mitgliedstaat besteuert worden ist oder nach § 25b Abs. 3 als besteuert gilt, sofern der erste Abnehmer seiner Erklärungspflicht nach § 18a Absatz 7 Satz 1 Nummer 4 nachgekommen ist.;Informationspflicht;muss;bis der Erwerber nachweist;Wirtschaft;der Erwerber;https://www.gesetze-im-internet.de/ustg_1980/__3d.html
UStG;§ 4 Absatz 1 Nummer 3 Satz 4;Der Unternehmer muss die Voraussetzungen der Steuerbefreiung nachweisen.;Die Voraussetzungen der Steuerbefreiung müssen vom Unternehmer nachgewiesen sein.;Informationspflicht;muss;müssen … nachgewiesen sein;Wirtschaft;der Unternehmer;https://www.gesetze-im-internet.de/ustg_1980/__4.html
UStG;§ 4 Absatz 1 Nummer 4b Satz 2;Der Unternehmer muss die Voraussetzungen der Steuerbefreiung eindeutig und leicht nachprüfbar nachweisen.;"Die Voraussetzungen der Steuerbefreiung müssen vom Unternehmer eindeutig und leicht nachprüfbar nachgewiesen sein;";Informationspflicht;muss;müssen … eindeutig und leicht nachprüfbar nachgewiesen sein;Wirtschaft;der Unternehmer;https://www.gesetze-im-internet.de/ustg_1980/__4.html
UStG;§ 4 Absatz 1 Nummer 5 Satz 3;Der Unternehmer muss die Voraussetzungen der Steuerbefreiung nachweisen.;Die Voraussetzungen der Steuerbefreiung müssen vom Unternehmer nachgewiesen sein.;Informationspflicht;muss;müssen … nachgewiesen sein;Wirtschaft;der Unternehmer;https://www.gesetze-im-internet.de/ustg_1980/__4.html
UStG;§ 4 Absatz 1 Nummer 7 Satz 4 und 5;Der Unternehmer muss die Voraussetzungen der Steuerbefreiungen nachweisen und dafür in bestimmten Fällen eine Bescheinigung des Abnehmers einholen.;Die Voraussetzungen der Steuerbefreiungen müssen vom Unternehmer nachgewiesen sein. Bei den Steuerbefreiungen nach Satz 1 Buchstabe b bis d und f hat der Unternehmer die in dem anderen Mitgliedstaat geltenden Voraussetzungen dadurch nachzuweisen, dass ihm der Abnehmer eine von der zuständigen Behörde des anderen Mitgliedstaates oder, wenn er hierzu ermächtigt ist, eine selbst ausgestellte Bescheinigung nach amtlich vorgeschriebenem Muster aushändigt.;Informationspflicht;muss;"müssen … nachgewiesen sein; hat der Unternehmer … dadurch nachzuweisen, dass ihm der Abnehmer … eine … Bescheinigung … aushändigt";Wirtschaft;der Unternehmer;https://www.gesetze-im-internet.de/ustg_1980/__4.html
UStG;§ 4a Absatz 1 Satz 2;Der Antragsteller muss die Voraussetzungen nachweisen und den Antrag stellen.;Die vorstehenden Voraussetzungen müssen nachgewiesen sein. Der Antrag, in dem der Antragsteller die zu gewährende Vergütung selbst zu berechnen hat, ist nach amtlich vorgeschriebenem Vordruck oder amtlich vorgeschriebenem Datensatz durch Datenfernübertragung zu stellen.;Informationspflicht;muss;müssen nachgewiesen sein;Wirtschaft, Öffentliche Verwaltung;der Antragsteller;https://www.gesetze-im-internet.de/ustg_1980/__4a.html
UStG;§ 4a Absatz 1 Satz 2;Der Antragsteller muss den Vergütungsantrag in der vorgeschriebenen Form elektronisch stellen und selbst berechnen.;Der Antrag, in dem der Antragsteller die zu gewährende Vergütung selbst zu berechnen hat, ist nach amtlich vorgeschriebenem Vordruck oder amtlich vorgeschriebenem Datensatz durch Datenfernübertragung zu stellen.;Handlungspflicht;muss;ist … zu stellen;Wirtschaft, Öffentliche Verwaltung;der Antragsteller;https://www.gesetze-im-internet.de/ustg_1980/__4a.html
UStG;§ 4c Absatz 4 Satz 2;Die Einrichtung muss dem Bundeszentralamt für Steuern den Wegfall der Voraussetzungen anzeigen.;Soweit die Voraussetzungen nach Antragstellung wegfallen, ist die Einrichtung verpflichtet, dies dem Bundeszentralamt für Steuern innerhalb eines Monats anzuzeigen.;Informationspflicht;muss;ist … verpflichtet, dies … innerhalb eines Monats anzuzeigen;Öffentliche Verwaltung;die Einrichtung;https://www.gesetze-im-internet.de/ustg_1980/__4c.html
UStG;§ 5 Absatz 1 Satz 1;Der Schuldner der Einfuhrumsatzsteuer muss bei der Einfuhr bestimmte Umsatzsteuer-Identifikationsnummern mitteilen.;der Schuldner der Einfuhrumsatzsteuer hat zum Zeitpunkt der Einfuhr a) seine im Geltungsbereich dieses Gesetzes erteilte Umsatzsteuer-Identifikationsnummer oder die im Geltungsbereich dieses Gesetzes erteilte Umsatzsteuer-Identifikationsnummer seines Fiskalvertreters und b) die im anderen Mitgliedstaat erteilte Umsatzsteuer-Identifikationsnummer des Abnehmers mitzuteilen;Informationspflicht;muss;hat ... mitzuteilen;Wirtschaft;der Schuldner der Einfuhrumsatzsteuer;https://www.gesetze-im-internet.de/ustg_1980/__5.html
UStG;§ 5 Absatz 1 Satz 1;Der Schuldner der Einfuhrumsatzsteuer muss nachweisen, dass die Gegenstände zur Beförderung oder Versendung in das übrige Gemeinschaftsgebiet bestimmt sind.;der Schuldner der Einfuhrumsatzsteuer hat ... c) nachzuweisen, dass die Gegenstände zur Beförderung oder Versendung in das übrige Gemeinschaftsgebiet bestimmt sind;Informationspflicht;muss;hat ... nachzuweisen;Wirtschaft;der Schuldner der Einfuhrumsatzsteuer;https://www.gesetze-im-internet.de/ustg_1980/__5.html
