norm;referenz;vorgabe_zusammenfassung;zitat;art_der_vorgabe;pflichtstaerke;sprachlicher_indikator;normadressat_kategorie;normadressat_text;quelle
WpPG;§ 4 Absatz 1 Satz 1;Der Anbieter muss vor dem öffentlichen Angebot ein Wertpapier-Informationsblatt erstellen, hinterlegen und veröffentlichen.;Ein Anbieter, der die Ausnahme nach Artikel 3 Absatz 2 der Verordnung (EU) 2017/1129 in Anspruch nimmt, darf die Wertpapiere im Inland erst dann öffentlich anbieten, wenn er zuvor ein Wertpapier-Informationsblatt nach den Absätzen 3 bis 5 und 6 Satz 2 sowie Absatz 7 Satz 4 erstellt, bei der Bundesanstalt hinterlegt und veröffentlicht hat.;Handlungspflicht;muss;darf die Wertpapiere im Inland erst dann öffentlich anbieten, wenn er zuvor … erstellt, … hinterlegt und veröffentlicht hat;Wirtschaft;Ein Anbieter, der die Ausnahme nach Artikel 3 Absatz 2 der Verordnung (EU) 2017/1129 in Anspruch nimmt;https://www.gesetze-im-internet.de/wppg/__4.html
WpPG;§ 4 Absatz 2 Satz 1;Das Wertpapier-Informationsblatt darf ohne Gestattung der Bundesanstalt nicht veröffentlicht werden.;Das Wertpapier-Informationsblatt darf erst veröffentlicht werden, wenn die Bundesanstalt die Veröffentlichung gestattet.;Unterlassungspflicht;muss;darf erst veröffentlicht werden, wenn;Wirtschaft;Das Wertpapier-Informationsblatt;https://www.gesetze-im-internet.de/wppg/__4.html
WpPG;§ 4 Absatz 2 Satz 3;Die Bundesanstalt muss dem Anbieter binnen zehn Arbeitstagen mitteilen, ob sie die Veröffentlichung gestattet.;Die Bundesanstalt hat dem Anbieter innerhalb von zehn Arbeitstagen nach Eingang des Wertpapier-Informationsblatts mitzuteilen, ob sie die Veröffentlichung gestattet.;Informationspflicht;muss;hat dem Anbieter … mitzuteilen;Öffentliche Verwaltung;Die Bundesanstalt;https://www.gesetze-im-internet.de/wppg/__4.html
WpPG;§ 4 Absatz 2 Satz 5;Die Bundesanstalt soll den Anbieter bei Bedarf binnen fünf Arbeitstagen unterrichten.;Die Bundesanstalt soll den Anbieter innerhalb von fünf Arbeitstagen nach Eingang des Wertpapier-Informationsblatts unterrichten, wenn sie nach Satz 4 weitere Informationen für erforderlich hält.;Informationspflicht;soll;soll den Anbieter … unterrichten;Öffentliche Verwaltung;Die Bundesanstalt;https://www.gesetze-im-internet.de/wppg/__4.html
WpPG;§ 4 Absatz 3 Satz 1;Das Wertpapier-Informationsblatt darf nicht länger als drei DIN-A4-Seiten sein.;Das Wertpapier-Informationsblatt darf nicht mehr als drei DIN-A4-Seiten umfassen.;Unterlassungspflicht;muss;darf nicht mehr als drei DIN-A4-Seiten umfassen;Wirtschaft;Das Wertpapier-Informationsblatt;https://www.gesetze-im-internet.de/wppg/__4.html
WpPG;§ 4 Absatz 3 Satz 2;Das Wertpapier-Informationsblatt muss die vorgeschriebenen wesentlichen Informationen in der vorgegebenen Reihenfolge enthalten.;Es muss mindestens die wesentlichen Informationen über die Wertpapiere, den Anbieter, den Emittenten und etwaige Garantiegeber in übersichtlicher und leicht verständlicher Weise in der nachfolgenden Reihenfolge enthalten, so dass das Publikum 1. die Art, die genaue Bezeichnung und die internationale Wertpapier-Identifikationsnummer (ISIN) des Wertpapiers, 2. die Funktionsweise des Wertpapiers einschließlich der mit dem Wertpapier verbundenen Rechte, 3. Angaben zur Identität des Anbieters, des Emittenten einschließlich seiner Geschäftstätigkeit und eines etwaigen Garantiegebers, 4. die mit dem Wertpapier, dem Emittenten und einem etwaigen Garantiegeber verbundenen Risiken, 5. den auf Grundlage des letzten aufgestellten Jahresabschlusses berechneten Verschuldungsgrad des Emittenten und eines etwaigen Garantiegebers, 6. die Aussichten für die Kapitalrückzahlung und Erträge unter verschiedenen Marktbedingungen, 7. die mit dem Wertpapier verbundenen Kosten und Provisionen, 8. die Angebotskonditionen einschließlich des Emissionsvolumens sowie 9. die geplante Verwendung des voraussichtlichen Nettoemissionserlöses einschätzen und bestmöglich mit den Merkmalen anderer Wertpapiere vergleichen kann.;Informationspflicht;muss;Es muss mindestens … enthalten;Wirtschaft;Das Wertpapier-Informationsblatt;https://www.gesetze-im-internet.de/wppg/__4.html
WpPG;§ 4 Absatz 3a Satz 1;Bei bestimmten elektronischen oder digitalen Wertpapieren muss das Informationsblatt die erweiterten inhaltlichen Anforderungen erfüllen.;Für die Emission eines elektronischen Wertpapiers im Sinne des Gesetzes über elektronische Wertpapiere oder eines digitalen und nicht verbrieften Wertpapiers, das kein elektronisches Wertpapier im Sinne des Gesetzes über elektronische Wertpapiere ist, gilt Absatz 3 mit der Maßgabe, dass 1. das Wertpapier-Informationsblatt abweichend von Absatz 3 Satz 1 bis zu vier DIN-A4-Seiten umfassen darf, 2. die Angaben nach Absatz 3 Satz 2 Nummer 2 auch Angaben zur technischen Ausgestaltung des Wertpapiers, zu den dem Wertpapier zugrunde liegenden Technologien sowie zur Übertragbarkeit und Handelbarkeit des Wertpapiers an den Finanzmärkten zu beinhalten haben, 3. die Angaben nach Absatz 3 Satz 2 Nummer 3 um die Angabe der registerführenden Stelle im Sinne des Gesetzes über elektronische Wertpapiere und die Angabe, wo und auf welche Weise der Anleger in das Register Einsicht nehmen kann, zu ergänzen sind, sofern es sich um ein elektronisches Wertpapier im Sinne des Gesetzes über elektronische Wertpapiere handelt.;Handlungspflicht;muss;haben … zu beinhalten / sind … zu ergänzen;Wirtschaft;Das Wertpapier-Informationsblatt;https://www.gesetze-im-internet.de/wppg/__4.html
WpPG;§ 4 Absatz 4;Das Wertpapier-Informationsblatt muss den vorgeschriebenen Warnhinweis auf der ersten Seite enthalten.;Das Wertpapier-Informationsblatt muss den drucktechnisch hervorgehobenen Warnhinweis „Der Erwerb dieses Wertpapiers ist mit erheblichen Risiken verbunden und kann zum vollständigen Verlust des eingesetzten Vermögens führen.“ auf der ersten Seite, unmittelbar unterhalb der ersten Überschrift enthalten.;Informationspflicht;muss;muss … enthalten;Wirtschaft;Das Wertpapier-Informationsblatt;https://www.gesetze-im-internet.de/wppg/__4.html
WpPG;§ 4 Absatz 5;Das Wertpapier-Informationsblatt muss die vorgeschriebenen Hinweise in der vorgegebenen Reihenfolge enthalten.;Das Wertpapier-Informationsblatt muss im Anschluss an die Angaben nach Absatz 3 dieser Vorschrift zudem in folgender Reihenfolge enthalten: 1. einen Hinweis darauf, dass die inhaltliche Richtigkeit des Wertpapier-Informationsblatts nicht der Prüfung durch die Bundesanstalt unterliegt, 2. einen Hinweis darauf, dass für das Wertpapier kein von der Bundesanstalt gebilligter Wertpapierprospekt hinterlegt wurde und der Anleger weitergehende Informationen unmittelbar vom Anbieter oder Emittenten des Wertpapiers erhält, 3. einen Hinweis auf den letzten Jahresabschluss des Emittenten und im Falle eines Garantiegebers zusätzlich auf den letzten Jahresabschluss des Garantiegebers sowie darauf, wo und wie diese Jahresabschlüsse erhältlich sind, 4. einen Hinweis darauf, dass Ansprüche auf der Grundlage einer in dem Wertpapier-Informationsblatt enthaltenen Angabe nur dann bestehen können, wenn die Angabe irreführend oder unrichtig ist oder der Warnhinweis des Absatzes 4 nicht enthalten ist und wenn das Erwerbsgeschäft nach Veröffentlichung des Wertpapier-Informationsblatts und während der Dauer des öffentlichen Angebots, spätestens jedoch innerhalb von sechs Monaten nach dem ersten öffentlichen Angebot der Wertpapiere im Inland, abgeschlossen wurde.;Informationspflicht;muss;muss … enthalten;Wirtschaft;Das Wertpapier-Informationsblatt;https://www.gesetze-im-internet.de/wppg/__4.html
WpPG;§ 4 Absatz 6 Satz 1;Der Emittent muss den Anlegern auf Anforderung den letzten Jahresabschluss kostenlos in Textform zur Verfügung stellen.;Während der Dauer des öffentlichen Angebots ist der letzte Jahresabschluss des Emittenten den Anlegern auf Anforderung kostenlos in Textform zur Verfügung zu stellen.;Informationspflicht;muss;ist … zur Verfügung zu stellen;Wirtschaft;Der Emittent;https://www.gesetze-im-internet.de/wppg/__4.html
